,dominion_male,dominion_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
84,1.9341146,1.6028888,"('inferior', 'superior')",0.49917924,0.26290566,0.9042235,0.8701284,1.1125058,0.9119743,0.2005315
31,-1.9156066,-0.87950176,"('evil', 'good')",-1.898998,-1.2419056,-1.4252136,-1.3542818,-1.7466062,-1.158563,-0.5880432
39,1.7403879,1.4141879,"('exploitative', 'cooperative')",-0.36562338,-0.35959125,-0.035428178,-0.10678286,0.4464455,0.3159379,0.1305076
16,-1.7152319,-1.6389867,"('unpopular', 'popular')",-0.27999175,-0.3292529,0.43042743,0.24988219,-0.5215987,-0.5727858,0.0511871
36,-1.2278101,-0.6920587,"('hostile', 'amicable')",-1.363658,-0.98364735,-0.25205138,-0.25139937,-0.9478398,-0.6423685,-0.3054713
75,-1.1905776,-0.83544594,"('meek', 'impulsive')",-0.10537101,0.0071759336,-0.11790808,-0.14470688,-0.4712856,-0.3243256,-0.14696
72,1.1638967,0.8475652,"('unambitious', 'ambitious')",1.0324775,0.65843385,-0.5473538,-1.1076163,0.5496735,0.1327943,0.4168792
28,1.1561034,0.83639276,"('disloyal', 'loyal')",0.09874843,-0.21632598,1.0031139,0.83949506,0.7526552,0.4865206,0.2661346
44,-1.1410158,-1.315965,"('prejudiced', 'unprejudiced')",-0.18159845,-0.23626931,-1.2737969,-1.2128491,-0.8654704,-0.9216945,0.0562241
19,-1.1008033,-0.4850243,"('inhospitable', 'hospitable')",-1.5757884,-1.228067,-0.38343915,-0.22421135,-1.0200102,-0.6457676,-0.3742426
1,-1.0625256,-0.4331528,"('unfriendly', 'friendly')",0.15992346,0.42860904,1.4349873,1.4264283,0.1774617,0.4739615,-0.2964998
17,-1.0537384,-0.8420991,"('nasty', 'nice')",-0.9831205,-0.87335783,-0.5237602,-0.3685794,-0.8535396,-0.6946788,-0.1588608
6,-1.0535196,-0.19792593,"('distant', 'open')",-1.2014979,-0.8342352,0.27721137,0.20167582,-0.6592687,-0.2768284,-0.3824403
0,-1.0516177,-1.0238998,"('unsociable', 'sociable')",-0.14014456,-0.23331188,-0.58837783,-0.63127553,-0.5933801,-0.6294957,0.0361156
53,-1.0211478,-0.654941,"('uncreative', 'creative')",0.45964178,0.5016559,0.7368108,0.5809578,0.0584349,0.1425575,-0.0841226
2,-1.0088809,-0.54577184,"('unlikable', 'likable')",0.8150859,1.0540184,0.5558851,0.61121684,0.1206967,0.3731545,-0.2524578
59,1.0045419,1.0080091,"('foolish', 'wise')",0.6720712,0.569405,0.9526449,0.5781263,0.8764193,0.7185135,0.1579058
81,-0.86968404,-1.1853805,"('submissive', 'aggressive')",2.180368,1.4686276,-0.3599267,-0.6148518,0.3169191,-0.1105349,0.427454
66,-0.84539044,-0.1440657,"('inactive', 'active')",-1.3477452,-0.919383,0.53226054,0.61354494,-0.5536251,-0.1499679,-0.4036572
73,0.8382443,0.93315643,"('helpless', 'self-reliant')",0.96465564,1.2114055,-3.0225468,-2.9527767,-0.4065489,-0.2694049,-0.137144
52,-0.82149667,-0.27255797,"('irrational', 'rational')",-0.90384316,-0.54267514,-0.26384157,-0.32798693,-0.6630605,-0.3810734,-0.2819871
15,-0.8018066,-0.26034394,"('boring', 'funny')",-0.30554184,-0.0786992,0.40798205,0.4242069,-0.2331221,0.0283879,-0.26151
56,0.8013005,0.72974986,"('impractical', 'practical')",1.1084355,1.1159986,-0.026274983,0.029294303,0.6278203,0.6250142,0.0028061
57,-0.7928162,-0.43527734,"('unimaginative', 'imaginative')",0.59921813,0.44358528,-2.8213685,-2.621421,-1.0049888,-0.8710377,-0.1339511
80,0.7862632,0.28774682,"('dominated', 'dominating')",0.6796472,0.2631331,-1.0167927,-0.8693977,0.1497059,-0.1061726,0.2558785
48,0.73941016,-0.045607336,"('unintelligent', 'intelligent')",2.1381857,1.6323035,0.8214739,0.64953834,1.2330232,0.7454115,0.4876117
