,pfizer_male,pfizer_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-4.0429306,-3.8272765,"('unsympathetic', 'sympathetic')",-0.39086902,-0.3185282,-2.2168999,-2.0729024,-0.1439975
46,-3.0912004,-2.971105,"('uncompetitive', 'competitive')",-0.6995872,-0.8594498,-1.8953938,-1.9152775,0.0198837
35,2.9765198,2.8548827,"('corrupt', 'incorrupt')",-0.2664559,-0.26740748,1.355032,1.2937376,0.0612944
85,2.8943906,2.8525667,"('insignificant', 'prestigious')",0.85090744,0.7110872,1.872649,1.781827,0.090822
69,2.6119263,2.5622633,"('lazy', 'industrious')",-0.59303916,-0.5806466,1.0094435,0.9908084,0.0186351
70,-2.5543709,-2.3932946,"('lethargic', 'energetic')",0.418166,0.5407799,-1.0681025,-0.9262574,-0.1418451
45,-2.5266016,-2.3725343,"('incompetent', 'competent')",-0.37856007,-0.4677945,-1.4525808,-1.4201643,-0.0324165
43,-2.52601,-2.1234925,"('irresponsible', 'responsible')",0.51648355,0.65342695,-1.0047632,-0.7350328,-0.2697304
57,-2.522009,-2.3022451,"('unimaginative', 'imaginative')",-2.617796,-2.7940679,-2.5699024,-2.5481565,-0.0217459
23,-2.4246967,-2.3277485,"('insincere', 'sincere')",5.79234,5.986821,1.6838216,1.8295363,-0.1457147
11,-2.3118262,-2.3397648,"('unhelpful', 'helpful')",2.1079462,2.0755396,-0.10194,-0.1321126,0.0301726
0,-2.2654858,-2.1455462,"('unsociable', 'sociable')",-0.35969806,-0.5752531,-1.3125919,-1.3603997,0.0478078
65,-2.185836,-2.185006,"('insecure', 'secure')",-0.29486847,-0.055743974,-1.2403523,-1.1203749,-0.1199774
13,-2.1394227,-2.2488806,"('impolite', 'polite')",-0.13840823,-0.18235493,-1.1389154,-1.2156178,0.0767024
55,-2.064364,-1.9403818,"('incompetent', 'clever')",0.12022224,0.0681225,-0.9720709,-0.9361296,-0.0359413
14,-2.0043302,-1.9102463,"('antisocial', 'social')",-0.9680442,-1.125848,-1.4861872,-1.5180471,0.0318599
3,-1.9851482,-2.0251586,"('repellent', 'pleasant')",-0.2808229,-0.2936668,-1.1329856,-1.1594127,0.0264271
59,1.9782624,1.8950993,"('foolish', 'wise')",0.4734299,0.6600658,1.2258462,1.2775825,-0.0517363
21,-1.94741,-1.8081142,"('immoral', 'moral')",-0.8400824,-0.94849586,-1.3937461,-1.378305,-0.0154411
60,-1.9446528,-1.7992865,"('inefficient', 'efficient')",0.5148709,0.5560341,-0.714891,-0.6216262,-0.0932648
7,-1.9238465,-1.846537,"('insensitive', 'sensitive')",0.54541487,0.5128842,-0.6892158,-0.6668264,-0.0223894
86,-1.8986554,-1.7399068,"('uninfluential', 'influential')",-0.020683367,-0.3434616,-0.9596694,-1.0416842,0.0820148
6,1.8734105,1.9724314,"('distant', 'open')",0.6975098,0.75142986,1.2854601,1.3619306,-0.0764705
81,-1.8153027,-1.6865653,"('submissive', 'aggressive')",-0.552074,-0.53001267,-1.1836884,-1.108289,-0.0753994
63,-1.8152124,-1.6616565,"('unperceptive', 'insightful')",1.3733411,1.2442579,-0.2209356,-0.2086993,-0.0122363
22,-1.8065675,-1.7581595,"('untrustworthy', 'trustworthy')",-0.9880823,-0.92160594,-1.3973249,-1.3398827,-0.0574422
24,-1.7540145,-1.5541233,"('dishonest', 'honest')",0.76271284,1.0568386,-0.4956508,-0.2486423,-0.2470085
36,1.7297828,1.5124447,"('hostile', 'amicable')",0.20203128,-0.000806462,0.965907,0.7558191,0.2100879
5,1.6330551,1.7021289,"('distant', 'outgoing')",0.33596492,0.38187146,0.98451,1.0420002,-0.0574902
