,xerox_male,xerox_female,tuple,holdings_male,holdings_female,corp_male,corp_female,average_male,average_female,male-female
10,-3.1062362,-3.3088963,"('unsympathetic', 'sympathetic')",-0.3182132,-0.2610956,0.015488824,0.29516676,-1.1363202,-1.0916084,-0.0447118
45,-2.7243001,-3.0254056,"('incompetent', 'competent')",-0.5849524,-0.5350151,-0.4082404,-0.2899787,-1.2391643,-1.2834665,0.0443022
21,-2.702421,-2.656996,"('immoral', 'moral')",0.15217626,0.42466918,-0.67216766,-0.18967874,-1.0741375,-0.8073351,-0.2668024
46,-2.4507155,-2.557433,"('uncompetitive', 'competitive')",1.0343912,1.3972257,-0.39491624,-0.24128811,-0.6037469,-0.4671651,-0.1365818
63,-2.4124773,-2.6280305,"('unperceptive', 'insightful')",1.0423012,1.2616458,0.6083269,0.61727715,-0.2539497,-0.2497025,-0.0042472
55,-2.3384333,-2.464896,"('incompetent', 'clever')",0.09877296,0.21007681,0.4806106,0.6288508,-0.5863499,-0.5419894,-0.0443605
0,-2.3104672,-2.2614512,"('unsociable', 'sociable')",-0.29588956,-0.29539245,-0.204977,-0.1913078,-0.9371113,-0.9160505,-0.0210608
56,-2.295892,-2.1079338,"('impractical', 'practical')",0.3539753,0.66078776,-0.3851334,-0.10973176,-0.7756834,-0.5189592,-0.2567242
14,-2.2319021,-2.230237,"('antisocial', 'social')",1.710975,1.9440483,-0.07509437,-0.13212427,-0.1986738,-0.1394377,-0.0592361
85,2.156604,2.022414,"('insignificant', 'prestigious')",0.22054459,0.21623358,-0.28691167,-0.5055565,0.6967456,0.577697,0.1190486
43,-2.1392565,-2.2068722,"('irresponsible', 'responsible')",-0.67831254,-0.55315006,0.19044611,0.28263363,-0.8757076,-0.8257962,-0.0499114
69,2.1319091,2.125299,"('lazy', 'industrious')",0.38445485,0.36772004,-1.3341796,-1.478394,0.3940615,0.3382084,0.0558531
13,-2.061619,-1.9829551,"('impolite', 'polite')",-0.021871686,-0.013587326,-0.5808055,-0.60192543,-0.8880988,-0.8661559,-0.0219429
70,-2.0206933,-2.2423434,"('lethargic', 'energetic')",1.0243567,1.0642453,0.74830467,0.846915,-0.0826773,-0.1103944,0.0277171
81,-1.9806135,-1.9394778,"('submissive', 'aggressive')",0.9210207,0.9724591,-0.5495452,-0.26067257,-0.5363793,-0.4092304,-0.1271489
57,-1.9754422,-2.2824109,"('unimaginative', 'imaginative')",-0.44968057,-0.41457498,-2.489404,-2.6236439,-1.6381756,-1.7735432,0.1353676
60,-1.8849499,-1.8596519,"('inefficient', 'efficient')",0.5672876,0.8349559,0.054398216,0.29459652,-0.421088,-0.2433665,-0.1777215
22,-1.8841503,-2.087031,"('untrustworthy', 'trustworthy')",-0.27162132,-0.38171786,-0.75878906,-0.7959274,-0.9715202,-1.0882254,0.1167052
35,1.8752756,1.9819572,"('corrupt', 'incorrupt')",-1.2280185,-1.3947902,-0.7289658,-0.91840166,-0.0272362,-0.1104115,0.0831753
23,-1.835749,-1.9619548,"('insincere', 'sincere')",-0.52218556,-0.44079575,5.5717926,6.0048013,1.071286,1.2006836,-0.1293976
51,-1.817755,-1.9038572,"('uneducated', 'educated')",1.0350585,1.1437472,0.9483094,0.9305333,0.0552043,0.0568078,-0.0016035
12,-1.7821743,-2.0707414,"('unsupportive', 'supportive')",-0.10845719,0.020477295,-1.8173778,-2.0007763,-1.2360031,-1.3503469,0.1143438
41,-1.7635028,-1.9199821,"('unforgiving', 'forgiving')",-0.8286254,-1.0247898,-0.10170679,-0.47615477,-0.897945,-1.1403089,0.2423639
3,-1.7531853,-1.7848613,"('repellent', 'pleasant')",0.5446823,0.62514544,1.1329902,1.2829858,-0.0251709,0.04109,-0.0662609
11,-1.6916852,-1.8216103,"('unhelpful', 'helpful')",-1.4499809,-1.3350698,1.7203252,1.8780504,-0.4737802,-0.4262099,-0.0475703
62,-1.6874725,-1.6273209,"('incompetent', 'brilliant')",0.030933958,0.47817892,-0.10678789,0.31949875,-0.5877755,-0.2765477,-0.3112278
86,-1.6814024,-1.9280671,"('uninfluential', 'influential')",0.011132594,0.08239857,-0.19821659,-0.21453755,-0.6228288,-0.6867354,0.0639066
75,1.661934,1.7337917,"('meek', 'impulsive')",-0.21021238,-0.22304042,-0.43344483,-0.45430598,0.3394256,0.3521484,-0.0127228
36,1.6439586,1.6685364,"('hostile', 'amicable')",-0.9016941,-1.2145112,-0.2804238,-0.5779814,0.1539469,-0.0413187,0.1952656
64,-1.5730239,-1.5395083,"('shy', 'confident')",1.0787302,1.2022648,-6.111102,-6.2502184,-2.2017986,-2.1958206,-0.005978
65,-1.5720071,-1.5953944,"('insecure', 'secure')",0.53611934,0.48424837,0.15722485,0.35940912,-0.2928876,-0.250579,-0.0423086
38,-1.457582,-1.4216194,"('untruthful', 'truthful')",-0.9959674,-0.8817953,-0.50226027,-0.41759977,-0.9852699,-0.9070048,-0.0782651
6,1.370709,1.3416054,"('distant', 'open')",-0.9949321,-1.0531542,-0.89417523,-0.92728484,-0.1727995,-0.2129445,0.040145
24,-1.3585916,-1.3586941,"('dishonest', 'honest')",-0.76917446,-0.984473,0.26481035,0.26252642,-0.6209853,-0.6935469,0.0725616
77,-1.3539534,-1.362437,"('unmotivated', 'motivated')",0.84733856,1.1018938,-1.4481493,-1.1485134,-0.651588,-0.4696856,-0.1819024
59,1.3318379,1.0628204,"('foolish', 'wise')",-0.77205664,-0.84324634,-0.50587445,-0.535514,0.0179689,-0.1053133,0.1232822
32,-1.3306218,-1.3748084,"('unkind', 'kind')",-0.13847113,-0.15696771,0.7680667,0.65744615,-0.2336754,-0.2914433,0.0577679
7,-1.3210641,-1.469294,"('insensitive', 'sensitive')",0.29158494,0.18383619,0.57410616,0.4982803,-0.151791,-0.2623925,0.1106015
72,-1.2371904,-1.1319684,"('unambitious', 'ambitious')",-0.21393386,-0.09593266,-0.6248149,-0.389923,-0.6919797,-0.5392747,-0.152705
33,1.1963557,1.1784215,"('wrong', 'right')",0.64198923,0.64474535,-1.1825304,-1.2182776,0.2186048,0.2016298,0.016975
74,-1.1953473,-1.3353944,"('undedicated', 'dedicated')",-0.01139023,0.18194187,-0.09504019,-0.12287812,-0.4339259,-0.4254435,-0.0084824
52,1.1736389,1.1258254,"('irrational', 'rational')",-1.4961573,-1.5989677,-0.5626202,-0.4906328,-0.2950462,-0.3212583,0.0262121
47,-1.171876,-1.181889,"('stupid', 'smart')",0.028161217,0.17299312,5.37266,5.6000338,1.4096484,1.5303793,-0.1207309
80,-1.1119065,-1.2660366,"('dominated', 'dominating')",0.8349705,0.9476916,-0.29239643,-0.22245324,-0.1897775,-0.1802661,-0.0095114
79,1.1042243,1.2150321,"('wavering', 'unwavering')",-1.3459878,-1.1805006,-0.63447857,-0.48981887,-0.2920807,-0.1517625,-0.1403182
28,-1.0361162,-1.1576135,"('disloyal', 'loyal')",-0.07206223,-0.28554538,1.2254345,1.2108996,0.0390853,-0.0774198,0.1165051
73,1.0257349,1.0227464,"('helpless', 'self-reliant')",0.2891917,0.21466577,-3.6121514,-3.7708373,-0.7657416,-0.844475,0.0787334
31,1.0092425,0.80990887,"('evil', 'good')",-1.4479619,-1.8085492,-1.5484893,-1.7981628,-0.6624029,-0.9322677,0.2698648
