,sempra_male,sempra_female,tuple,energy_male,energy_female,average_male,average_female,male-female
86,-1.9658692,-2.2602031,"('uninfluential', 'influential')",0.039446175,-0.07535323,-0.9632115,-1.1677781,0.2045666
8,-1.7050002,-1.6671541,"('unaffectionate', 'affectionate')",0.95286804,0.7552064,-0.3760661,-0.4559738,0.0799077
10,-1.6219286,-1.5926722,"('unsympathetic', 'sympathetic')",-0.44174895,-0.41238272,-1.0318388,-1.0025275,-0.0293113
1,-1.6054436,-1.633675,"('unfriendly', 'friendly')",1.9088839,1.6794386,0.1517202,0.0228818,0.1288384
9,-1.4240979,-1.5237546,"('unaffectionate', 'caring')",1.8098238,1.6697483,0.1928629,0.0729969,0.119866
51,-1.4166623,-0.86036575,"('uneducated', 'educated')",-0.41403106,-0.18422362,-0.9153467,-0.5222947,-0.393052
19,-1.3881105,-0.773859,"('inhospitable', 'hospitable')",-0.61567926,-0.52586865,-1.001895,-0.6498638,-0.3520312
0,-1.3498343,-1.1555094,"('unsociable', 'sociable')",-0.2702257,-0.13818714,-0.81003,-0.6468483,-0.1631817
82,-1.2589858,-0.32717782,"('poor', 'rich')",5.8527927,6.1863475,2.2969036,2.9295847,-0.6326811
6,-1.1588002,-1.0768517,"('distant', 'open')",0.053850487,-0.16242181,-0.5524749,-0.6196368,0.0671619
53,-1.1421843,-0.9550263,"('uncreative', 'creative')",0.89961493,0.9088853,-0.1212847,-0.0230705,-0.0982142
46,-1.0913781,-1.0895349,"('uncompetitive', 'competitive')",-0.7361039,-0.6937498,-0.913741,-0.8916423,-0.0220987
23,-1.0880132,-0.8306187,"('insincere', 'sincere')",6.2497854,6.4869566,2.5808861,2.8281689,-0.2472828
73,1.0586541,0.9956598,"('helpless', 'self-reliant')",-3.1885154,-3.306671,-1.0649307,-1.1555055,0.0905748
54,-1.0540586,-0.76753443,"('incapable', 'capable')",0.9856003,1.0247053,-0.0342291,0.1285854,-0.1628145
57,-1.0359967,-1.1597326,"('unimaginative', 'imaginative')",-2.6168907,-2.8546255,-1.8264437,-2.007179,0.1807353
44,1.0094814,0.96843344,"('prejudiced', 'unprejudiced')",-1.3146931,-1.3808188,-0.1526058,-0.2061927,0.0535869
11,-0.9927162,-0.7760367,"('unhelpful', 'helpful')",1.998904,2.2361202,0.5030939,0.7300417,-0.2269478
12,-0.9803713,-1.131722,"('unsupportive', 'supportive')",-1.28418,-1.3986639,-1.1322757,-1.265193,0.1329173
69,0.9768414,0.38788918,"('lazy', 'industrious')",-0.30490407,-0.6423253,0.3359687,-0.1272181,0.4631868
78,-0.9762073,-1.2801886,"('nonresilient', 'resilient')",0.4065159,0.17915691,-0.2848457,-0.5505158,0.2656701
28,-0.96181,-1.205959,"('disloyal', 'loyal')",0.99671185,1.02866,0.0174509,-0.0886495,0.1061004
77,-0.9513198,-0.9985906,"('unmotivated', 'motivated')",-0.60504925,-0.54523265,-0.7781845,-0.7719116,-0.0062729
52,-0.9206611,-0.9141217,"('irrational', 'rational')",-0.08051646,-0.2825343,-0.5005888,-0.598328,0.0977392
18,-0.88445187,-0.64920676,"('disagreeable', 'welcoming')",-0.7833928,-0.79316133,-0.8339223,-0.721184,-0.1127383
36,-0.84225047,-1.1249838,"('hostile', 'amicable')",-0.35441643,-0.7106246,-0.5983335,-0.9178042,0.3194707
43,-0.83461034,-0.7312357,"('irresponsible', 'responsible')",0.91123855,0.87338436,0.0383141,0.0710743,-0.0327602
5,-0.82980764,-0.7196813,"('distant', 'outgoing')",0.2524132,0.043777384,-0.2886972,-0.337952,0.0492548
21,-0.7766377,-0.9761319,"('immoral', 'moral')",-0.35415372,-0.36836758,-0.5653957,-0.6722497,0.106854
48,-0.7587251,-0.9676914,"('unintelligent', 'intelligent')",1.1487341,1.2850945,0.1950045,0.1587015,0.036303
76,0.7438057,0.7514118,"('anxious', 'daring')",-0.10523489,0.06777963,0.3192854,0.4095957,-0.0903103
45,-0.7376633,-1.0321687,"('incompetent', 'competent')",0.084536195,-0.120165914,-0.3265636,-0.5761673,0.2496037
31,-0.67312235,-0.88828707,"('evil', 'good')",-1.3754904,-1.5738603,-1.0243064,-1.2310736,0.2067672
39,0.6666914,0.5334613,"('exploitative', 'cooperative')",-0.27311313,-0.15807708,0.1967891,0.1876921,0.009097
29,-0.6598115,-0.5022013,"('unfair', 'fair')",-0.65172285,-0.73137677,-0.6557672,-0.616789,-0.0389782
38,-0.64678466,-0.67845565,"('untruthful', 'truthful')",0.6830848,0.7532604,0.0181501,0.0374024,-0.0192523
55,-0.64421165,-0.7413469,"('incompetent', 'clever')",-0.03096681,0.07219528,-0.3375892,-0.3345758,-0.0030134
68,-0.63796484,-0.59738666,"('dependent', 'independent')",-0.824456,-0.9127483,-0.7312104,-0.7550675,0.0238571
63,-0.6132758,-0.52012724,"('unperceptive', 'insightful')",0.70148736,0.6811102,0.0441058,0.0804915,-0.0363857
35,0.6063988,0.40802148,"('corrupt', 'incorrupt')",-0.5878026,-0.8997546,0.0092981,-0.2458666,0.2551647
61,-0.6042654,-0.8515379,"('illogical', 'logical')",0.82195026,0.7346338,0.1088424,-0.058452,0.1672944
79,-0.57430434,-0.6383769,"('wavering', 'unwavering')",0.23735705,0.0021001268,-0.1684736,-0.3181384,0.1496648
13,-0.5610894,-0.41120055,"('impolite', 'polite')",-0.18111247,-0.0067524835,-0.3711009,-0.2089765,-0.1621244
4,0.5577492,0.27630734,"('disliked', 'liked')",-6.614614,-6.9405212,-3.0284324,-3.3321071,0.3036747
3,-0.555707,-0.6964428,"('repellent', 'pleasant')",-0.13391075,-0.008312691,-0.3448089,-0.3523777,0.0075688
2,0.5466804,0.6378682,"('unlikable', 'likable')",0.6248953,0.6465593,0.5857878,0.6422138,-0.056426
16,-0.52331734,-0.4713682,"('unpopular', 'popular')",0.52999455,0.475118,0.0033386,0.0018749,0.0014637
88,-0.48073685,-0.15107618,"('low', 'eminent')",0.06242652,0.162284,-0.2091552,0.0056039,-0.2147591
34,-0.4726488,-0.54647213,"('mean', 'honorable')",5.1183786,5.348117,2.322865,2.4008224,-0.0779574
7,-0.47029725,-0.5538535,"('insensitive', 'sensitive')",0.87938154,0.8121532,0.2045421,0.1291499,0.0753922
85,-0.4618561,-0.675766,"('insignificant', 'prestigious')",0.62091106,0.276895,0.0795275,-0.1994355,0.278963
75,0.44112682,0.2616086,"('meek', 'impulsive')",-0.56842214,-0.65189314,-0.0636477,-0.1951423,0.1314946
64,0.43426448,0.23846518,"('shy', 'confident')",-5.9144897,-6.010504,-2.7401125,-2.8860192,0.1459067
80,0.4127742,0.057866246,"('dominated', 'dominating')",-0.6483861,-0.7342962,-0.117806,-0.338215,0.220409
74,-0.40677997,-0.3866241,"('undedicated', 'dedicated')",-0.42888403,-0.5061984,-0.417832,-0.4464113,0.0285793
87,0.3943765,0.11726608,"('unsuccessful', 'successful')",0.6360951,0.45777705,0.5152358,0.2875216,0.2277142
81,-0.3899686,-0.26844332,"('submissive', 'aggressive')",-0.031665996,0.35048634,-0.2108173,0.0410215,-0.2518388
47,-0.36536646,-0.3846355,"('stupid', 'smart')",5.779559,5.9199758,2.7070963,2.7676702,-0.0605739
25,-0.34313026,-0.46401188,"('egoistic', 'altruistic')",0.8907189,0.79392844,0.2737943,0.1649583,0.108836
70,-0.34205353,-0.1702349,"('lethargic', 'energetic')",0.0860427,0.08411384,-0.1280054,-0.0430605,-0.0849449
24,-0.33571747,-0.49102613,"('dishonest', 'honest')",1.0859969,1.0894341,0.3751397,0.299204,0.0759357
42,0.33037916,0.74314684,"('unreliable', 'reliable')",-3.2857769,-3.3911567,-1.4776988,-1.3240049,-0.1536939
