,norfolk_male,norfolk_female,tuple,southern_male,southern_female,corp_male,corp_female,average_male,average_female,male-female
40,1.9301417,1.7321135,"('stingy', 'generous')",0.923878,0.8267123,-1.5398808,-1.9511077,0.4380463,0.2025727,0.2354736
26,1.5076158,1.5028101,"('hardhearted', 'benevolent')",1.3543198,1.2223865,1.6127715,1.3802639,1.491569,1.3684869,0.1230821
12,1.2916784,1.1770706,"('unsupportive', 'supportive')",-0.30831593,-0.2660778,-1.680131,-1.7041054,-0.2322562,-0.2643708,0.0321146
33,1.219246,1.1995451,"('wrong', 'right')",1.5299156,1.3936483,-0.6436698,-0.83885103,0.7018306,0.5847809,0.1170497
77,-1.2064118,-1.1823542,"('unmotivated', 'motivated')",-0.4822315,-0.37973088,-1.1417161,-1.0590042,-0.9434532,-0.8736965,-0.0697567
76,-1.1878654,-1.2655013,"('anxious', 'daring')",-1.1344721,-1.042137,-0.32133844,-0.11343403,-0.8812253,-0.8070241,-0.0742012
9,1.1727499,1.0907238,"('unaffectionate', 'caring')",0.84644926,0.6950038,1.5062253,1.375186,1.1751415,1.0536378,0.1215037
7,1.1705261,1.0852779,"('insensitive', 'sensitive')",0.13997798,0.18836576,0.85678357,0.8370401,0.7224292,0.7035613,0.0188679
49,-1.1660148,-1.0331483,"('unable', 'able')",-1.1471972,-1.0704318,-0.27051342,-0.053986106,-0.8612418,-0.7191887,-0.1420531
54,-1.1541663,-1.0530843,"('incapable', 'capable')",-1.1382093,-1.149892,0.57983834,0.55864245,-0.5708458,-0.5481113,-0.0227345
37,1.0584178,0.9890349,"('fake', 'genuine')",0.4955796,0.3933741,0.36676368,0.29102442,0.6402537,0.5578111,0.0824426
20,-0.9723084,-1.0350108,"('rough', 'thoughtful')",-0.7529547,-0.75014466,1.0010304,0.8270465,-0.2414109,-0.3193697,0.0779588
85,0.93597853,0.8811349,"('insignificant', 'prestigious')",1.7064974,1.5680453,-0.18566048,-0.521871,0.8189386,0.6424364,0.1765022
25,0.8483736,0.836381,"('egoistic', 'altruistic')",1.8430341,1.7319233,1.6356345,1.4468045,1.4423474,1.3383697,0.1039777
74,0.8413037,0.75963765,"('undedicated', 'dedicated')",-0.6044588,-0.63300663,-0.3878396,-0.4647166,-0.0503316,-0.1126952,0.0623636
21,-0.78436667,-0.79951596,"('immoral', 'moral')",-0.3003172,-0.21478863,-0.4022407,-0.22077511,-0.4956415,-0.4116933,-0.0839482
68,-0.76616746,-0.7776327,"('dependent', 'independent')",-0.8938568,-0.9498445,-0.89292026,-0.96707946,-0.8509816,-0.8981856,0.047204
28,0.7313547,0.6998632,"('disloyal', 'loyal')",-0.31981763,-0.3539171,1.3061873,1.2776737,0.5725748,0.5412066,0.0313682
