,altria_male,altria_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.5055846,-1.342398,"('unfriendly', 'friendly')",-0.36175627,-0.12738195,1.5756997,1.6186048,-0.0972137,0.0496083,-0.146822
0,-1.4400681,-1.126298,"('unsociable', 'sociable')",0.5057112,0.54139334,-0.6788195,-0.5028506,-0.5377254,-0.3625851,-0.1751403
19,-1.401107,-1.0728738,"('inhospitable', 'hospitable')",-1.9167757,-1.7031676,-0.09493843,-0.1357882,-1.137607,-0.9706099,-0.1669971
53,-1.3742446,-1.3258972,"('uncreative', 'creative')",-0.3386797,-0.40970382,0.76813704,0.9020846,-0.3149291,-0.2778388,-0.0370903
6,-1.2954962,-1.0355699,"('distant', 'open')",-2.245121,-1.9869424,0.25573054,0.23834807,-1.0949622,-0.9280548,-0.1669074
31,-1.2540246,-1.189066,"('evil', 'good')",-1.5856354,-1.5551198,-0.7864786,-0.9324037,-1.2087129,-1.2255298,0.0168169
86,-1.2468432,-1.4925414,"('uninfluential', 'influential')",0.13033877,0.08782107,-0.313361,-0.19974491,-0.4766218,-0.5348217,0.0581999
10,-1.2359476,-0.90573496,"('unsympathetic', 'sympathetic')",0.018376771,0.3874101,-0.34721658,-0.07896608,-0.5215958,-0.199097,-0.3224988
5,-1.1221161,-0.8203347,"('distant', 'outgoing')",-1.9870664,-1.7829615,-0.33582318,-0.2938051,-1.1483351,-0.9657005,-0.1826346
79,-1.0537647,-1.2247173,"('wavering', 'unwavering')",-2.2029178,-2.0346642,-0.12357805,-0.17305046,-1.1267535,-1.1441439,0.0173904
52,-1.049418,-0.9649403,"('irrational', 'rational')",-1.0511087,-1.1470382,0.27108634,-0.0039897654,-0.6098135,-0.7053227,0.0955092
16,-1.0329067,-1.0369668,"('unpopular', 'popular')",-0.61123884,-0.7261387,0.26063,0.1049176,-0.4611718,-0.5527293,0.0915575
73,1.0138905,1.1292721,"('helpless', 'self-reliant')",-0.005784749,0.11583999,-3.2136762,-2.9853318,-0.7351902,-0.5800732,-0.155117
82,-1.0022415,-0.85894954,"('poor', 'rich')",-0.10268507,0.041690037,6.06895,6.246942,1.6546745,1.8098942,-0.1552197
57,-0.99507076,-0.9937736,"('unimaginative', 'imaginative')",-0.27716848,-0.101830006,-2.8208997,-2.4533587,-1.3643796,-1.1829874,-0.1813922
66,-0.9638066,-0.65059304,"('inactive', 'active')",-0.08417614,0.13820738,0.75049335,0.72122335,-0.0991632,0.0696126,-0.1687758
9,-0.9552473,-0.9354037,"('unaffectionate', 'caring')",-0.11910472,0.043410208,1.2351887,1.3764055,0.0536122,0.1614707,-0.1078585
59,0.927256,0.7144078,"('foolish', 'wise')",-1.0695156,-1.0798297,0.5120512,0.42486086,0.1232639,0.019813,0.1034509
85,-0.9143852,-1.1836464,"('insignificant', 'prestigious')",-0.9218762,-1.0985132,0.40948206,0.061306313,-0.4755931,-0.7402845,0.2646914
67,0.85988814,0.99474883,"('doubtful', 'determined')",0.36962482,0.42713314,-0.67327595,-0.72633636,0.1854123,0.2318485,-0.0464362
87,-0.835512,-0.31794077,"('unsuccessful', 'successful')",0.92638737,1.295376,0.6942874,0.9776653,0.2617209,0.6517002,-0.3899793
8,-0.7989658,-0.8524144,"('unaffectionate', 'affectionate')",-0.19802229,-0.14283848,0.8872951,0.9510804,-0.0365643,-0.0147242,-0.0218401
61,-0.79071987,-0.5281699,"('illogical', 'logical')",-0.39239976,-0.17238924,0.19633305,0.24100736,-0.3289289,-0.1531839,-0.175745
38,-0.77057827,-0.77026784,"('untruthful', 'truthful')",-1.1708659,-0.8720087,-0.20425746,-0.16758657,-0.7152339,-0.6032877,-0.1119462
46,-0.7645931,-0.5359494,"('uncompetitive', 'competitive')",1.424785,1.649236,-1.0123248,-0.7041041,-0.1173776,0.1363941,-0.2537717
77,-0.7632311,-0.9285524,"('unmotivated', 'motivated')",0.3887722,0.42551404,-1.3269839,-1.232027,-0.5671476,-0.5783552,0.0112076
30,0.75941557,0.8957729,"('intolerant', 'tolerant')",0.9678461,0.90131086,1.0033247,1.0283364,0.9101955,0.9418067,-0.0316112
36,-0.7583114,-0.9671011,"('hostile', 'amicable')",-1.6825124,-1.9321766,0.3597408,-0.066966645,-0.6936944,-0.9887481,0.2950537
37,0.74417996,0.9763466,"('fake', 'genuine')",-0.07596697,0.20810254,0.5402626,0.66543424,0.4028252,0.6166278,-0.2138026
