,american_male,american_female,tuple,express_male,express_female,co_male,co_female,average_male,average_female,male-female
73,1.7466197,1.5508784,"('helpless', 'self-reliant')",0.48880267,0.42701638,-3.0146592,-3.0706563,-0.2597456,-0.3642538,0.1045082
45,-1.6404948,-1.1910373,"('incompetent', 'competent')",-0.993586,-0.5873675,-0.8978132,-0.85593754,-1.1772981,-0.8781141,-0.299184
0,-1.3160474,-1.1226212,"('unsociable', 'sociable')",0.08294842,0.22151718,-0.5851368,-0.59677905,-0.6060786,-0.4992944,-0.1067842
47,-1.2714602,-1.1754792,"('stupid', 'smart')",0.10515033,0.15284812,5.1269026,5.1869154,1.3201976,1.3880947,-0.0678971
82,-1.2405385,-0.9968404,"('poor', 'rich')",-0.5030446,-0.44323453,5.908062,5.91386,1.3881596,1.4912616,-0.103102
85,1.1680654,0.53468204,"('insignificant', 'prestigious')",0.56994575,0.097370744,0.2011934,-0.18481426,0.6464015,0.1490795,0.497322
39,1.1490954,0.9621941,"('exploitative', 'cooperative')",0.838853,0.7374161,0.5341988,0.53904885,0.8407157,0.7462197,0.094496
3,-1.1471547,-0.9334142,"('repellent', 'pleasant')",-1.1879221,-0.94214433,0.42853472,0.4875452,-0.635514,-0.4626711,-0.1728429
78,-1.1367353,-1.0257651,"('nonresilient', 'resilient')",-0.63245565,-0.7378168,-0.7553756,-0.74960285,-0.8415222,-0.8377283,-0.0037939
22,-1.1113502,-0.7802401,"('untrustworthy', 'trustworthy')",-1.0417571,-0.65326947,-1.05997,-0.9583604,-1.0710257,-0.79729,-0.2737357
18,1.101985,0.8157146,"('disagreeable', 'welcoming')",0.41141126,0.17770275,-0.32233885,-0.54045826,0.3970191,0.1509864,0.2460327
40,1.0658579,0.84931266,"('stingy', 'generous')",0.5970333,0.5165249,-1.985653,-2.1265209,-0.1075873,-0.2535611,0.1459738
77,-1.0139588,-1.010999,"('unmotivated', 'motivated')",-0.44428715,-0.33858633,-1.562186,-1.5239848,-1.0068107,-0.9578567,-0.048954
33,1.0036623,0.69843405,"('wrong', 'right')",0.8351625,0.53880733,-0.23159334,-0.38815737,0.5357438,0.283028,0.2527158
49,-0.98522276,-1.0587254,"('unable', 'able')",-0.374033,-0.4426129,-0.79129124,-0.7588946,-0.716849,-0.753411,0.036562
52,0.9706812,0.37102714,"('irrational', 'rational')",0.01290296,-0.55929756,0.5571882,0.26815474,0.5135908,0.0266281,0.4869627
66,0.96740514,0.79839504,"('inactive', 'active')",-0.17062335,-0.26372826,0.6512476,0.46115535,0.4826765,0.3319407,0.1507358
29,-0.9665134,-0.979205,"('unfair', 'fair')",-1.0435638,-1.0858207,-0.54282224,-0.58820075,-0.8509665,-0.8844089,0.0334424
55,-0.9159582,-0.57106256,"('incompetent', 'clever')",-0.5474151,-0.20069277,-0.32753864,-0.29785264,-0.5969706,-0.356536,-0.2404346
13,-0.9031992,-0.5819424,"('impolite', 'polite')",0.003997326,0.30749446,-1.0244228,-0.74697393,-0.6412082,-0.340474,-0.3007342
23,-0.8967657,-0.7547269,"('insincere', 'sincere')",-0.30908322,-0.28859025,5.339304,5.42373,1.3778184,1.4601377,-0.0823193
46,-0.88499284,-0.5679106,"('uncompetitive', 'competitive')",-0.17208853,0.0060293525,-1.84231,-1.7226859,-0.9664637,-0.7615224,-0.2049413
57,-0.82391804,-0.52529633,"('unimaginative', 'imaginative')",-0.99971414,-0.87220395,-3.801796,-3.646947,-1.8751427,-1.6814823,-0.1936604
69,0.8095357,0.43214902,"('lazy', 'industrious')",0.7894661,0.42244017,-0.32387853,-0.64176905,0.4250411,0.0709401,0.354101
24,0.80069345,0.67729235,"('dishonest', 'honest')",0.44174075,0.49465114,0.47380635,0.49028262,0.5720802,0.5540754,0.0180048
14,-0.7677051,-0.23338924,"('antisocial', 'social')",-0.21611997,0.36610308,-0.6849878,-0.6391878,-0.556271,-0.1688247,-0.3874463
16,-0.69664323,-0.97530997,"('unpopular', 'popular')",-0.40044078,-0.605659,0.3533436,0.16560519,-0.2479135,-0.4717879,0.2238744
2,0.6951637,0.48293555,"('unlikable', 'likable')",1.0394156,1.0568928,0.7871221,0.6751717,0.8405671,0.7383333,0.1022338
25,0.67920285,0.30559808,"('egoistic', 'altruistic')",1.4475998,1.1846423,1.8959607,1.5999428,1.3409211,1.0300611,0.31086
26,0.67764676,0.76434547,"('hardhearted', 'benevolent')",1.565155,1.5192456,1.4786626,1.2816046,1.2404881,1.1883985,0.0520896
64,0.67622,0.8419642,"('shy', 'confident')",-0.5500572,-0.38629255,-6.1428256,-5.9661326,-2.0055542,-1.8368203,-0.1687339
79,0.67241514,0.47486803,"('wavering', 'unwavering')",-0.5011618,-0.7596488,-0.37387326,-0.47100133,-0.06754,-0.2519274,0.1843874
11,-0.6557187,-0.4073924,"('unhelpful', 'helpful')",-0.85227454,-0.80005515,1.0242611,1.1829438,-0.161244,-0.0081679,-0.1530761
62,-0.6503,-0.286137,"('incompetent', 'brilliant')",0.028295163,0.404237,-0.66657263,-0.46971446,-0.4295259,-0.1172048,-0.3123211
86,-0.6222493,-0.36688474,"('uninfluential', 'influential')",-0.59429497,-0.41478935,-0.98000705,-0.8746645,-0.7321838,-0.5521129,-0.1800709
34,-0.59143937,-0.5924816,"('mean', 'honorable')",-0.28487724,-0.2090942,5.006991,4.9031687,1.3768915,1.3671977,0.0096938
88,0.5897273,0.550792,"('low', 'eminent')",0.45258555,0.3230556,-0.43213677,-0.45934352,0.203392,0.138168,0.065224
35,0.58109045,0.05838097,"('corrupt', 'incorrupt')",0.058570974,-0.34823263,0.10319868,-0.1568109,0.24762,-0.1488875,0.3965075
19,0.57677424,0.21829392,"('inhospitable', 'hospitable')",-0.29697132,-0.49719816,-0.33222935,-0.40179735,-0.0174755,-0.2269005,0.209425
5,0.5741568,0.06724945,"('distant', 'outgoing')",0.24899387,-0.18446143,-0.06730202,-0.16234577,0.2519495,-0.0931859,0.3451354
10,-0.5741385,-0.31054676,"('unsympathetic', 'sympathetic')",-0.889367,-0.64774305,-0.92899096,-0.70203424,-0.7974989,-0.5534414,-0.2440575
60,-0.5453355,-0.034992673,"('inefficient', 'efficient')",0.38671932,0.84215444,-0.7355997,-0.4591909,-0.2980719,0.1159903,-0.4140622
42,0.5316618,0.771936,"('unreliable', 'reliable')",-0.22019653,-0.039805204,-3.3141875,-3.0485144,-1.0009074,-0.7721279,-0.2287795
67,0.522028,0.6845025,"('doubtful', 'determined')",0.23309125,0.2426073,-0.3779284,-0.3329483,0.1257303,0.1980538,-0.0723235
65,-0.51692796,-0.22925082,"('insecure', 'secure')",-0.61646914,-0.33742782,-0.27396345,-0.16850127,-0.4691202,-0.24506,-0.2240602
44,0.5143015,0.4492919,"('prejudiced', 'unprejudiced')",0.21653163,0.15431078,-0.61844265,-0.6040133,0.0374635,-0.0001369,0.0376004
72,0.49235153,0.5855614,"('unambitious', 'ambitious')",0.29414836,0.50544786,-0.27639532,-0.11140378,0.1700348,0.3265352,-0.1565004
71,0.48539793,0.16650818,"('diffident', 'self-confident')",0.8364604,0.59446543,0.3126498,0.3213812,0.544836,0.3607849,0.1840511
53,-0.47541586,-0.59817946,"('uncreative', 'creative')",-0.5240773,-0.7241775,0.35404232,0.30024207,-0.2151503,-0.340705,0.1255547
9,0.47380134,0.127422,"('unaffectionate', 'caring')",0.56213546,0.28711975,0.8657273,0.7957389,0.633888,0.4034269,0.2304611
37,-0.4603284,-0.412404,"('fake', 'genuine')",-0.37113374,-0.3575416,-0.11798411,-0.09294151,-0.3164821,-0.287629,-0.0288531
75,0.4446176,0.4237564,"('meek', 'impulsive')",-0.33352154,-0.27543765,-0.32867628,-0.2641446,-0.0725267,-0.0386086,-0.0339181
30,-0.42018557,-0.1735424,"('intolerant', 'tolerant')",0.14577962,0.3672198,0.2380481,0.3358714,-0.0121193,0.1765163,-0.1886356
27,0.38313282,0.22623248,"('hardhearted', 'softhearted')",0.08534152,0.067540206,1.041312,0.9657648,0.5032621,0.4198458,0.0834163
74,0.3778289,0.46632624,"('undedicated', 'dedicated')",0.015221395,0.04999602,-0.23522499,-0.26242965,0.0526084,0.0846309,-0.0320225
6,0.37493452,-0.11111815,"('distant', 'open')",0.09730334,-0.3389381,0.459751,0.30263788,0.3106629,-0.0491395,0.3598024
76,0.36810818,0.5617122,"('anxious', 'daring')",0.34325704,0.4774791,-0.4693821,-0.32543367,0.080661,0.2379192,-0.1572582
20,0.36701068,0.40668067,"('rough', 'thoughtful')",0.026831124,0.13739055,0.570224,0.46847904,0.3213553,0.3375167,-0.0161614
87,-0.3306505,-0.33592826,"('unsuccessful', 'successful')",0.016032139,0.02696186,-0.14126998,-0.35119385,-0.1519628,-0.2200534,0.0680906
54,0.3044616,0.014357746,"('incapable', 'capable')",-0.053020917,-0.19286452,0.7966651,0.692832,0.3493686,0.1714417,0.1779269
7,-0.29284194,-0.10985759,"('insensitive', 'sensitive')",-0.36193955,-0.10940778,-0.4914153,-0.35673898,-0.3820656,-0.1920015,-0.1900641
15,0.29097375,0.08519718,"('boring', 'funny')",0.7188361,0.53129655,0.1298799,0.057153292,0.3798966,0.224549,0.1553476
70,-0.27894634,0.11745433,"('lethargic', 'energetic')",-0.7142077,-0.34060344,-0.18245374,0.042759106,-0.3918693,-0.06013,-0.3317393
41,-0.27305552,-0.28615594,"('unforgiving', 'forgiving')",0.38790357,0.38515383,0.05047207,-0.03738621,0.0551067,0.0205372,0.0345695
17,-0.23622756,-0.34789032,"('nasty', 'nice')",0.3061823,0.31587264,-0.1772042,-0.22443484,-0.0357498,-0.0854842,0.0497344
63,-0.22892012,0.035624396,"('unperceptive', 'insightful')",-0.23443308,-0.031805985,-0.7693009,-0.57062817,-0.4108847,-0.1889366,-0.2219481
43,-0.22840449,-0.015769094,"('irresponsible', 'responsible')",-0.45092466,-0.2044024,-0.24884847,-0.007177377,-0.3093925,-0.075783,-0.2336095
28,-0.22580142,-0.2789354,"('disloyal', 'loyal')",-0.521355,-0.6547079,0.66808176,0.5354131,-0.0263582,-0.1327434,0.1063852
80,-0.21270385,0.08461092,"('dominated', 'dominating')",-0.41856483,-0.20048682,-1.4185277,-1.2073649,-0.6832654,-0.4410803,-0.2421851
8,-0.20284995,-0.5928593,"('unaffectionate', 'affectionate')",0.35948658,-0.009186378,0.6249452,0.46476856,0.2605273,-0.0457591,0.3062864
59,0.19420812,-0.17105153,"('foolish', 'wise')",-0.7724677,-1.0796654,0.38467008,0.25471216,-0.0645298,-0.3320016,0.2674718
32,-0.18634649,-0.098086655,"('unkind', 'kind')",-0.33718807,-0.34140342,0.37119713,0.54018325,-0.0507791,0.0335644,-0.0843435
4,-0.18506563,-0.30104807,"('disliked', 'liked')",-0.044392325,-0.045574553,-6.955717,-7.029645,-2.3950583,-2.4587558,0.0636975
84,0.18236539,0.15363906,"('inferior', 'superior')",0.106129564,0.0342808,0.4981436,0.4379291,0.2622129,0.2086163,0.0535966
21,-0.17910495,-0.044953562,"('immoral', 'moral')",-0.42508465,-0.16546296,-1.3851876,-1.2981132,-0.6631258,-0.5028433,-0.1602825
58,0.17801757,0.23633347,"('undiscriminating', 'discriminating')",0.017493933,0.16721225,-0.07026906,-0.11342731,0.0417475,0.0967061,-0.0549586
12,0.17654443,0.22775376,"('unsupportive', 'supportive')",-0.45788473,-0.38030124,-2.5159893,-2.355755,-0.9324432,-0.8361009,-0.0963423
48,0.17616771,0.22791512,"('unintelligent', 'intelligent')",0.15197182,0.19420537,-0.6049732,-0.62290776,-0.0922779,-0.0669291,-0.0253488
50,0.17339022,0.054768723,"('clumsy', 'skillful')",-0.5336602,-0.7992179,-0.30543014,-0.37863678,-0.2219,-0.374362,0.152462
51,-0.17162621,0.1666917,"('uneducated', 'educated')",-0.39964736,-0.15210642,-0.061242223,0.0739993,-0.2108386,0.0295282,-0.2403668
61,0.15365838,0.16610016,"('illogical', 'logical')",-0.52049416,-0.48436972,-0.26024172,-0.2720221,-0.2090258,-0.1967639,-0.0122619
83,0.13562009,0.18727767,"('powerless', 'powerful')",0.70756304,0.6801109,-1.3384843,-1.2725327,-0.1651004,-0.1350481,-0.0300523
68,-0.0963134,0.038867876,"('dependent', 'independent')",-1.4187052,-1.3198237,-1.513195,-1.4689796,-1.0094045,-0.9166452,-0.0927593
1,0.09432302,-0.21187414,"('unfriendly', 'friendly')",0.6331828,0.2740342,1.8022615,1.5646346,0.8432558,0.5422649,0.3009909
81,-0.0796226,0.4428301,"('submissive', 'aggressive')",0.19213858,0.6186427,-1.4730101,-1.1901932,-0.453498,-0.0429068,-0.4105912
31,-0.07525134,-0.31622002,"('evil', 'good')",-0.4247017,-0.5331357,-0.18415932,-0.38332385,-0.2280375,-0.4108932,0.1828557
38,-0.051620226,0.05661118,"('untruthful', 'truthful')",-0.028470326,-0.0018348694,-0.3685233,-0.34421456,-0.149538,-0.0964794,-0.0530586
56,0.050225154,0.4382367,"('impractical', 'practical')",0.5174365,0.80563563,-1.1110934,-0.86657476,-0.1811439,0.1257659,-0.3069098
36,-0.04631785,-0.6552637,"('hostile', 'amicable')",0.6630911,0.306502,0.72844833,0.33357137,0.4484072,-0.0050634,0.4534706
