,assurant_male,assurant_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.1186457,-2.328324,"('uninfluential', 'influential')",-0.023181554,-0.26755178,-1.0709136,-1.2979379,0.2270243
1,-1.931194,-2.0032961,"('unfriendly', 'friendly')",2.1501274,2.223781,0.1094667,0.1102425,-0.0007758
69,1.7671195,1.6377239,"('lazy', 'industrious')",-0.30085185,-0.3561589,0.7331339,0.6407825,0.0923514
0,-1.7291484,-2.05362,"('unsociable', 'sociable')",-0.38415882,-0.5981968,-1.0566536,-1.3259084,0.2692548
53,-1.6979212,-1.6282043,"('uncreative', 'creative')",0.78576434,0.8923573,-0.4560784,-0.3679235,-0.0881549
9,-1.6051488,-1.5572057,"('unaffectionate', 'caring')",1.183935,1.3158705,-0.2106069,-0.1206676,-0.0899393
57,-1.6000806,-1.7345603,"('unimaginative', 'imaginative')",-2.4323635,-2.634617,-2.016222,-2.1845887,0.1683667
46,-1.5575806,-1.5379797,"('uncompetitive', 'competitive')",-0.9847583,-1.0764818,-1.2711694,-1.3072307,0.0360613
11,-1.3852491,-1.3419437,"('unhelpful', 'helpful')",1.5487714,1.6269948,0.0817611,0.1425256,-0.0607645
12,-1.3491567,-1.3017666,"('unsupportive', 'supportive')",-1.6771129,-1.6715128,-1.5131348,-1.4866397,-0.0264951
77,-1.3273114,-1.2456483,"('unmotivated', 'motivated')",-1.4235549,-1.3191227,-1.3754332,-1.2823855,-0.0930477
23,-1.310202,-1.347611,"('insincere', 'sincere')",5.4350343,5.625739,2.0624161,2.1390641,-0.076648
19,-1.2805536,-1.217452,"('inhospitable', 'hospitable')",0.37987587,0.37278584,-0.4503388,-0.4223331,-0.0280057
35,1.259976,1.1903622,"('corrupt', 'incorrupt')",0.24733868,0.20398839,0.7536573,0.6971753,0.056482
43,-1.236698,-1.1413147,"('irresponsible', 'responsible')",0.3174408,0.3742091,-0.4596286,-0.3835528,-0.0760758
73,1.23069,1.2382958,"('helpless', 'self-reliant')",-2.6204395,-2.5749335,-0.6948748,-0.6683189,-0.0265559
