,cms_male,cms_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
39,1.6502677,1.9519998,"('exploitative', 'cooperative')",0.3455324,0.5017163,0.13346136,0.2920941,0.7097538,0.91527,-0.2055162
8,-1.5766066,-1.7169594,"('unaffectionate', 'affectionate')",-0.47030002,-0.5117056,0.3221212,0.13561705,-0.5749285,-0.6976826,0.1227541
1,-1.5702554,-1.7603099,"('unfriendly', 'friendly')",0.5646001,0.44544703,1.0676991,0.8342762,0.0206813,-0.1601956,0.1808769
6,-1.5432602,-1.8324382,"('distant', 'open')",-0.38120803,-0.6175752,-1.134568,-1.4146979,-1.0196788,-1.2882371,0.2685583
57,-1.40371,-1.1170682,"('unimaginative', 'imaginative')",0.81895053,0.9659015,-2.623159,-2.57572,-1.0693061,-0.9089622,-0.1603439
10,-1.2932644,-1.0452302,"('unsympathetic', 'sympathetic')",-0.7074456,-0.5555408,-0.3710496,-0.22805952,-0.7905866,-0.6096102,-0.1809764
73,1.271738,1.2726314,"('helpless', 'self-reliant')",1.4096143,1.5698507,-3.3197787,-3.5046062,-0.2128088,-0.2207081,0.0078993
86,-1.1312715,-1.2683789,"('uninfluential', 'influential')",0.47468847,0.45127013,-0.40923163,-0.4058774,-0.3552715,-0.4076621,0.0523906
18,-1.1114631,-1.2154502,"('disagreeable', 'welcoming')",-1.0594498,-1.2151091,-0.8237691,-0.86399156,-0.9982273,-1.0981836,0.0999563
36,-1.1023011,-1.2026885,"('hostile', 'amicable')",-0.5717832,-0.42859778,-0.6924618,-0.63556826,-0.7888487,-0.7556182,-0.0332305
9,-1.0770242,-1.2152392,"('unaffectionate', 'caring')",0.45706132,0.39601517,0.91085184,0.7818989,0.096963,-0.0124417,0.1094047
78,-1.0663476,-1.1880107,"('nonresilient', 'resilient')",0.20403343,0.10646589,-0.14523,-0.18196185,-0.3358481,-0.4211689,0.0853208
26,-0.98826313,-0.8178046,"('hardhearted', 'benevolent')",0.71703744,0.8588476,1.7071747,1.7410814,0.4786497,0.5940415,-0.1153918
79,-0.9501675,-1.0380981,"('wavering', 'unwavering')",-0.36996487,-0.4740661,-0.6707174,-0.7887098,-0.6636166,-0.766958,0.1033414
