,peabody_male,peabody_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
75,-2.6020248,-2.1776283,"('meek', 'impulsive')",0.16721769,0.23070802,-0.6672956,-0.59051687,-1.0340343,-0.8458124,-0.1882219
39,2.5021753,2.3156376,"('exploitative', 'cooperative')",0.015610237,0.1528591,0.09011296,0.30997467,0.8692995,0.9261572,-0.0568577
60,2.270718,1.1627773,"('inefficient', 'efficient')",1.7096474,1.418742,0.45412883,0.3177335,1.4781648,0.9664176,0.5117472
31,-2.1765456,-1.2176654,"('evil', 'good')",-1.110413,-0.81736785,-1.7310461,-1.2720807,-1.6726683,-1.1023713,-0.570297
24,2.148566,2.079901,"('dishonest', 'honest')",0.26927674,0.51662797,0.6628824,0.7342253,1.0269084,1.1102514,-0.083343
6,-2.1066492,-0.6424798,"('distant', 'open')",-0.5718693,0.06954217,-1.064729,-0.6130863,-1.2477492,-0.3953413,-0.8524079
12,2.0746272,1.6494712,"('unsupportive', 'supportive')",0.52302635,0.65719354,-1.6578096,-1.2384183,0.3132813,0.3560821,-0.0428008
76,1.9432636,1.1761613,"('anxious', 'daring')",-0.045299217,-0.35212764,0.354814,0.12680057,0.7509262,0.3169447,0.4339815
10,1.902585,1.0077974,"('unsympathetic', 'sympathetic')",-0.9020158,-0.96545666,-0.028030703,-0.2944513,0.3241795,-0.0840369,0.4082164
74,1.8979816,1.8830653,"('undedicated', 'dedicated')",-0.43726736,-0.28271276,-0.4935526,-0.29479483,0.3223873,0.4351859,-0.1127986
21,1.8978782,1.2529786,"('immoral', 'moral')",1.1160492,0.88616955,0.07433312,-0.2653548,1.0294202,0.6245978,0.4048224
55,1.8364365,0.6851875,"('incompetent', 'clever')",-0.33335716,-0.74999845,0.65472543,0.25550497,0.7192683,0.0635647,0.6557036
65,1.8304902,0.81518745,"('insecure', 'secure')",0.20407553,-0.13618062,0.4724527,0.046224467,0.8356728,0.2417438,0.593929
43,1.7963643,1.2396705,"('irresponsible', 'responsible')",0.6249236,0.6802827,0.5911478,0.72599316,1.0041453,0.8819822,0.1221631
16,-1.7414055,-1.2160684,"('unpopular', 'popular')",0.02227743,0.083878115,0.20740017,0.1641857,-0.5039093,-0.3226682,-0.1812411
36,-1.715223,-0.60508645,"('hostile', 'amicable')",-0.89130545,-0.5051796,-0.8901007,-0.64824253,-1.165543,-0.5861695,-0.5793735
69,-1.713107,-0.990348,"('lazy', 'industrious')",1.0766444,1.2783468,-1.023054,-0.47251505,-0.5531722,-0.0615054,-0.4916668
72,1.6787835,1.3696527,"('unambitious', 'ambitious')",0.9299471,0.9836547,-0.2958747,-0.48354116,0.7709519,0.6232555,0.1476964
80,1.6613237,0.81962657,"('dominated', 'dominating')",0.3867423,-0.03384927,0.30517185,0.04761597,0.7844125,0.2777978,0.5066147
13,1.6566904,0.98486173,"('impolite', 'polite')",-0.26631653,-0.20289057,-0.25565645,-0.27786803,0.3782391,0.1680344,0.2102047
7,1.6512173,1.2244519,"('insensitive', 'sensitive')",0.81594944,0.7978438,1.0083318,0.8120075,1.1584996,0.9447677,0.2137319
23,1.6131392,0.82262754,"('insincere', 'sincere')",-0.42536664,-0.5906674,5.8230286,4.745973,2.3369338,1.6593111,0.6776227
70,1.5789212,0.8761011,"('lethargic', 'energetic')",0.33711526,0.24046335,0.8985203,0.6712295,0.9381856,0.5959313,0.3422543
35,-1.5772154,-0.17096855,"('corrupt', 'incorrupt')",-0.6728375,-0.38749444,-1.2806959,-0.91497207,-1.1769163,-0.491145,-0.6857713
30,1.5597761,1.1987854,"('intolerant', 'tolerant')",0.64339995,0.62640595,0.5217696,0.6791521,0.9083152,0.8347812,0.073534
56,1.5411081,0.7569031,"('impractical', 'practical')",0.87131375,0.7258838,-0.14348996,-0.39958405,0.7563106,0.3610676,0.395243
5,-1.5408036,-0.08641137,"('distant', 'outgoing')",-0.17071562,0.44160873,-0.89648217,-0.45089075,-0.8693337,-0.0318978,-0.8374359
52,-1.4304205,-0.23396333,"('irrational', 'rational')",-0.6407013,-0.1843863,-0.60365635,-0.27980575,-0.8915927,-0.2327185,-0.6588742
62,1.3640894,0.7533249,"('incompetent', 'brilliant')",0.572211,0.28868067,0.9237869,0.737156,0.9533625,0.5930538,0.3603087
46,1.3360872,0.09994955,"('uncompetitive', 'competitive')",-0.09050437,-0.39030915,-0.3287609,-0.6008146,0.3056073,-0.2970581,0.6026654
71,1.3315878,1.6779876,"('diffident', 'self-confident')",1.2819734,1.4541848,0.47574466,0.49439618,1.0297686,1.2088562,-0.1790876
32,1.2790504,1.0025891,"('unkind', 'kind')",-0.35874268,-0.25037682,0.74997205,0.6506645,0.5567599,0.4676256,0.0891343
59,-1.2539611,-0.07918398,"('foolish', 'wise')",0.77064466,1.070396,-0.26774007,0.0937902,-0.2503522,0.3616674,-0.6120196
61,1.2506701,1.3399899,"('illogical', 'logical')",0.8607059,1.0089494,0.5623017,0.65421754,0.8912259,1.0010523,-0.1098264
14,1.2222209,0.5581734,"('antisocial', 'social')",0.79781085,0.59635997,0.25483578,0.07672308,0.7582892,0.4104188,0.3478704
29,-1.1957746,-0.67529935,"('unfair', 'fair')",-0.4925058,-0.4645673,-0.4065827,-0.33406106,-0.6982876,-0.4913092,-0.2069784
4,-1.1845871,-0.17580281,"('disliked', 'liked')",0.4628361,0.57943565,-6.9090447,-5.7099857,-2.5435987,-1.7687844,-0.7748143
79,-1.1420248,-0.25982115,"('wavering', 'unwavering')",-0.6351754,-0.17963327,-0.5423711,-0.50157094,-0.7731904,-0.3136751,-0.4595153
51,1.1170322,0.57291305,"('uneducated', 'educated')",-0.192787,-0.3146718,0.51074404,0.34477764,0.4783297,0.2010063,0.2773234
64,1.0657232,1.0240338,"('shy', 'confident')",0.81627476,0.8537131,-5.929836,-4.8593535,-1.3492792,-0.9938689,-0.3554103
26,1.032207,1.4795474,"('hardhearted', 'benevolent')",0.48085493,0.73865795,1.0859783,1.5728447,0.8663468,1.2636834,-0.3973366
78,1.0174427,0.5090628,"('nonresilient', 'resilient')",0.6834521,0.300673,0.5470946,0.10304712,0.7493298,0.304261,0.4450688
85,-1.0083175,0.7076383,"('insignificant', 'prestigious')",0.14339393,0.71239746,-0.883781,-0.2677899,-0.5829015,0.384082,-0.9669835
44,-0.9881126,-0.86548084,"('prejudiced', 'unprejudiced')",-0.3825209,-0.33203706,-1.3889978,-1.2225292,-0.9198771,-0.8066823,-0.1131948
42,0.97360516,0.9811162,"('unreliable', 'reliable')",0.08197816,0.17504314,-2.2662327,-1.8314595,-0.4035498,-0.2251001,-0.1784497
37,0.9678492,0.8661126,"('fake', 'genuine')",0.008805782,-0.010839034,0.06902742,-0.025531067,0.3485608,0.2765808,0.07198
63,0.90757185,0.32700655,"('unperceptive', 'insightful')",0.62311316,0.44606847,1.0749167,0.958066,0.8685339,0.577047,0.2914869
81,0.89595693,0.04007954,"('submissive', 'aggressive')",1.4012482,0.98647815,0.06265922,-0.10605494,0.7866215,0.3068342,0.4797873
48,0.88660324,0.08189434,"('unintelligent', 'intelligent')",1.1486475,0.93184555,0.7561363,0.530416,0.9304624,0.5147186,0.4157438
8,-0.85595316,0.012887731,"('unaffectionate', 'affectionate')",-0.8850411,-0.4834535,-0.029897608,0.18362764,-0.5902973,-0.0956461,-0.4946512
17,-0.8411152,-0.55274844,"('nasty', 'nice')",-1.1371182,-1.016131,-0.5937251,-0.5895315,-0.8573195,-0.7194703,-0.1378492
58,0.8280538,0.7693939,"('undiscriminating', 'discriminating')",0.96816856,0.9189515,0.08677144,0.06998317,0.6276646,0.5861095,0.0415551
25,-0.79101694,-0.09712647,"('egoistic', 'altruistic')",0.94692135,0.88649166,0.8585736,0.96973264,0.3381593,0.5863659,-0.2482066
9,0.78315556,1.462855,"('unaffectionate', 'caring')",0.16965503,0.4604522,0.8717001,0.9091416,0.6081702,0.9441496,-0.3359794
11,0.7606741,0.16466813,"('unhelpful', 'helpful')",0.1899172,0.09901689,2.254837,1.9110755,1.0684761,0.7249202,0.3435559
73,0.7462367,1.1089573,"('helpless', 'self-reliant')",1.396103,1.5168327,-3.4355536,-2.9786997,-0.4310713,-0.1176365,-0.3134348
77,0.7013807,0.07318323,"('unmotivated', 'motivated')",0.84972036,0.71362334,-0.7319264,-0.8708128,0.2730582,-0.0280021,0.3010603
18,-0.6827947,-0.5491768,"('disagreeable', 'welcoming')",-0.81805474,-0.8491991,-0.783065,-0.6958067,-0.7613049,-0.6980609,-0.063244
67,-0.66910696,-0.21858507,"('doubtful', 'determined')",-0.3359429,-0.13638538,-0.43753693,-0.24007232,-0.4808623,-0.1983476,-0.2825147
54,-0.6515902,-0.04653543,"('incapable', 'capable')",-0.60110474,-0.3212086,0.39908266,0.38905963,-0.2845374,0.0071052,-0.2916426
0,0.6464369,0.09318923,"('unsociable', 'sociable')",-0.5194639,-0.5855715,-0.105583414,-0.20646225,0.0071299,-0.2329482,0.2400781
19,-0.6238296,0.048400372,"('inhospitable', 'hospitable')",-1.1842302,-0.70020705,-0.8737744,-0.6359747,-0.8939447,-0.4292605,-0.4646842
86,0.62380373,0.4299478,"('uninfluential', 'influential')",0.3065949,0.51856387,-0.3372187,-0.31444836,0.1977266,0.2113544,-0.0136278
