,eastman_male,eastman_female,tuple,kodak_male,kodak_female,co_male,co_female,average_male,average_female,male-female
69,2.4470198,2.3104575,"('lazy', 'industrious')",3.1840813,3.0366173,-1.0403285,-1.0476372,1.5302575,1.4331458,0.0971117
21,-2.1629562,-2.124154,"('immoral', 'moral')",-2.4009182,-2.3225315,-0.3870139,-0.5363781,-1.6502961,-1.6610212,0.0107251
70,-2.0407133,-1.889427,"('lethargic', 'energetic')",-2.797047,-2.6637561,0.21662535,0.41728288,-1.5403783,-1.3786333,-0.161745
10,-2.0145593,-1.7599132,"('unsympathetic', 'sympathetic')",-3.468316,-3.1976736,-0.4678454,-0.06567155,-1.9835736,-1.6744194,-0.3091542
85,1.9960047,1.9202541,"('insignificant', 'prestigious')",3.019891,2.8545394,-1.1287167,-1.2708288,1.2957264,1.1679883,0.1277381
43,-1.869792,-1.8362346,"('irresponsible', 'responsible')",-2.766445,-2.7064111,0.45005876,0.3623975,-1.3953927,-1.3934159,-0.0019768
76,-1.8615519,-1.8150396,"('anxious', 'daring')",-1.737462,-1.7742417,0.30668324,0.40427187,-1.0974435,-1.0616698,-0.0357737
26,1.7873328,2.064435,"('hardhearted', 'benevolent')",0.94324845,1.2574817,1.500998,1.8240037,1.4105264,1.7153068,-0.3047804
40,1.6529948,1.855787,"('stingy', 'generous')",0.29169196,0.36143902,-2.325043,-2.1768053,-0.1267854,0.0134736,-0.140259
55,-1.6416968,-1.5437587,"('incompetent', 'clever')",-2.371053,-2.2331154,0.4733696,0.47741187,-1.1797934,-1.0998208,-0.0799726
45,-1.6355401,-1.3613827,"('incompetent', 'competent')",-2.5077085,-2.2243881,-0.7602154,-0.46262273,-1.6344879,-1.3494646,-0.2850233
46,-1.5881261,-1.4664171,"('uncompetitive', 'competitive')",-2.197138,-2.065136,-0.42191026,-0.31039992,-1.4023914,-1.280651,-0.1217404
36,1.5460504,1.6617115,"('hostile', 'amicable')",1.8377656,1.8203621,-0.33469298,-0.5981402,1.0163743,0.9613111,0.0550632
1,1.5168331,1.6536167,"('unfriendly', 'friendly')",0.19865881,0.24700864,0.9627278,0.9805516,0.8927399,0.9603923,-0.0676524
33,1.4778097,1.38883,"('wrong', 'right')",1.2950718,1.1455442,-0.8203664,-0.9806456,0.6508384,0.5179095,0.1329289
13,-1.4636014,-1.4658434,"('impolite', 'polite')",-2.1249545,-2.0811539,0.118861824,-0.043650746,-1.1565646,-1.1968827,0.0403181
6,1.463468,1.5751691,"('distant', 'open')",0.8167039,0.7882068,-1.3141787,-1.2667376,0.3219977,0.3655461,-0.0435484
63,-1.4152114,-1.2276186,"('unperceptive', 'insightful')",-1.5764593,-1.4431938,0.18720827,0.3408028,-0.9348208,-0.7766698,-0.158151
81,-1.3973129,-1.3568621,"('submissive', 'aggressive')",-2.1646774,-2.0788038,-0.23773426,-0.21204838,-1.2665749,-1.2159047,-0.0506702
59,1.3920873,1.3462015,"('foolish', 'wise')",1.8470165,1.8347695,-0.14039254,-0.32845494,1.0329038,0.9508387,0.0820651
22,-1.3911766,-1.3824837,"('untrustworthy', 'trustworthy')",-1.5831745,-1.6381572,-0.110264,-0.34883147,-1.028205,-1.1231574,0.0949524
5,1.3722075,1.4710658,"('distant', 'outgoing')",0.97527015,0.9915468,-1.3748131,-1.3273971,0.3242215,0.3784052,-0.0541837
65,-1.3642781,-1.5625886,"('insecure', 'secure')",-2.411484,-2.4709902,0.79928553,0.6156448,-0.9921589,-1.1393113,0.1471524
15,1.2633549,1.2408355,"('boring', 'funny')",1.4881171,1.5331135,1.1653724,0.96227974,1.3056148,1.2454096,0.0602052
74,1.2403548,1.6095805,"('undedicated', 'dedicated')",-0.6543044,-0.4183902,0.24280474,0.463053,0.2762851,0.5514144,-0.2751293
