,american_male,american_female,tuple,electric_male,electric_female,power_male,power_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
36,-1.4415908,-1.5684978,"('hostile', 'amicable')",0.4275783,0.39646938,-0.18130869,-0.36880028,-0.6819927,-0.72644985,0.5446977,0.45981064,-0.2665232,-0.3614936,0.0949704
66,1.4220903,1.4651337,"('inactive', 'active')",0.19043045,0.29151684,0.025883965,0.0647512,0.4235289,0.29757947,1.2861749,1.3008858,0.6696217,0.6839734,-0.0143517
73,1.2970133,1.423241,"('helpless', 'self-reliant')",1.5156237,1.5923963,0.9969419,1.0150023,0.70500195,0.9356612,-3.841017,-3.5790162,0.1347127,0.277457,-0.1427443
26,1.2908056,1.1077142,"('hardhearted', 'benevolent')",1.7317003,1.6701736,1.4001442,1.2812531,2.1072676,2.030679,1.7553087,1.8948169,1.6570454,1.5969274,0.060118
40,1.257453,0.9424437,"('stingy', 'generous')",0.59061396,0.46249205,0.15469615,0.023190666,-0.13029289,-0.29386908,-1.7271544,-1.7347814,0.0290632,-0.1201048,0.149168
16,-1.2266365,-1.2819058,"('unpopular', 'popular')",0.12049028,0.16876103,-0.21411684,-0.20525059,-0.59873855,-0.45831746,0.7969808,0.8619996,-0.2244041,-0.1829427,-0.0414614
51,1.1724102,1.0955033,"('uneducated', 'educated')",-0.25800875,-0.5284937,-0.57698065,-0.7284237,0.08992152,-0.029940307,0.81193984,0.60383123,0.2478565,0.0824954,0.1653611
12,1.0899526,0.9716296,"('unsupportive', 'supportive')",-0.16220403,-0.42014432,0.251533,0.16177694,-1.008662,-1.0635269,-1.7806423,-1.7597038,-0.3220045,-0.4219937,0.0999892
29,-1.0658869,-1.1717511,"('unfair', 'fair')",-0.29683954,-0.37994683,-0.09393528,-0.17591748,-0.9450807,-1.0959511,-0.46293244,-0.49172956,-0.572935,-0.6630592,0.0901242
77,-1.0604626,-1.308426,"('unmotivated', 'motivated')",-1.1921045,-1.5456774,-0.32676306,-0.5460222,-0.8521886,-1.0247029,-1.0175436,-1.322019,-0.8898125,-1.1493695,0.259557
80,1.016556,0.7337069,"('dominated', 'dominating')",0.09175563,-0.32438073,0.42367542,0.11488186,1.1312622,0.8841061,-1.3417578,-1.5605371,0.2642983,-0.0304446,0.2947429
24,1.0067265,1.0226523,"('dishonest', 'honest')",-1.2608165,-1.166222,-0.9599824,-0.74888414,-0.8200428,-0.7954334,1.1066729,1.1500232,-0.1854884,-0.1075728,-0.0779156
47,-0.9818962,-0.95620745,"('stupid', 'smart')",-1.0970875,-1.0101252,-0.2900647,-0.13368307,0.34243968,0.39316833,5.703856,5.5114207,0.7354494,0.7609147,-0.0254653
49,-0.96662056,-0.8552523,"('unable', 'able')",-0.78226304,-0.77369547,-0.5394998,-0.49251872,-1.1349194,-1.1564068,-0.507924,-0.5428729,-0.7862454,-0.7641492,-0.0220962
48,0.93400687,0.7636855,"('unintelligent', 'intelligent')",-0.36686936,-0.50058365,-0.31517422,-0.3193243,-0.9905287,-1.0614327,0.71770096,0.6005626,-0.0041729,-0.1034185,0.0992456
31,-0.9302503,-1.0693034,"('evil', 'good')",0.4892584,0.47375187,0.1696883,0.07777907,-0.12227304,-0.1804608,-1.1887724,-1.1052121,-0.3164698,-0.3606891,0.0442193
27,0.926213,0.6770859,"('hardhearted', 'softhearted')",-0.24051932,-0.3522922,-0.27535325,-0.30351996,-0.4056649,-0.65971714,1.6604323,1.5276061,0.3330216,0.1778325,0.1551891
0,-0.85745317,-0.9137577,"('unsociable', 'sociable')",-2.2241824,-2.3549216,-1.3530731,-1.4261218,-0.2535658,-0.41228518,-0.5562658,-0.7297179,-1.048908,-1.1673608,0.1184528
39,0.8489411,0.9633538,"('exploitative', 'cooperative')",-0.7556499,-0.691144,-0.48755306,-0.38695875,0.8392466,0.93147725,0.086272165,0.058709335,0.1062514,0.1750875,-0.0688361
28,0.8075429,0.6746213,"('disloyal', 'loyal')",-1.0800424,-1.2972643,-0.3765159,-0.49208128,-0.90076786,-0.9599545,1.0418568,0.87623835,-0.1015853,-0.2396881,0.1381028
10,0.7953558,0.5738978,"('unsympathetic', 'sympathetic')",-2.731057,-3.1978729,-1.6669838,-1.8910443,-1.3197489,-1.7506582,-0.26267087,-0.5373087,-1.037021,-1.3605972,0.3235762
74,0.77737886,0.7276971,"('undedicated', 'dedicated')",-0.900933,-1.1507568,-0.3455528,-0.37920105,-0.53395694,-0.44017518,0.052573103,-0.014610063,-0.1900982,-0.2514092,0.061311
86,0.73108906,0.42326984,"('uninfluential', 'influential')",-0.32809463,-0.7740429,0.55838764,0.39693752,-0.437619,-0.67553735,0.20749584,-0.09690156,0.1462518,-0.1452549,0.2915067
11,0.7187203,0.623856,"('unhelpful', 'helpful')",-1.0329878,-1.2128705,-0.64912504,-0.62243557,-0.5492712,-0.42245105,2.2049317,2.1795213,0.1384536,0.109124,0.0293296
42,0.7180454,0.569765,"('unreliable', 'reliable')",-0.96778446,-1.1663669,-0.82743585,-0.9675066,0.038586285,-0.12217055,-3.2169778,-3.1704962,-0.8511133,-0.9713551,0.1202418
64,0.69853294,0.80409133,"('shy', 'confident')",-0.096071124,-0.028021347,0.104883194,0.19222441,0.8658307,0.87665623,-6.649469,-6.425568,-1.0152586,-0.9161235,-0.0991351
81,0.6889232,0.9169408,"('submissive', 'aggressive')",-0.8671859,-0.9938601,-0.39736068,-0.37764543,-0.00318373,0.0779773,-0.8611619,-0.8465663,-0.2879938,-0.2446308,-0.043363
78,-0.6801805,-0.88532317,"('nonresilient', 'resilient')",-0.5603328,-0.91527563,0.20680791,-0.16667995,-0.30385867,-0.67408186,0.50448805,0.2012539,-0.1666152,-0.4880214,0.3214062
8,-0.6637971,-0.7119387,"('unaffectionate', 'affectionate')",-0.53508914,-0.40362072,-0.6470349,-0.5140996,-1.683899,-1.6307205,0.669127,0.8452981,-0.5721386,-0.4830163,-0.0891223
1,-0.60332793,-0.77733254,"('unfriendly', 'friendly')",-0.6828891,-0.73802274,0.11730305,0.079273574,-0.59759545,-0.69975024,2.132692,2.116078,0.0732365,-0.0039508,0.0771873
