,cognizant_male,cognizant_female,tuple,technology_male,technology_female,sols_male,sols_female,corp_male,corp_female,average_male,average_female,male-female
1,-3.4336228,-3.640766,"('unfriendly', 'friendly')",-1.4687594,-1.8319677,-1.3862123,-1.7810341,1.5597194,1.2378149,-1.1822188,-1.5039881,0.3217693
86,-2.890378,-2.8978698,"('uninfluential', 'influential')",0.52649677,0.13646208,-1.0193509,-1.0068992,-0.33593,-0.69299084,-0.9297905,-1.1153245,0.185534
8,-2.7203119,-2.9478197,"('unaffectionate', 'affectionate')",-0.86984414,-1.2918912,-0.9279098,-1.2505764,0.850721,0.4827796,-0.9168363,-1.251877,0.3350407
9,-2.6288195,-2.6093411,"('unaffectionate', 'caring')",-0.58644754,-0.73808736,-1.0289786,-1.1907647,1.4378762,1.1557038,-0.7015923,-0.8456224,0.1440301
44,2.164678,2.291586,"('prejudiced', 'unprejudiced')",0.010555219,0.5266036,0.2701879,0.3809344,-1.2108607,-0.94800675,0.3086401,0.5627793,-0.2541392
0,-2.1571112,-2.3033164,"('unsociable', 'sociable')",0.7068031,0.49712086,0.16716005,-0.02553071,-0.18664083,-0.43064588,-0.3674472,-0.565593,0.1981458
53,-1.7367846,-1.7312183,"('uncreative', 'creative')",0.18742882,-0.056960527,-0.8644742,-0.7354588,1.0793438,0.7348076,-0.3336215,-0.4472075,0.113586
45,-1.6738362,-1.3477954,"('incompetent', 'competent')",0.010168344,0.07618607,-0.05870042,0.34582034,-0.056590702,-0.10892768,-0.4447398,-0.2586792,-0.1860606
69,1.6562958,1.4975934,"('lazy', 'industrious')",-0.56638503,-0.39615342,-0.36921102,-0.4044191,-0.4714187,-0.7679482,0.0623203,-0.0177318,0.0800521
10,-1.6071475,-1.3542706,"('unsympathetic', 'sympathetic')",0.4291697,0.3775734,-0.27293617,-0.1385404,-0.019342698,-0.17336307,-0.3675641,-0.3221502,-0.0454139
28,-1.5734065,-1.6334908,"('disloyal', 'loyal')",0.611584,0.3623443,-0.6217824,-0.5294807,1.2867603,1.1717013,-0.0742111,-0.1572315,0.0830204
24,-1.5198333,-1.6574919,"('dishonest', 'honest')",-0.79948276,-0.894688,-0.5950198,-0.8142481,0.767309,0.80442864,-0.5367568,-0.6404998,0.103743
27,-1.5049504,-1.6640252,"('hardhearted', 'softhearted')",-0.9838299,-1.2599869,-0.17395203,-0.45981103,1.3520179,0.8748554,-0.3276786,-0.627242,0.2995634
19,-1.4262073,-1.3561437,"('inhospitable', 'hospitable')",-2.2103934,-2.3535852,-1.4843955,-1.0957599,-0.6257377,-0.6058161,-1.4366835,-1.3528261,-0.0838574
67,1.3761965,1.4006312,"('doubtful', 'determined')",0.70924425,0.9471711,1.0133349,1.1241951,-0.61092365,-0.26952538,0.6219629,0.800618,-0.1786551
73,1.3614285,1.4595903,"('helpless', 'self-reliant')",0.43119892,0.3038912,-0.17671421,0.17669699,-3.2611678,-3.33479,-0.4113136,-0.3486529,-0.0626607
31,-1.3219761,-1.5636299,"('evil', 'good')",-2.2210774,-2.6118078,-1.6026623,-1.6799171,-1.0574377,-1.397293,-1.5507884,-1.8131621,0.2623737
23,-1.2947998,-0.9843942,"('insincere', 'sincere')",0.505343,0.8055571,0.32628518,0.30254924,5.3261003,5.777568,1.2157322,1.47532,-0.2595878
35,1.2398027,0.9722811,"('corrupt', 'incorrupt')",-1.9011568,-1.9527396,-0.8260792,-0.6979043,-0.6136069,-0.59243834,-0.52526,-0.5677003,0.0424403
6,-1.2182816,-1.2950063,"('distant', 'open')",-2.8862603,-2.9966433,-2.3915336,-2.3261662,-0.49076605,-0.6274728,-1.7467104,-1.8113222,0.0646118
25,-1.0935465,-1.1181958,"('egoistic', 'altruistic')",-0.85256076,-0.946302,-0.4234495,-0.277314,1.1066493,1.1744554,-0.3157268,-0.2918391,-0.0238877
61,-1.0776333,-1.1073656,"('illogical', 'logical')",0.66199785,0.6981739,-0.0050670514,-0.04691446,0.42307848,0.351201,0.000594,-0.0262263,0.0268203
78,-1.0243574,-0.6949824,"('nonresilient', 'resilient')",0.38748237,0.44160193,-0.5658226,-0.3510177,-0.08960673,-0.25256577,-0.3230761,-0.214241,-0.1088351
58,-1.0183425,-0.8683988,"('undiscriminating', 'discriminating')",0.20320752,-0.16260833,-0.6695008,-0.5765261,0.21702471,-0.04905668,-0.3169028,-0.4141475,0.0972447
46,-0.9921047,-0.65544116,"('uncompetitive', 'competitive')",1.3685987,1.2916915,0.2943942,0.4958739,-0.7247861,-0.71386844,-0.0134745,0.104564,-0.1180385
54,-0.9703324,-0.7790958,"('incapable', 'capable')",-0.42040938,-0.14528665,-0.61187303,-0.2385354,0.41243514,0.7136806,-0.397545,-0.1123093,-0.2852357
63,-0.9695236,-0.69115245,"('unperceptive', 'insightful')",0.6495997,0.5242798,0.16102421,0.35435393,0.5384679,0.36675128,0.094892,0.1385581,-0.0436661
84,0.96147585,0.90078884,"('inferior', 'superior')",-0.058255825,-0.059786264,0.18330751,0.21397613,0.8400007,0.8815472,0.4816321,0.4841315,-0.0024994
50,0.9323635,1.0072675,"('clumsy', 'skillful')",0.13559592,0.21876793,0.65609825,0.72807455,0.33477372,0.2556486,0.5147079,0.5524396,-0.0377317
64,0.9162379,0.5394528,"('shy', 'confident')",0.43994206,0.1346693,0.15529329,-0.21561374,-6.192306,-6.6513605,-1.1702082,-1.548213,0.3780048
43,-0.90870994,-0.5167472,"('irresponsible', 'responsible')",0.5672213,0.84900683,-0.08095056,0.11285717,0.53575003,0.7797456,0.0283277,0.3062156,-0.2778879
82,-0.8951934,-0.51014227,"('poor', 'rich')",-0.08134927,0.26061875,-0.12534024,0.3756581,6.2424564,6.771249,1.2851434,1.7243458,-0.4392024
42,0.89272213,1.0861878,"('unreliable', 'reliable')",-1.0147408,-0.9368191,0.4311158,0.8395782,-2.7397172,-2.902584,-0.607655,-0.4784093,-0.1292457
85,-0.88773125,-0.93809235,"('insignificant', 'prestigious')",-1.8388445,-2.0138009,-0.9511454,-0.81477326,0.09133088,-0.022099242,-0.8965976,-0.9471915,0.0505939
41,-0.8768365,-0.9084543,"('unforgiving', 'forgiving')",-0.39136147,-0.73646164,0.46729654,0.33814168,-0.086686425,-0.37341923,-0.221897,-0.4200484,0.1981514
5,-0.8725658,-0.9426465,"('distant', 'outgoing')",-2.592791,-2.6181982,-1.9777207,-1.8465229,-0.70347244,-0.727549,-1.5366375,-1.5337292,-0.0029083
75,0.87164855,1.2444277,"('meek', 'impulsive')",-0.44566795,-0.106167674,-1.2311935,-0.49192935,-0.7455835,-0.33093148,-0.3876991,0.0788498,-0.4665489
38,-0.8456212,-0.55936646,"('untruthful', 'truthful')",-0.15744554,0.077179775,-0.8302235,-0.45409974,-0.20935686,0.10133393,-0.5106618,-0.2087381,-0.3019237
48,-0.80612767,-1.1443416,"('unintelligent', 'intelligent')",2.3328955,2.1008716,0.44764903,-0.06881049,0.86441636,0.48181748,0.7097083,0.3423842,0.3673241
32,-0.80143493,-0.65479475,"('unkind', 'kind')",0.33854565,0.5089307,0.42213118,0.34535864,0.84053075,0.94160885,0.1999432,0.2852758,-0.0853326
57,-0.797159,-0.7181003,"('unimaginative', 'imaginative')",1.0634397,0.9467136,-0.9208914,-0.565369,-2.382055,-2.8846905,-0.7591664,-0.8053616,0.0461952
13,-0.7877842,-0.7162872,"('impolite', 'polite')",1.3368815,1.4418828,1.4129056,1.219653,-0.81127816,-0.6778181,0.2876812,0.3168576,-0.0291764
26,-0.7506988,-0.97121733,"('hardhearted', 'benevolent')",-0.18193921,-0.35958338,0.40226611,-0.059012916,1.8252622,1.2245455,0.3237226,-0.041317,0.3650396
66,-0.74908304,-0.62524635,"('inactive', 'active')",-1.8089879,-1.7457869,-1.350202,-1.2041522,0.45151007,0.17528884,-0.8641907,-0.8499741,-0.0142166
12,-0.70484066,-0.6893166,"('unsupportive', 'supportive')",0.93639374,0.63419294,-0.26207602,-0.2496119,-1.6333733,-2.0761988,-0.4159741,-0.5952336,0.1792595
36,-0.7047951,-0.7849323,"('hostile', 'amicable')",-1.935279,-2.234375,-1.8819888,-1.7581147,-0.056479786,-0.11383964,-1.1446358,-1.2228154,0.0781796
79,-0.7026187,-0.38382512,"('wavering', 'unwavering')",-2.1654305,-2.0836227,-1.7505302,-0.99745536,-0.7604556,-0.44122154,-1.3447587,-0.9765311,-0.3682276
74,-0.6522385,-0.22255765,"('undedicated', 'dedicated')",0.43993717,0.3667392,0.10698426,0.5151736,-0.033456378,-0.11692411,-0.0346934,0.1356078,-0.1703012
7,-0.6260118,-0.7006044,"('insensitive', 'sensitive')",0.77169585,0.81487,0.7820574,0.51997405,0.6994299,0.35030448,0.4067928,0.246136,0.1606568
55,-0.61085296,-0.55480886,"('incompetent', 'clever')",2.483663,2.4379346,0.91980463,0.8857376,0.57704496,0.3948818,0.8424149,0.7909363,0.0514786
20,0.58984995,0.7424738,"('rough', 'thoughtful')",1.4116946,1.518873,0.36828554,0.21798956,0.77813953,0.64505595,0.7869924,0.7810981,0.0058943
15,0.5872749,0.5528699,"('boring', 'funny')",-0.57825446,-0.3358792,0.24780908,0.18381502,-0.23303638,-0.012849022,0.0059483,0.0969892,-0.0910409
