,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-1.5961009,-1.5910262,"('uncreative', 'creative')",0.18106034,0.16827482,-0.7075203,-0.7113757,0.0038554
57,-1.5732867,-1.6751354,"('unimaginative', 'imaginative')",-3.4630578,-3.319276,-2.5181723,-2.4972057,-0.0209666
1,-1.5718718,-1.6435792,"('unfriendly', 'friendly')",0.8768835,0.90058255,-0.3474941,-0.3714983,0.0240042
86,-1.443141,-1.6634196,"('uninfluential', 'influential')",-0.062307674,-0.2123363,-0.7527243,-0.937878,0.1851537
8,-1.420272,-1.3132873,"('unaffectionate', 'affectionate')",0.032403547,0.047841407,-0.6939342,-0.6327229,-0.0612113
6,-1.2884833,-1.115277,"('distant', 'open')",-1.0409569,-0.8207175,-1.1647201,-0.9679973,-0.1967228
10,-1.2328095,-1.3672993,"('unsympathetic', 'sympathetic')",-0.07781357,-0.09750147,-0.6553116,-0.7324004,0.0770888
28,-1.181694,-1.2167,"('disloyal', 'loyal')",0.97435576,0.9197989,-0.1036691,-0.1484505,0.0447814
45,-1.1615145,-1.1880999,"('incompetent', 'competent')",0.2014114,0.1461103,-0.4800516,-0.5209948,0.0409432
9,-1.1170856,-1.0368282,"('unaffectionate', 'caring')",0.5979105,0.6525656,-0.2595875,-0.1921313,-0.0674562
18,-1.0084796,-1.0776762,"('disagreeable', 'welcoming')",-0.7446607,-0.71083665,-0.8765701,-0.8942564,0.0176863
5,-0.99005604,-0.84135264,"('distant', 'outgoing')",-1.100844,-0.8474492,-1.04545,-0.8444009,-0.2010491
43,-0.9899206,-0.7323858,"('irresponsible', 'responsible')",0.3443221,0.54949766,-0.3227993,-0.0914441,-0.2313552
83,0.8371835,0.7635632,"('powerless', 'powerful')",-0.84825265,-0.96070707,-0.0055346,-0.0985719,0.0930373
68,-0.80588263,-0.7316813,"('dependent', 'independent')",-0.40599158,-0.26853353,-0.6059371,-0.5001074,-0.1058297
52,-0.8022177,-0.9526372,"('irrational', 'rational')",-0.69626045,-0.77421886,-0.7492391,-0.863428,0.1141889
37,-0.79731774,-0.73427,"('fake', 'genuine')",-0.011279698,0.12357436,-0.4042987,-0.3053478,-0.0989509
41,-0.78699845,-0.9466894,"('unforgiving', 'forgiving')",-0.4458767,-0.52187014,-0.6164376,-0.7342798,0.1178422
63,-0.76258165,-0.7717358,"('unperceptive', 'insightful')",1.053773,1.1781915,0.1455957,0.2032279,-0.0576322
38,-0.75533384,-0.6542481,"('untruthful', 'truthful')",-0.29067358,0.041766252,-0.5230037,-0.3062409,-0.2167628
73,0.72980297,0.7001389,"('helpless', 'self-reliant')",-3.6815076,-3.6629617,-1.4758523,-1.4814115,0.0055592
22,-0.7196083,-0.60223234,"('untrustworthy', 'trustworthy')",-0.9767682,-0.9842455,-0.8481883,-0.7932389,-0.0549494
