,national_male,national_female,tuple,city_male,city_female,corp_male,corp_female,average_male,average_female,male-female
36,-3.2707381,-2.4543898,"('hostile', 'amicable')",-3.0587273,-2.4751074,-0.85218334,-0.650414,-2.3938829,-1.8599704,-0.5339125
12,2.1804516,1.8962162,"('unsupportive', 'supportive')",0.9467359,0.9933344,-1.7920101,-1.9633782,0.4450591,0.3087242,0.1363349
35,-2.1457999,-1.4314669,"('corrupt', 'incorrupt')",-2.4525416,-2.1608179,-0.84468746,-0.69706434,-1.814343,-1.429783,-0.38456
39,2.0706553,1.7492663,"('exploitative', 'cooperative')",1.4077783,1.2774366,0.4544224,0.5349616,1.310952,1.1872215,0.1237305
14,1.9840107,1.483795,"('antisocial', 'social')",2.652244,2.6576774,0.0820349,0.103392586,1.5727633,1.414955,0.1578083
62,1.8973244,1.096616,"('incompetent', 'brilliant')",1.707265,1.5480613,0.4219289,0.47326338,1.3421728,1.0393135,0.3028593
56,1.8189476,1.3498895,"('impractical', 'practical')",1.9361988,1.7755548,-0.3234388,-0.45011365,1.1439025,0.8917769,0.2521256
75,-1.7742846,-1.3798516,"('meek', 'impulsive')",-1.3163561,-1.0968859,-1.2180829,-1.0965197,-1.4362411,-1.1910857,-0.2451554
80,1.6813937,0.8968393,"('dominated', 'dominating')",1.0623062,0.69147104,-0.48762375,-0.61727625,0.7520254,0.323678,0.4283474
31,-1.6501536,-0.863024,"('evil', 'good')",-1.5531334,-1.1806198,-0.8931912,-0.83022386,-1.3654928,-0.9579559,-0.4075369
85,-1.63923,-0.5804067,"('insignificant', 'prestigious')",-1.8228625,-1.2272296,-0.8298023,-0.64749324,-1.4306316,-0.8183765,-0.6122551
63,1.6098591,1.0194452,"('unperceptive', 'insightful')",1.3566061,0.9906594,0.3212582,0.3763598,1.0959078,0.7954881,0.3004197
52,-1.5789119,-0.995433,"('irrational', 'rational')",-1.2075877,-0.7012154,-0.1803331,-0.18543507,-0.9889442,-0.6273611,-0.3615831
23,1.5013176,1.1002527,"('insincere', 'sincere')",1.2899375,1.0583242,6.878175,6.686939,3.2231433,2.9485054,0.2746379
