,lockheed_male,lockheed_female,tuple,martin_male,martin_female,corp_male,corp_female,average_male,average_female,male-female
45,-2.056696,-2.5916717,"('incompetent', 'competent')",-1.9458772,-2.384161,-0.2792945,-0.3836005,-1.4272892,-1.7864779,0.3591887
42,-2.0487127,-1.9163022,"('unreliable', 'reliable')",-1.7021824,-1.5495223,-2.2007537,-2.3599584,-1.9838829,-1.9419276,-0.0419553
14,-1.9343626,-1.5573052,"('antisocial', 'social')",-0.88316375,-0.57174957,-0.0012753131,0.0037207901,-0.9396005,-0.7084447,-0.2311558
33,1.8741348,1.5145769,"('wrong', 'right')",1.2208767,1.0534775,-0.6727244,-0.9220685,0.807429,0.548662,0.258767
43,-1.8670976,-1.54429,"('irresponsible', 'responsible')",-2.2033415,-2.0193524,0.06417408,0.4524739,-1.3354217,-1.0370562,-0.2983655
10,-1.824471,-2.0727286,"('unsympathetic', 'sympathetic')",-1.6027551,-1.8400253,0.017232742,0.027215034,-1.1366645,-1.2951797,0.1585152
60,-1.6783559,-1.3296643,"('inefficient', 'efficient')",-1.7043246,-1.5042176,-0.3388385,0.20858951,-1.2405063,-0.8750974,-0.3654089
76,-1.5859154,-0.893957,"('anxious', 'daring')",-1.2127835,-0.74542004,0.14783078,0.71233875,-0.8836227,-0.3090128,-0.5746099
0,-1.5812299,-1.6133668,"('unsociable', 'sociable')",-0.8434913,-0.95156723,-0.36675882,-0.38682193,-0.9304934,-0.9839187,0.0534253
65,-1.5530635,-1.0624397,"('insecure', 'secure')",-2.0103376,-1.6205567,-0.15155801,0.4557709,-1.2383197,-0.7424084,-0.4959113
70,-1.4312216,-1.5785499,"('lethargic', 'energetic')",-1.008919,-1.1588222,0.5308386,0.76695657,-0.636434,-0.6568051,0.0203711
44,-1.4089261,-0.45054507,"('prejudiced', 'unprejudiced')",-1.3627955,-0.77279735,-1.5290976,-1.1332,-1.4336065,-0.7855142,-0.6480923
71,1.3839159,1.2363135,"('diffident', 'self-confident')",0.60538924,0.6719973,0.15685903,0.0337502,0.7153881,0.6473536,0.0680345
13,-1.3741392,-1.290351,"('impolite', 'polite')",-1.6881559,-1.6346663,-1.0170249,-0.714656,-1.3597733,-1.2132244,-0.1465489
3,-1.3509259,-1.5794904,"('repellent', 'pleasant')",-0.4345263,-0.8406611,1.0441933,0.7173987,-0.2470863,-0.5675843,0.320498
46,-1.3376697,-1.6208107,"('uncompetitive', 'competitive')",-0.517739,-0.8295027,-0.09948178,-0.21463554,-0.6516302,-0.8883164,0.2366862
84,1.3105032,1.2206184,"('inferior', 'superior')",0.8317047,0.9173571,1.3752711,1.2657374,1.172493,1.1345709,0.0379221
21,-1.2374946,-1.2372302,"('immoral', 'moral')",-0.8671943,-0.8370598,-0.6515015,-0.031919125,-0.9187301,-0.7020698,-0.2166603
25,1.1693479,0.89618975,"('egoistic', 'altruistic')",0.9897089,0.77316195,0.5251105,0.41951793,0.8947224,0.6962899,0.1984325
69,1.1143403,0.8020246,"('lazy', 'industrious')",1.5081506,1.3863145,-0.8268524,-1.3391858,0.5985462,0.2830511,0.3154951
30,-1.0856347,-0.62411255,"('intolerant', 'tolerant')",-0.9359994,-0.8470515,-0.05801852,0.30563354,-0.6932175,-0.3885101,-0.3047074
1,1.0486902,-0.10689896,"('unfriendly', 'friendly')",0.39707732,-0.5152195,0.68114257,-0.06618882,0.7089701,-0.2294358,0.9384059
81,-1.0225532,-0.6115759,"('submissive', 'aggressive')",0.07958675,0.3956601,-0.31110865,0.09781429,-0.418025,-0.0393672,-0.3786578
82,-1.0116947,-0.86199373,"('poor', 'rich')",-0.97301495,-0.90561295,5.8122334,6.525643,1.2758412,1.586012,-0.3101708
64,-0.92121476,-0.7605624,"('shy', 'confident')",-0.98418576,-0.8553575,-5.3716426,-5.780333,-2.4256811,-2.4654177,0.0397366
8,0.91261905,0.35040322,"('unaffectionate', 'affectionate')",0.37661937,-0.12441528,0.0022863224,-0.45052916,0.4305083,-0.0748471,0.5053554
