,ust_male,ust_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.317292,-2.6646082,"('distant', 'open')",-0.4320374,-1.0083714,-1.3746647,-1.8364898,0.4618251
8,-2.2482605,-2.0634937,"('unaffectionate', 'affectionate')",0.05332524,-0.14688459,-1.0974677,-1.1051892,0.0077215
36,-2.197711,-2.1189928,"('hostile', 'amicable')",-0.5910888,-0.8669753,-1.3943999,-1.4929841,0.0985842
60,2.1386147,1.7596667,"('inefficient', 'efficient')",0.96053094,1.0946894,1.5495728,1.427178,0.1223948
5,-1.952358,-2.1066809,"('distant', 'outgoing')",-0.7099254,-1.1556654,-1.3311417,-1.6311731,0.3000314
31,-1.8601946,-2.0769126,"('evil', 'good')",-1.6092231,-2.1612868,-1.7347088,-2.1190996,0.3843908
81,1.8045391,1.9815563,"('submissive', 'aggressive')",0.18990643,0.4983009,0.9972228,1.2399286,-0.2427058
62,1.7312794,1.7469765,"('incompetent', 'brilliant')",1.2472126,1.3474725,1.489246,1.5472245,-0.0579785
85,-1.6477298,-1.2709662,"('insignificant', 'prestigious')",-0.053845815,-0.29122487,-0.8507878,-0.7810955,-0.0696923
1,-1.5488853,-1.6245803,"('unfriendly', 'friendly')",1.2076987,0.6682942,-0.1705933,-0.478143,0.3075497
35,-1.4526684,-1.445599,"('corrupt', 'incorrupt')",-1.0871809,-1.283344,-1.2699246,-1.3644714,0.0945468
66,-1.4287803,-1.6299706,"('inactive', 'active')",0.43641073,0.09002116,-0.4961848,-0.7699747,0.2737899
53,-1.3912263,-1.0424788,"('uncreative', 'creative')",0.94324434,0.8043213,-0.223991,-0.1190788,-0.1049122
76,1.3906698,1.5941452,"('anxious', 'daring')",0.69478554,0.9800397,1.0427277,1.2870924,-0.2443647
56,1.315024,1.2342652,"('impractical', 'practical')",0.43089658,0.5610791,0.8729603,0.8976722,-0.0247119
9,-1.2819684,-1.4536275,"('unaffectionate', 'caring')",0.8946665,0.60543936,-0.1936509,-0.4240941,0.2304432
79,-1.2454083,-0.9884035,"('wavering', 'unwavering')",-0.27307472,-0.41462198,-0.7592415,-0.7015128,-0.0577287
80,1.2095009,1.142457,"('dominated', 'dominating')",-0.96243715,-0.84818053,0.1235319,0.1471382,-0.0236063
52,-1.1857573,-1.1445564,"('irrational', 'rational')",-0.56408435,-0.7497015,-0.8749208,-0.947129,0.0722082
21,1.0930698,1.2218257,"('immoral', 'moral')",-0.10878368,-0.13552703,0.4921431,0.5431494,-0.0510063
65,1.0731105,0.9755951,"('insecure', 'secure')",0.052802075,0.26856214,0.5629563,0.6220787,-0.0591224
19,-1.0621223,-1.126756,"('inhospitable', 'hospitable')",-0.39020568,-0.5590817,-0.726164,-0.8429188,0.1167548
87,0.9926976,0.9350258,"('unsuccessful', 'successful')",0.9263333,0.8790511,0.9595155,0.9070385,0.052477
86,-0.99167764,-1.2854582,"('uninfluential', 'influential')",0.027178507,-0.38740978,-0.4822496,-0.836434,0.3541844
30,0.9809711,0.87655526,"('intolerant', 'tolerant')",1.7707502,1.8671396,1.3758607,1.3718474,0.0040133
51,0.90676224,1.2197782,"('uneducated', 'educated')",1.1725311,1.1745747,1.0396466,1.1971765,-0.1575299
26,-0.89977294,-0.997463,"('hardhearted', 'benevolent')",1.02767,0.81513757,0.0639485,-0.0911627,0.1551112
39,0.8939095,0.46495005,"('exploitative', 'cooperative')",-0.16381875,0.03957548,0.3650454,0.2522628,0.1127826
57,-0.881119,-0.802616,"('unimaginative', 'imaginative')",-2.4934142,-2.7498846,-1.6872666,-1.7762504,0.0889838
70,0.83221567,0.7342262,"('lethargic', 'energetic')",1.1790799,1.1195717,1.0056478,0.926899,0.0787488
