,cbre_male,cbre_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,1.8989029,1.7541887,"('exploitative', 'cooperative')",2.149696,2.2955446,0.0051269718,0.0049518663,1.3512421,1.3515617,-0.0003196
69,1.6609082,1.7136769,"('lazy', 'industrious')",-0.37890437,-0.21306059,-0.7454853,-0.5689335,0.1788395,0.3105609,-0.1317214
57,-1.5540155,-1.2734686,"('unimaginative', 'imaginative')",-0.38067675,-0.23906958,-2.4540393,-2.2661936,-1.4629105,-1.2595773,-0.2033332
86,-1.5011626,-1.0368023,"('uninfluential', 'influential')",-0.057790827,0.18629605,-0.29530528,-0.072590634,-0.6180863,-0.307699,-0.3103873
56,1.2806772,1.0761582,"('impractical', 'practical')",1.8366613,1.7250507,0.7013035,0.48709595,1.2728807,1.0961016,0.1767791
2,1.2368699,1.2104475,"('unlikable', 'likable')",1.6971984,1.5310953,0.91640484,0.794785,1.283491,1.1787759,0.1047151
87,1.1895878,1.0048925,"('unsuccessful', 'successful')",1.6201321,1.6016331,0.67914814,0.6205318,1.1629561,1.0756857,0.0872704
73,1.1805724,1.0076315,"('helpless', 'self-reliant')",-0.29579157,-0.4280409,-3.5727866,-3.5039284,-0.8960019,-0.9747793,0.0787774
1,-1.0596155,-0.5379768,"('unfriendly', 'friendly')",-0.9842986,-0.72466785,1.2335821,1.4551554,-0.2701106,0.0641702,-0.3342808
53,-1.0329396,-0.8175583,"('uncreative', 'creative')",-0.25913557,-0.18860823,0.8301622,1.0037683,-0.153971,-0.0007994,-0.1531716
48,-1.0194699,-0.60998297,"('unintelligent', 'intelligent')",0.0023062099,0.1990085,0.40359473,0.6558502,-0.204523,0.0816252,-0.2861482
8,-1.012739,-0.65514016,"('unaffectionate', 'affectionate')",-1.1889174,-1.0949016,-0.11343067,0.21544456,-0.7716957,-0.5115324,-0.2601633
6,-0.9958103,-0.7624167,"('distant', 'open')",-2.8935673,-2.8379142,-0.3462585,-0.06739148,-1.4118787,-1.2225741,-0.1893046
33,0.9918363,1.0915265,"('wrong', 'right')",-0.8139571,-0.8626162,-0.7471369,-0.60024893,-0.1897526,-0.1237795,-0.0659731
46,-0.98734385,-0.8768246,"('uncompetitive', 'competitive')",1.8386166,1.8114843,-0.29628906,-0.3448776,0.1849946,0.196594,-0.0115994
10,-0.96808517,-1.0687517,"('unsympathetic', 'sympathetic')",0.6399277,0.6256429,-0.031246778,0.097389564,-0.1198014,-0.1152397,-0.0045617
82,-0.9340466,-0.96199846,"('poor', 'rich')",0.10358884,-0.09083301,5.949061,5.917496,1.7062011,1.621555,0.0846461
5,-0.84290177,-0.74285007,"('distant', 'outgoing')",-2.572972,-2.538517,-0.6191638,-0.47267765,-1.3450125,-1.2513483,-0.0936642
59,0.791119,0.8422171,"('foolish', 'wise')",-1.4485434,-1.4800687,0.15345022,0.17786695,-0.1679914,-0.1533282,-0.0146632
78,-0.74368924,-0.52724946,"('nonresilient', 'resilient')",0.657718,0.7562219,0.17396477,0.20555575,0.0293312,0.1448427,-0.1155115
30,0.74090683,0.6362225,"('intolerant', 'tolerant')",1.2489655,1.0479279,1.6643332,1.5042753,1.2180685,1.0628085,0.15526
0,-0.73444796,-0.6270647,"('unsociable', 'sociable')",0.76139635,0.99927574,-0.36910674,-0.24450605,-0.1140528,0.0425683,-0.1566211
52,0.7161979,0.7850079,"('irrational', 'rational')",-1.2514161,-1.289515,-0.50310194,-0.51481766,-0.3461067,-0.3397749,-0.0063318
71,0.7103687,0.83179444,"('diffident', 'self-confident')",-0.037898567,0.02586316,0.42540687,0.35795972,0.365959,0.4052058,-0.0392468
27,-0.70411205,-0.557153,"('hardhearted', 'softhearted')",-1.0621468,-0.896522,0.7457332,1.1137096,-0.3401752,-0.1133218,-0.2268534
62,0.68861085,0.81490856,"('incompetent', 'brilliant')",1.2766929,1.3484904,0.38156036,0.5361737,0.782288,0.8998575,-0.1175695
72,-0.6635674,-0.7476532,"('unambitious', 'ambitious')",0.6857109,0.6607586,-1.0585624,-0.9974192,-0.345473,-0.3614379,0.0159649
28,-0.6302882,-0.3437103,"('disloyal', 'loyal')",0.25271448,0.46472773,0.7876629,0.9003382,0.1366964,0.3404519,-0.2037555
49,-0.62387073,-0.5565657,"('unable', 'able')",-0.6642569,-0.6777076,-0.42212456,-0.35390767,-0.5700841,-0.5293937,-0.0406904
42,0.62002313,0.21923333,"('unreliable', 'reliable')",1.3861985,1.112719,-2.7384212,-2.8241816,-0.2440665,-0.4974097,0.2533432
15,0.6076083,0.7128147,"('boring', 'funny')",-1.0546408,-1.0768313,0.40645668,0.42618334,-0.0135253,0.0207222,-0.0342475
68,-0.6063951,-0.62829053,"('dependent', 'independent')",-0.17373663,-0.097385645,-0.68562245,-0.5628034,-0.4885848,-0.4294932,-0.0590916
31,-0.5915411,-0.19766256,"('evil', 'good')",-1.9700814,-1.8319384,-1.7530564,-1.6047044,-1.4382264,-1.2114351,-0.2267913
