,rohm_male,rohm_female,tuple,&_male,&_female,haas_male,haas_female,co_male,co_female,average_male,average_female,male-female
10,-4.001315,-3.8687365,"('unsympathetic', 'sympathetic')",-2.1319418,-2.6868002,-2.9258876,-3.0184505,-0.21902272,-0.32600826,-2.3195419,-2.4749987,0.1554568
85,3.859067,3.5390415,"('insignificant', 'prestigious')",2.9431756,3.3032815,3.6670525,3.708789,0.013988024,0.23977704,2.6208208,2.6977222,-0.0769014
35,3.5507915,3.2689898,"('corrupt', 'incorrupt')",1.7915095,2.200401,2.1360304,2.1000836,-0.3395197,-0.167839,1.784703,1.8504088,-0.0657058
69,3.4698942,3.3093476,"('lazy', 'industrious')",3.604304,3.7184162,3.0721347,3.1005359,-0.19367915,-0.20622006,2.4881635,2.48052,0.0076435
65,-3.3050528,-3.1815474,"('insecure', 'secure')",-1.4957589,-2.0006478,-2.941937,-3.1271138,-0.08738464,-0.28602147,-1.9575334,-2.1488326,0.1912992
60,-3.2661834,-3.0317266,"('inefficient', 'efficient')",-1.9768212,-2.3496313,-0.8025993,-0.9548274,0.051954146,-0.14802042,-1.4984125,-1.6210514,0.1226389
55,-3.2513292,-3.179402,"('incompetent', 'clever')",-1.3626126,-2.0989206,-1.7527158,-1.9831395,0.41538933,-0.12438342,-1.4878169,-1.8464614,0.3586445
70,-3.1899257,-3.033556,"('lethargic', 'energetic')",-1.2644535,-1.590802,-1.6743511,-1.5691993,-0.20592824,-0.039276402,-1.5836647,-1.5582086,-0.0254561
13,-3.114237,-2.8314867,"('impolite', 'polite')",-2.1513307,-2.203554,-1.7606679,-1.5348878,-0.029505003,-0.2526788,-1.7639351,-1.7056519,-0.0582832
45,-2.9733672,-3.04788,"('incompetent', 'competent')",-2.0337992,-2.2661736,-1.0916436,-1.2888778,-0.46780726,-0.6225003,-1.6416544,-1.806358,0.1647036
81,-2.858093,-2.5813513,"('submissive', 'aggressive')",-1.4461299,-1.6475285,-1.9088892,-1.9579347,-0.9062453,-1.200476,-1.7798394,-1.8468227,0.0669833
14,-2.792895,-2.5497594,"('antisocial', 'social')",-1.4978542,-1.8213526,-1.6505771,-1.6583368,-0.45047116,-0.8077789,-1.5979495,-1.7093068,0.1113573
21,-2.758049,-2.7546268,"('immoral', 'moral')",-1.092144,-1.5927362,-2.867236,-2.9274507,-1.0279996,-1.4766898,-1.9363573,-2.1878757,0.2515184
30,-2.7437923,-2.547809,"('intolerant', 'tolerant')",-3.3113613,-3.3142042,-1.2634866,-1.2027456,-0.0622292,-0.02246257,-1.8452175,-1.7718052,-0.0734123
0,-2.653923,-2.7202015,"('unsociable', 'sociable')",-0.9698265,-1.3354164,-0.5883868,-0.8383352,0.091089815,-0.2549334,-1.0302616,-1.2872216,0.25696
46,-2.6408908,-2.8536077,"('uncompetitive', 'competitive')",0.11860528,-0.7245777,-1.6401459,-2.0862684,-0.584909,-1.1672692,-1.1868351,-1.7079307,0.5210956
11,-2.6078496,-2.4964654,"('unhelpful', 'helpful')",-2.3912122,-2.549819,-1.1137862,-1.158873,1.7243689,1.8255043,-1.0971197,-1.0949134,-0.0022063
57,-2.4523947,-2.428341,"('unimaginative', 'imaginative')",-1.2346259,-1.3433057,-1.5215342,-1.6590905,-3.3199203,-3.3371084,-2.1321189,-2.1919613,0.0598424
3,-2.3903284,-2.612476,"('repellent', 'pleasant')",-0.55635804,-0.92518264,-2.253479,-2.332971,0.074192345,-0.15671109,-1.2814933,-1.5068352,0.2253419
7,-2.3434548,-2.3301766,"('insensitive', 'sensitive')",-1.8024619,-2.1049042,-0.83124197,-0.92410535,-0.11306619,-0.03990764,-1.2725563,-1.3497733,0.077217
48,-2.2875903,-2.3549984,"('unintelligent', 'intelligent')",-1.8309172,-2.054839,-1.3037677,-1.5555153,0.08023735,-0.08443785,-1.3355094,-1.5124476,0.1769382
5,2.2720895,2.0572422,"('distant', 'outgoing')",1.2370435,1.2577627,2.3744142,2.5748641,-0.19590111,0.33010927,1.4219115,1.5549945,-0.133083
