,micron_male,micron_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,male-female
6,-1.9130679,-2.0548081,"('distant', 'open')",-1.8109261,-2.073344,0.2163144,-0.096208274,-1.1692266,-1.40812,0.2388934
86,-1.7973402,-1.7246817,"('uninfluential', 'influential')",0.085538566,0.027561825,-0.1472044,-0.2694728,-0.6196686,-0.6555309,0.0358623
5,-1.7769116,-1.9035964,"('distant', 'outgoing')",-1.7319169,-1.9611295,-0.3203935,-0.56431884,-1.2764074,-1.4763482,0.1999408
10,-1.7250946,-1.5643282,"('unsympathetic', 'sympathetic')",-0.07237847,0.02906163,-0.7321731,-0.61811566,-0.8432154,-0.7177941,-0.1254213
1,-1.6187468,-1.7444925,"('unfriendly', 'friendly')",-0.6191096,-0.91308916,1.6530081,1.3866235,-0.1949494,-0.4236528,0.2287034
53,-1.5094882,-1.505293,"('uncreative', 'creative')",0.53816545,0.4691918,0.93134224,0.7851439,-0.0133268,-0.0836524,0.0703256
24,-1.4915178,-1.5935172,"('dishonest', 'honest')",-1.6450839,-1.7437371,0.42054093,0.47754836,-0.9053535,-0.9532353,0.0478818
0,-1.4573877,-1.33803,"('unsociable', 'sociable')",-0.09400575,-0.07936443,-0.49158794,-0.44329783,-0.6809938,-0.6202308,-0.060763
19,-1.3469548,-1.4909471,"('inhospitable', 'hospitable')",-1.424045,-1.6005538,0.088256985,-0.13647598,-0.8942476,-1.0759923,0.1817447
73,1.3401885,1.3486669,"('helpless', 'self-reliant')",0.74560505,0.74465775,-2.6272721,-2.8329291,-0.1804929,-0.2465348,0.0660419
66,-1.215321,-1.5048771,"('inactive', 'active')",-1.0675727,-1.2052146,1.0048469,0.6764391,-0.4260156,-0.6778842,0.2518686
63,-1.1990423,-1.1577684,"('unperceptive', 'insightful')",0.23148279,0.16323432,0.9015548,0.7774956,-0.0220016,-0.0723461,0.0503445
45,-1.1859109,-0.9708244,"('incompetent', 'competent')",-0.31689024,-0.3006734,-0.7231347,-0.6906063,-0.7419786,-0.6540347,-0.0879439
23,-1.1716324,-1.1295545,"('insincere', 'sincere')",-0.36390433,-0.35255814,4.930713,5.2576747,1.1317255,1.2585207,-0.1267952
79,-1.1265373,-1.3136525,"('wavering', 'unwavering')",-1.8984356,-2.031651,-0.1203059,-0.3010429,-1.0484263,-1.2154489,0.1670226
38,-1.0959542,-1.150454,"('untruthful', 'truthful')",-0.95420957,-1.0683396,-0.30709168,-0.29719025,-0.7857518,-0.8386613,0.0529095
57,-1.0334296,-1.0096883,"('unimaginative', 'imaginative')",0.7786633,0.77048796,-2.0279403,-2.3145177,-0.7609022,-0.8512394,0.0903372
82,-1.0127239,-0.76502776,"('poor', 'rich')",0.43358362,0.62409663,5.5000973,5.9054894,1.640319,1.9215194,-0.2812004
46,-0.97719246,-0.79504305,"('uncompetitive', 'competitive')",0.4714256,0.5302822,-0.50293154,-0.44339806,-0.3362328,-0.236053,-0.1001798
39,0.963387,0.9239057,"('exploitative', 'cooperative')",0.5232843,0.52977717,0.06611581,0.2177474,0.5175957,0.5571434,-0.0395477
69,0.9409333,0.72414917,"('lazy', 'industrious')",0.20647854,0.14518683,-0.38852447,-0.56133544,0.2529625,0.1026669,0.1502956
43,-0.9242101,-0.80323946,"('irresponsible', 'responsible')",-0.19360295,-0.15216142,0.1669865,0.26967007,-0.3169422,-0.2285769,-0.0883653
58,-0.85740644,-0.75857,"('undiscriminating', 'discriminating')",0.4616874,0.44209576,-0.030371964,-0.15831259,-0.1420303,-0.1582623,0.016232
28,-0.84990627,-0.8224505,"('disloyal', 'loyal')",0.13778172,0.10337069,1.0661352,1.0570953,0.1180035,0.1126718,0.0053317
9,-0.84349483,-0.9718643,"('unaffectionate', 'caring')",-0.46321204,-0.6450328,1.022065,0.8733948,-0.0948806,-0.2478341,0.1529535
44,0.82590854,0.7731987,"('prejudiced', 'unprejudiced')",0.27048823,0.28529686,-1.0778899,-1.0218917,0.006169,0.0122013,-0.0060323
34,-0.80637324,-0.9017447,"('mean', 'honorable')",-0.44198486,-0.5148654,5.8601165,5.961284,1.5372527,1.5148913,0.0223614
77,-0.794808,-0.6609478,"('unmotivated', 'motivated')",0.8542996,0.8788809,-1.2598418,-1.1791102,-0.4001167,-0.3203924,-0.0797243
68,-0.77834153,-0.9428612,"('dependent', 'independent')",-0.46802488,-0.55663663,-0.66025835,-0.7279,-0.6355416,-0.742466,0.1069244
54,-0.77008986,-0.84407455,"('incapable', 'capable')",0.016197069,-0.13002327,1.0041896,1.039521,0.0834323,0.0218077,0.0616246
88,-0.7694377,-0.8113107,"('low', 'eminent')",0.45415756,0.49217066,0.41990626,0.4318963,0.0348754,0.0375854,-0.00271
61,-0.7425133,-0.80081725,"('illogical', 'logical')",0.591447,0.3997736,-0.06821822,-0.13090633,-0.0730948,-0.1773167,0.1042219
41,-0.7296896,-0.58818316,"('unforgiving', 'forgiving')",-0.9397285,-1.0090559,0.12914719,0.12965202,-0.5134236,-0.4891957,-0.0242279
70,-0.68505585,-0.70488405,"('lethargic', 'energetic')",0.02348468,0.022472292,0.59925854,0.64771134,-0.0207709,-0.0115668,-0.0092041
21,-0.6596429,-0.58325636,"('immoral', 'moral')",1.1865772,1.2242929,-0.7377314,-0.5787696,-0.0702657,0.0207556,-0.0910213
36,-0.6465576,-0.8698823,"('hostile', 'amicable')",-1.3091562,-1.5497293,0.4990105,0.15534501,-0.4855677,-0.7547556,0.2691879
32,-0.63314784,-0.66971046,"('unkind', 'kind')",0.39337912,0.28951624,0.9226686,0.9524195,0.2276333,0.1907418,0.0368915
8,-0.61628854,-0.83422834,"('unaffectionate', 'affectionate')",-0.5997122,-0.7972924,0.6985037,0.45913568,-0.172499,-0.390795,0.218296
20,0.58600765,0.66569585,"('rough', 'thoughtful')",1.5403044,1.6253605,0.67398757,0.60668206,0.9334332,0.9659128,-0.0324796
18,-0.5752182,-0.51220953,"('disagreeable', 'welcoming')",-0.21269709,-0.19692281,-0.25839543,-0.25222814,-0.3487702,-0.3204535,-0.0283167
50,0.56700885,0.4440466,"('clumsy', 'skillful')",0.44215822,0.4046307,0.25056738,0.12864792,0.4199115,0.3257751,0.0941364
25,-0.54785997,-0.6354239,"('egoistic', 'altruistic')",-0.5144532,-0.5726378,1.6047193,1.5470548,0.1808021,0.1129977,0.0678044
4,-0.5382733,-0.5660286,"('disliked', 'liked')",-0.78588605,-0.82962656,-5.140283,-5.6076493,-2.1548141,-2.3344348,0.1796207
72,-0.5351848,-0.40827873,"('unambitious', 'ambitious')",-0.20996386,-0.13202673,-1.4565966,-1.3643464,-0.7339151,-0.634884,-0.0990311
67,0.53170747,0.49303356,"('doubtful', 'determined')",0.017692417,0.06873116,-0.8493615,-0.6814703,-0.0999872,-0.0399019,-0.0600853
3,-0.5058076,-0.33512262,"('repellent', 'pleasant')",0.26550227,0.49744147,0.09130446,0.2722359,-0.049667,0.1448516,-0.1945186
78,-0.5036799,-0.31954324,"('nonresilient', 'resilient')",1.1794399,1.1439173,0.42675808,0.24387455,0.367506,0.3560829,0.0114231
