,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
10,-2.2851677,-2.2405841,"('unsympathetic', 'sympathetic')",-2.2851677,-2.2405841,-0.0445836
77,-2.2231576,-1.9497198,"('unmotivated', 'motivated')",-2.2231576,-1.9497198,-0.2734378
81,-2.0876164,-1.7883992,"('submissive', 'aggressive')",-2.0876164,-1.7883992,-0.2992172
21,-1.885627,-1.6061001,"('immoral', 'moral')",-1.885627,-1.6061001,-0.2795269
64,-1.8630363,-2.1002014,"('shy', 'confident')",-1.8630363,-2.1002014,0.2371651
57,-1.8566952,-2.5142674,"('unimaginative', 'imaginative')",-1.8566952,-2.5142674,0.6575722
86,-1.7986107,-1.8323456,"('uninfluential', 'influential')",-1.7986107,-1.8323456,0.0337349
0,-1.722198,-1.9981132,"('unsociable', 'sociable')",-1.722198,-1.9981132,0.2759152
46,-1.7106215,-2.064344,"('uncompetitive', 'competitive')",-1.7106215,-2.0643439,0.3537224
70,-1.6702504,-1.7127508,"('lethargic', 'energetic')",-1.6702504,-1.7127508,0.0425004
28,-1.65807,-1.8620732,"('disloyal', 'loyal')",-1.65807,-1.8620732,0.2040032
55,-1.5565425,-1.7046125,"('incompetent', 'clever')",-1.5565425,-1.7046125,0.14807
12,-1.509188,-1.4190121,"('unsupportive', 'supportive')",-1.5091881,-1.4190121,-0.090176
3,-1.5085602,-1.524698,"('repellent', 'pleasant')",-1.5085602,-1.524698,0.0161378
34,1.4822094,1.7167084,"('mean', 'honorable')",1.4822094,1.7167084,-0.234499
69,1.4748353,1.5043069,"('lazy', 'industrious')",1.4748353,1.5043069,-0.0294716
36,1.4736059,1.0945839,"('hostile', 'amicable')",1.4736059,1.0945839,0.379022
45,-1.4616979,-1.9708154,"('incompetent', 'competent')",-1.4616979,-1.9708154,0.5091175
13,-1.4571685,-1.3516922,"('impolite', 'polite')",-1.4571685,-1.3516922,-0.1054763
60,-1.4260906,-1.0918733,"('inefficient', 'efficient')",-1.4260906,-1.0918733,-0.3342173
43,-1.3954713,-1.3913885,"('irresponsible', 'responsible')",-1.3954713,-1.3913885,-0.0040828
22,-1.3593488,-1.5450381,"('untrustworthy', 'trustworthy')",-1.3593488,-1.5450381,0.1856893
15,1.345134,1.133202,"('boring', 'funny')",1.345134,1.133202,0.211932
35,1.3238401,1.2115918,"('corrupt', 'incorrupt')",1.3238401,1.2115918,0.1122483
48,-1.3052218,-1.0637254,"('unintelligent', 'intelligent')",-1.3052218,-1.0637254,-0.2414964
14,-1.1470766,-1.5699899,"('antisocial', 'social')",-1.1470766,-1.5699899,0.4229133
11,-1.1068208,-1.0768461,"('unhelpful', 'helpful')",-1.1068208,-1.0768461,-0.0299747
85,1.0601033,1.0710961,"('insignificant', 'prestigious')",1.0601033,1.0710961,-0.0109928
62,-1.0247638,-0.84363943,"('incompetent', 'brilliant')",-1.0247638,-0.8436394,-0.1811244
26,1.0221717,0.6290688,"('hardhearted', 'benevolent')",1.0221717,0.6290688,0.3931029
51,-1.0217639,-0.65865076,"('uneducated', 'educated')",-1.0217639,-0.6586508,-0.3631131
68,-1.0172516,-0.5516962,"('dependent', 'independent')",-1.0172516,-0.5516962,-0.4655554
18,-0.9310678,-0.69339234,"('disagreeable', 'welcoming')",-0.9310678,-0.6933923,-0.2376755
42,-0.9204085,-0.958342,"('unreliable', 'reliable')",-0.9204085,-0.958342,0.0379335
30,-0.917791,-0.8049444,"('intolerant', 'tolerant')",-0.917791,-0.8049444,-0.1128466
88,-0.8818316,-0.745074,"('low', 'eminent')",-0.8818316,-0.745074,-0.1367576
7,-0.88103443,-0.9336824,"('insensitive', 'sensitive')",-0.8810344,-0.9336824,0.052648
