,coventry_male,coventry_female,tuple,health_male,health_female,care_male,care_female,inc_male,inc_female,average_male,average_female,male-female
71,1.5819466,1.4378049,"('diffident', 'self-confident')",3.1127317,3.0592992,2.8383784,2.8033893,1.07662,1.1631823,2.1524191,2.1159189,0.0365002
57,1.5396378,1.4395908,"('unimaginative', 'imaginative')",-0.22507039,-0.39374813,-0.21339555,-0.37276548,-2.6458874,-2.7135887,-0.3861789,-0.5101279,0.123949
31,-1.331097,-1.4525658,"('evil', 'good')",0.20718797,0.47075114,-0.6581355,-0.529492,-0.65127397,-0.7579403,-0.6083296,-0.5673118,-0.0410178
87,1.1787499,1.1692055,"('unsuccessful', 'successful')",0.5098249,0.4037325,0.5133872,0.5132963,0.30160642,0.37065452,0.6258921,0.6142222,0.0116699
59,1.1708689,1.1680812,"('foolish', 'wise')",2.5242918,2.568177,1.3999282,1.5079267,0.6132977,0.7123784,1.4270966,1.4891407,-0.0620441
4,1.1121569,0.94926316,"('disliked', 'liked')",1.5306047,1.656756,1.2114952,1.3135033,-6.383339,-6.30866,-0.6322705,-0.5972844,-0.0349861
12,1.0379359,1.2020005,"('unsupportive', 'supportive')",2.905227,3.1869328,2.3921525,2.5204089,-1.7390699,-1.5428882,1.1490614,1.3416134,-0.192552
27,1.0167083,0.7327612,"('hardhearted', 'softhearted')",0.5605534,0.71845835,0.93690306,0.9764177,1.8486862,1.6471876,1.0907128,1.0187062,0.0720066
38,0.9877325,1.0588287,"('untruthful', 'truthful')",0.7329674,0.9205491,0.35819483,0.5201218,-0.082052365,0.16612719,0.4992106,0.6664067,-0.1671961
74,0.96001035,1.1711003,"('undedicated', 'dedicated')",0.3698225,0.62897706,-0.028192114,0.045389973,-0.014261333,0.077902935,0.3218448,0.4808426,-0.1589978
39,0.9585512,0.8951928,"('exploitative', 'cooperative')",0.219867,0.24443303,0.19158116,0.22971101,0.26357636,0.29776517,0.4083939,0.4167755,-0.0083816
26,0.9435675,0.74212515,"('hardhearted', 'benevolent')",1.8602276,1.6872263,1.4022417,1.2421713,1.8424155,1.7779726,1.512113,1.3623738,0.1497392
5,0.92848414,0.7861997,"('distant', 'outgoing')",1.2903012,1.5433149,0.46930376,0.56866735,0.061498374,0.16534895,0.6873969,0.7658827,-0.0784858
72,0.9283851,0.8991358,"('unambitious', 'ambitious')",0.32777867,0.103655025,-0.65693784,-0.8349234,-0.8563842,-0.791679,-0.0642896,-0.1559529,0.0916633
43,0.91901094,1.1757421,"('irresponsible', 'responsible')",0.37323985,0.36508307,0.61717975,0.49391147,0.550145,0.62312645,0.6148939,0.6644658,-0.0495719
