,consolidated_male,consolidated_female,tuple,edison_male,edison_female,inc_male,inc_female,average_male,average_female,male-female
26,1.9934623,2.0630124,"('hardhearted', 'benevolent')",4.2714095,4.149323,1.5477228,1.7741393,2.6041981,2.6621583,-0.0579602
39,1.9323615,1.8909576,"('exploitative', 'cooperative')",-0.393812,-0.32279983,-0.020938648,0.021648023,0.5058703,0.5299353,-0.024065
71,1.508306,1.275372,"('diffident', 'self-confident')",0.80217355,0.80236304,0.26102322,0.30217442,0.8571676,0.7933031,0.0638645
44,-1.3597734,-1.4226869,"('prejudiced', 'unprejudiced')",-0.7870216,-0.9439665,-1.8127701,-1.7138209,-1.3198551,-1.3601581,0.040303
76,-1.2908709,-1.1551412,"('anxious', 'daring')",-1.7211425,-1.6156291,0.16934918,0.08726993,-0.9475547,-0.8945001,-0.0530546
45,-1.2231047,-1.1545572,"('incompetent', 'competent')",-1.001652,-1.0148551,-0.23051727,-0.43877986,-0.8184247,-0.8693974,0.0509727
40,1.210169,1.1308115,"('stingy', 'generous')",0.71359414,0.5700754,-1.285242,-1.4162679,0.2128404,0.094873,0.1179674
49,-1.143517,-1.2417156,"('unable', 'able')",-0.8849057,-0.91513413,-0.5008309,-0.6121098,-0.8430846,-0.9229865,0.0799019
12,1.1163597,1.0834441,"('unsupportive', 'supportive')",0.31978482,0.32156837,-1.2162906,-1.2936772,0.0732847,0.0371118,0.0361729
73,1.1126071,1.2009283,"('helpless', 'self-reliant')",0.64380246,0.6684159,-3.1637228,-3.0610309,-0.4691044,-0.3972289,-0.0718755
13,-0.96820265,-0.754851,"('impolite', 'polite')",-0.92077494,-0.61740625,-0.23506765,-0.20534201,-0.708015,-0.5258664,-0.1821486
29,-0.9670326,-0.77811915,"('unfair', 'fair')",-1.714873,-1.5653526,-0.58341897,-0.56213117,-1.0884415,-0.9685343,-0.1199072
55,-0.9595306,-0.88989556,"('incompetent', 'clever')",-0.7167027,-0.6834876,0.19916221,-0.11259712,-0.492357,-0.5619934,0.0696364
82,-0.9244734,-0.94038945,"('poor', 'rich')",-0.28293744,-0.24981163,6.1786737,5.9695177,1.6570876,1.5931056,0.063982
