,trane_male,trane_female,tuple,technologies_male,technologies_female,plc_male,plc_female,average_male,average_female,male-female
1,-2.0805583,-2.1625395,"('unfriendly', 'friendly')",-0.25931737,-0.24904832,1.5798136,1.6509042,-0.253354,-0.2535612,0.0002072
6,-2.0229602,-2.0636601,"('distant', 'open')",-1.0458572,-1.1217089,0.24792582,0.522839,-0.9402972,-0.88751,-0.0527872
5,-1.8047477,-1.8308923,"('distant', 'outgoing')",-0.6228045,-0.6327193,0.36910072,0.5482451,-0.6861505,-0.6384555,-0.047695
9,-1.7516973,-1.740122,"('unaffectionate', 'caring')",0.083336875,0.091943786,0.935045,0.98668134,-0.2444385,-0.220499,-0.0239395
53,-1.6917176,-1.7540408,"('uncreative', 'creative')",0.48734072,0.42648917,1.1698925,1.268611,-0.0114948,-0.0196469,0.0081521
19,-1.6400617,-1.7357545,"('inhospitable', 'hospitable')",-1.1811692,-1.2458488,-0.6322237,-0.64945585,-1.1511515,-1.210353,0.0592015
86,-1.5173126,-1.3942829,"('uninfluential', 'influential')",-0.13797913,-0.1605968,0.026186677,0.23869975,-0.543035,-0.4387267,-0.1043083
31,-1.4661272,-1.5072839,"('evil', 'good')",-0.37315798,-0.30594644,-0.17966312,0.30733892,-0.6729828,-0.5019638,-0.171019
39,1.458308,1.4958107,"('exploitative', 'cooperative')",0.6863274,0.58402246,0.6615382,0.62887496,0.9353912,0.9029028,0.0324884
8,-1.3000289,-1.4642949,"('unaffectionate', 'affectionate')",0.061286107,-0.079064906,0.5473266,0.5333448,-0.2304721,-0.3366717,0.1061996
66,-1.2586478,-1.0489851,"('inactive', 'active')",-0.69504243,-0.48580015,0.8822859,1.2587523,-0.3571348,-0.092011,-0.2651238
25,-1.2430718,-1.468039,"('egoistic', 'altruistic')",0.36417043,0.1977003,1.2161708,1.2873698,0.1124231,0.005677,0.1067461
60,1.2314417,1.3761694,"('inefficient', 'efficient')",0.76033735,0.812033,-0.28522378,-0.5954445,0.5688518,0.5309193,0.0379325
85,-1.2069144,-1.1650826,"('insignificant', 'prestigious')",0.24665773,0.2536517,0.13688317,0.4248291,-0.2744579,-0.1622006,-0.1122573
27,-1.1859998,-1.2345867,"('hardhearted', 'softhearted')",-0.18957831,-0.24023338,-0.032135807,-0.14405662,-0.469238,-0.5396256,0.0703876
54,-1.1738657,-1.3180537,"('incapable', 'capable')",-0.041056074,-0.08628647,0.46694905,0.20010757,-0.2493242,-0.4014109,0.1520867
79,-1.1603501,-1.2015425,"('wavering', 'unwavering')",-1.311037,-1.2624891,-0.47898063,-0.18023387,-0.9834558,-0.8814219,-0.1020339
38,-1.1517057,-0.890912,"('untruthful', 'truthful')",-0.8199809,-0.57434005,0.0054018246,0.42635012,-0.6554283,-0.3463006,-0.3091277
36,-1.1493078,-1.2202301,"('hostile', 'amicable')",-0.7373383,-0.78045905,1.2737873,1.5868702,-0.2042863,-0.1379396,-0.0663467
65,1.1437042,1.1048958,"('insecure', 'secure')",-0.30372328,-0.2706188,-0.020315174,-0.1548368,0.2732219,0.2264801,0.0467418
76,1.0764707,1.0662066,"('anxious', 'daring')",0.08812145,0.028602853,-0.66443163,-0.8897308,0.1667202,0.0683595,0.0983607
23,-1.0311563,-0.90796685,"('insincere', 'sincere')",-0.492206,-0.4883726,2.8935626,2.1516569,0.4567334,0.2517725,0.2049609
56,1.0084944,1.1228163,"('impractical', 'practical')",0.30722517,0.48565456,0.6010472,0.3901172,0.6389223,0.666196,-0.0272737
82,-0.9674334,-1.1788341,"('poor', 'rich')",0.24150138,-0.055853024,3.7769423,2.7518573,1.0170034,0.5057234,0.51128
14,0.9421807,1.0794177,"('antisocial', 'social')",0.97053975,1.1930969,0.57526344,0.6292574,0.829328,0.9672573,-0.1379293
16,-0.87523925,-1.0786576,"('unpopular', 'popular')",-0.19864327,-0.39313412,0.011197977,-0.028491315,-0.3542282,-0.5000943,0.1458661
28,-0.83188456,-0.8466373,"('disloyal', 'loyal')",0.09258429,0.11510171,0.56857514,0.7202804,-0.0569084,-0.0037517,-0.0531567
40,-0.8317874,-0.780998,"('stingy', 'generous')",0.12275667,0.13311517,-1.6388946,-1.0563884,-0.7826417,-0.5680904,-0.2145513
57,-0.7968114,-0.5899711,"('unimaginative', 'imaginative')",0.6658521,0.9205367,-0.8278133,0.036122736,-0.3195909,0.1222294,-0.4418203
4,-0.79532194,-0.6046602,"('disliked', 'liked')",-0.31196895,-0.18940942,-3.0436563,-1.8057848,-1.383649,-0.8666182,-0.5170308
78,-0.79378814,-0.66854316,"('nonresilient', 'resilient')",0.585493,0.67144483,-0.10321106,0.3592697,-0.1038354,0.1207238,-0.2245592
75,-0.7898127,-0.6627816,"('meek', 'impulsive')",0.088900805,0.18275031,-0.8816777,-0.61830264,-0.5275299,-0.3661113,-0.1614186
88,-0.77778393,-0.89476204,"('low', 'eminent')",0.6012708,0.34880483,0.14562495,-0.2414335,-0.0102961,-0.2624636,0.2521675
21,0.7317128,0.5913176,"('immoral', 'moral')",0.321144,0.31205904,-1.2293222,-1.5988811,-0.0588218,-0.2318348,0.173013
24,-0.7282956,-0.6079401,"('dishonest', 'honest')",-1.4039418,-1.4341729,0.1603423,0.10599488,-0.6572984,-0.6453726,-0.0119258
35,-0.7040487,-0.9231499,"('corrupt', 'incorrupt')",-0.48182,-0.6853423,0.13529322,0.11291764,-0.3501918,-0.4985248,0.148333
44,0.69985574,0.6691781,"('prejudiced', 'unprejudiced')",-0.24070711,-0.2246379,-1.023373,-1.1615535,-0.1880748,-0.2390044,0.0509296
18,-0.6979829,-0.8228759,"('disagreeable', 'welcoming')",0.22747882,0.2256742,-0.96396214,-1.0095259,-0.4781554,-0.5355759,0.0574205
30,0.69694155,0.59829104,"('intolerant', 'tolerant')",1.7592021,1.6679666,0.48204574,0.095517814,0.9793964,0.7872585,0.1921379
55,0.692108,0.69238114,"('incompetent', 'clever')",0.57160425,0.5662045,-0.40842617,-0.4323253,0.2850953,0.2754201,0.0096752
80,0.6893503,0.85212976,"('dominated', 'dominating')",0.21731584,0.34463543,0.27333835,0.6510328,0.3933348,0.6159327,-0.2225979
51,-0.6215049,-0.8888405,"('uneducated', 'educated')",-0.1511715,-0.33844727,-0.2658873,-0.60832715,-0.3461879,-0.6118716,0.2656837
84,0.6197085,0.47559506,"('inferior', 'superior')",0.09901345,-0.0493103,0.53304327,0.29002416,0.4172551,0.2387697,0.1784854
67,0.6195086,0.62718004,"('doubtful', 'determined')",0.28538877,0.3154871,-0.5241729,-0.8165593,0.1269082,0.0420359,0.0848723
59,-0.6072854,-0.7750607,"('foolish', 'wise')",0.17140011,0.11006776,0.21817607,0.08008921,-0.0725697,-0.1949679,0.1223982
72,-0.5982605,-0.52020115,"('unambitious', 'ambitious')",-0.48870352,-0.3865739,0.6886009,0.7898648,-0.1327877,-0.0389701,-0.0938176
68,-0.58997524,-0.7133428,"('dependent', 'independent')",-0.4499392,-0.41819158,-1.1440638,-1.1989226,-0.7279927,-0.776819,0.0488263
62,0.569515,0.5759962,"('incompetent', 'brilliant')",0.86848235,0.9443895,0.041693084,-0.062415004,0.4932301,0.4859902,0.0072399
12,-0.56741035,-0.29098225,"('unsupportive', 'supportive')",0.74634933,0.9962803,-1.4287891,-0.73671246,-0.4166167,-0.0104715,-0.4061452
13,0.56139296,0.5176174,"('impolite', 'polite')",-0.056144305,0.1136044,-0.512406,-0.6869597,-0.0023858,-0.0185793,0.0161935
45,-0.54502845,-0.26655737,"('incompetent', 'competent')",-0.6032116,-0.3910157,0.45018044,1.0287586,-0.2326866,0.1237285,-0.3564151
