,affiliated_male,affiliated_female,tuple,computer_male,computer_female,services_male,services_female,inc_male,inc_female,average_male,average_female,male-female
66,1.3828951,1.486299,"('inactive', 'active')",-0.5300677,-0.42618847,0.14670399,0.023509145,1.1930628,0.99386644,0.5481485,0.5193715,0.028777
6,-1.3054137,-1.0575162,"('distant', 'open')",1.1962144,1.1427711,-0.7362557,-1.2816632,0.17349236,-0.0043045357,-0.1679907,-0.3001782,0.1321875
62,1.267195,0.88598955,"('incompetent', 'brilliant')",-0.37481698,-0.2883339,0.40960997,0.8920654,-0.087454006,0.055917412,0.3036335,0.3864096,-0.0827761
88,1.2395678,1.809063,"('low', 'eminent')",0.4994051,0.80641127,0.44172558,0.87608415,0.68679667,1.002805,0.7168738,1.1235908,-0.406717
22,1.2333356,0.9348131,"('untrustworthy', 'trustworthy')",-0.26703355,-0.41327602,0.40252417,0.5779159,-0.7161158,-0.7556643,0.1631776,0.0859472,0.0772304
16,-1.1664351,-0.6041646,"('unpopular', 'popular')",-0.264228,-0.19483382,0.18773767,0.37384197,0.55020773,0.5731955,-0.1731794,0.0370098,-0.2101892
28,1.1415716,0.84874165,"('disloyal', 'loyal')",-0.06673837,-0.23379402,0.14575867,0.16300288,1.4511205,1.3738731,0.6679281,0.5379559,0.1299722
29,-1.1232293,-1.1970834,"('unfair', 'fair')",-0.164888,-0.14417064,-0.8851726,-0.8887939,-1.2159691,-1.3320272,-0.8473147,-0.8905188,0.0432041
44,-1.0787771,-0.5235067,"('prejudiced', 'unprejudiced')",-1.3321261,-1.1983495,0.03250459,0.12019327,-1.6153597,-1.4168303,-0.9984396,-0.7546233,-0.2438163
52,-1.0629846,-0.858251,"('irrational', 'rational')",1.1198987,0.9768357,0.4591856,0.054161564,-0.48314515,-0.78275245,0.0082386,-0.1525015,0.1607401
41,1.0614501,0.867819,"('unforgiving', 'forgiving')",-0.06673347,-0.24395798,0.75077045,0.76972866,0.6230686,0.38034475,0.5921389,0.4434836,0.1486553
84,1.0595143,0.93669206,"('inferior', 'superior')",1.305982,1.2666494,0.5120945,0.48429373,0.70862985,0.57718635,0.8965551,0.8162054,0.0803497
37,1.0417656,0.57816267,"('fake', 'genuine')",-0.69031876,-0.9216677,0.19766235,0.16399135,0.28481898,0.23064837,0.208482,0.0127837,0.1956983
53,-1.0349038,-1.2657057,"('uncreative', 'creative')",1.3373555,1.3362216,-0.33554077,-0.42916226,0.89886856,0.7643546,0.2164449,0.101427,0.1150179
79,-0.9870626,-0.41857475,"('wavering', 'unwavering')",0.026227405,0.23269624,-0.7668258,-0.7907016,0.018455422,0.14408651,-0.4273014,-0.2081234,-0.219178
67,0.9834939,1.2332268,"('doubtful', 'determined')",0.6898259,0.84443545,0.76547474,1.0544897,-0.46521282,-0.2460872,0.4933954,0.7215163,-0.2281209
30,0.956025,1.054335,"('intolerant', 'tolerant')",0.73201644,0.7741087,0.20970389,0.5019717,1.0136849,1.1379541,0.7278576,0.8670924,-0.1392348
2,0.9411656,1.1486425,"('unlikable', 'likable')",0.18376288,0.3073635,0.83021414,1.089559,0.75390875,0.7402457,0.6772628,0.8214527,-0.1441899
71,0.9142417,1.1630627,"('diffident', 'self-confident')",1.1864973,1.3710973,0.4934246,0.46025735,0.30268145,0.2007963,0.7242113,0.7988034,-0.0745921
61,0.8662113,0.2532634,"('illogical', 'logical')",1.6731539,1.6547319,0.7274621,0.7558979,0.12564816,-0.07108369,0.8481189,0.6482024,0.1999165
20,0.825917,0.38795346,"('rough', 'thoughtful')",0.3125619,0.32391945,0.23856507,0.14054134,0.6291243,0.43770766,0.5015421,0.3225305,0.1790116
75,-0.8238752,-0.121273994,"('meek', 'impulsive')",0.12285526,0.41471052,-0.5470263,-0.41123214,-0.6822353,-0.39866412,-0.4825704,-0.1291149,-0.3534555
82,0.8165791,0.93784213,"('poor', 'rich')",-0.20594758,-0.116088435,0.25457993,0.72253525,6.3645773,6.7426867,1.8074472,2.071744,-0.2642968
26,0.77483284,0.9167086,"('hardhearted', 'benevolent')",1.2259679,1.1164743,1.4075779,1.114348,1.6951791,1.4696175,1.2758894,1.1542871,0.1216023
57,0.70947075,0.5861705,"('unimaginative', 'imaginative')",0.2867027,0.17683114,-1.3201083,-1.0166996,-2.0968807,-2.206856,-0.6052039,-0.6151385,0.0099346
69,-0.6990245,0.06794676,"('lazy', 'industrious')",1.0935562,1.3470434,1.0574713,0.8721813,-0.6937952,-0.7507856,0.1895519,0.3840964,-0.1945445
1,-0.647308,-0.8287315,"('unfriendly', 'friendly')",1.470868,1.3581647,0.094221845,-0.44606066,1.5806574,1.1330689,0.6246098,0.3041103,0.3204995
83,0.62976915,0.5745145,"('powerless', 'powerful')",0.7132634,0.8251576,-0.018465675,0.07405924,-0.7726758,-0.8265754,0.1379728,0.161789,-0.0238162
27,0.6067681,-0.10820678,"('hardhearted', 'softhearted')",-0.39424604,-0.62255377,0.6117376,0.39059976,1.4170997,1.0434815,0.5603398,0.1758302,0.3845096
3,0.573862,0.026096629,"('repellent', 'pleasant')",-0.7354384,-0.76707864,0.3800221,0.43599728,0.24325965,0.29194927,0.1154263,-0.0032589,0.1186852
50,0.5725092,0.75082284,"('clumsy', 'skillful')",-0.19524592,-0.018489705,0.6697027,0.6900486,0.19288781,0.11959657,0.3099635,0.3854946,-0.0755311
59,-0.53141624,-0.08902152,"('foolish', 'wise')",1.546078,1.5819536,0.0670758,-0.2462902,-0.027380379,-0.1798903,0.2635893,0.2666879,-0.0030986
58,0.5110127,0.53940254,"('undiscriminating', 'discriminating')",0.65047634,0.45448485,0.50105184,0.3487333,0.2170525,-0.043533016,0.4698983,0.3247719,0.1451264
54,0.50052744,0.82544523,"('incapable', 'capable')",0.09196245,0.24190745,-0.024256784,-0.20741466,0.9129718,1.1364659,0.3703012,0.499101,-0.1287998
78,0.42090777,-0.04040733,"('nonresilient', 'resilient')",-0.55580604,-0.54326576,0.38576025,0.5461326,0.18391874,-0.02094113,0.1086952,-0.0146204,0.1233156
17,-0.40486902,-0.06287344,"('nasty', 'nice')",0.04245434,0.13958865,0.70612586,0.8422419,-0.32159108,-0.25740623,0.00553,0.1653877,-0.1598577
72,0.3784544,-0.10982804,"('unambitious', 'ambitious')",-0.80967957,-0.93543124,-1.381879,-1.3753067,-0.9616103,-0.95047987,-0.6936786,-0.8427615,0.1490829
64,0.33795172,0.07329601,"('shy', 'confident')",-0.49303988,-0.6389358,-0.07361342,0.04069107,-5.7370486,-5.979335,-1.4914376,-1.6260709,0.1346333
47,0.32897568,0.25343943,"('stupid', 'smart')",0.21260282,0.3782831,0.9577337,1.1890062,5.280819,5.5334277,1.6950328,1.8385391,-0.1435063
73,0.31965917,0.6301166,"('helpless', 'self-reliant')",1.0720937,1.0182174,-0.6129674,-0.90918213,-3.351541,-3.5128212,-0.6431888,-0.6934173,0.0502285
33,-0.2860506,-0.16412129,"('wrong', 'right')",1.3529348,1.2650504,0.43344516,0.14128745,-0.6093468,-0.8899046,0.2227457,0.088078,0.1346677
49,0.25463158,0.3071161,"('unable', 'able')",-0.49526465,-0.16103154,-0.11547047,0.159911,-0.24885061,-0.117141515,-0.1512385,0.0472135,-0.198452
38,0.2501496,0.5965935,"('untruthful', 'truthful')",0.33933607,0.5074007,-0.089842856,-0.107359745,0.013789305,0.02539858,0.128358,0.2555082,-0.1271502
40,0.21232796,0.0047080815,"('stingy', 'generous')",-0.104655094,-0.37319243,0.31128627,0.09585553,-1.4138752,-1.9210204,-0.248729,-0.5484123,0.2996833
68,-0.20927641,-0.40187997,"('dependent', 'independent')",-0.62207973,-0.6927184,-0.23027317,-0.25150564,-0.722721,-0.93995255,-0.4460876,-0.5715141,0.1254265
18,-0.16111097,-0.24863139,"('disagreeable', 'welcoming')",-0.29601732,-0.21151611,0.30130896,0.19369692,-0.2628632,-0.3796913,-0.1046706,-0.1615355,0.0568649
9,-0.1339891,-0.37000573,"('unaffectionate', 'caring')",0.591857,0.52105737,0.12487538,-0.30030042,1.1015381,0.86763805,0.4210703,0.1795973,0.241473
19,-0.09994111,0.26520008,"('inhospitable', 'hospitable')",0.4945248,0.5717521,-0.32349497,-0.5830428,0.052836612,-0.11006971,0.0309813,0.0359599,-0.0049786
15,0.027648114,0.46715102,"('boring', 'funny')",0.1653595,0.45582515,-0.625712,-0.5633967,0.28467292,0.40302092,-0.0370079,0.1906501,-0.227658
