,chevron_male,chevron_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,-1.8872192,-1.0485928,"('inefficient', 'efficient')",-0.1146099,0.69881475,-1.0009146,-0.174889,-0.8260256
10,-1.8810163,-1.8606645,"('unsympathetic', 'sympathetic')",-0.2783783,0.18138076,-1.0796973,-0.8396419,-0.2400554
85,1.854689,1.2720239,"('insignificant', 'prestigious')",-0.19890241,-0.95220864,0.8278933,0.1599076,0.6679857
57,-1.7898706,-2.0315356,"('unimaginative', 'imaginative')",-3.284831,-3.454586,-2.5373509,-2.7430608,0.2057099
69,1.766326,1.4191387,"('lazy', 'industrious')",-0.43345675,-1.2853501,0.6664346,0.0668943,0.5995403
81,-1.7470841,-1.241882,"('submissive', 'aggressive')",-0.4198611,0.11578342,-1.0834726,-0.5630493,-0.5204233
70,-1.736249,-1.2540698,"('lethargic', 'energetic')",-0.059218943,0.5378114,-0.8977339,-0.3581292,-0.5396047
22,-1.5581648,-1.3586149,"('untrustworthy', 'trustworthy')",-1.577915,-1.1675122,-1.5680399,-1.2630635,-0.3049764
43,-1.5066539,-1.4390775,"('irresponsible', 'responsible')",0.22284065,0.52298236,-0.6419066,-0.4580476,-0.183859
11,-1.4321438,-1.1543164,"('unhelpful', 'helpful')",1.8430455,2.3180053,0.2054508,0.5818444,-0.3763936
0,-1.3677372,-1.3498228,"('unsociable', 'sociable')",-0.089370936,0.3275766,-0.7285541,-0.5111231,-0.217431
14,-1.3569046,-0.9234462,"('antisocial', 'social')",-0.09799582,0.25524536,-0.7274503,-0.3341004,-0.3933499
65,-1.3519605,-0.95261186,"('insecure', 'secure')",-0.086278655,0.5488594,-0.7191196,-0.2018762,-0.5172434
86,-1.3380761,-1.5082965,"('uninfluential', 'influential')",-0.3352894,-0.03218284,-0.8366827,-0.7702397,-0.066443
3,-1.3064319,-1.1694243,"('repellent', 'pleasant')",0.5652589,0.6648958,-0.3705865,-0.2522643,-0.1183222
21,-1.2667999,-1.1903613,"('immoral', 'moral')",-0.6307898,0.09715408,-0.9487948,-0.5466036,-0.4021912
33,1.2548543,0.8789714,"('wrong', 'right')",-0.73754835,-0.99433005,0.258653,-0.0576793,0.3163323
45,-1.2519525,-1.1174597,"('incompetent', 'competent')",-0.02107197,0.21557762,-0.6365123,-0.450941,-0.1855713
84,1.2377497,1.0541472,"('inferior', 'superior')",1.2059501,1.050572,1.2218499,1.0523596,0.1694903
51,-1.2156863,-0.8653559,"('uneducated', 'educated')",0.9174905,1.3532443,-0.1490979,0.2439442,-0.3930421
46,-1.1722516,-1.0540767,"('uncompetitive', 'competitive')",-0.4946025,0.052427255,-0.8334271,-0.5008247,-0.3326024
82,-1.1529899,-0.63687205,"('poor', 'rich')",6.2029886,7.0446362,2.5249994,3.2038822,-0.6788828
55,-1.1145315,-0.86013013,"('incompetent', 'clever')",0.47004688,1.050096,-0.3222423,0.094983,-0.4172253
7,-1.1101743,-0.91832525,"('insensitive', 'sensitive')",0.2945084,0.59990764,-0.407833,-0.1592088,-0.2486242
23,-1.0938699,-0.87300336,"('insincere', 'sincere')",5.7234845,6.516508,2.3148074,2.8217523,-0.5069449
20,-1.0822035,-1.0440639,"('rough', 'thoughtful')",0.53989863,0.5008843,-0.2711524,-0.2715898,0.0004374
68,-1.0694677,-0.6591138,"('dependent', 'independent')",-0.59077275,-0.41614714,-0.8301202,-0.5376305,-0.2924897
66,1.0369186,0.29401615,"('inactive', 'active')",0.95402837,0.3118848,0.9954735,0.3029505,0.692523
47,-1.0034872,-1.0577394,"('stupid', 'smart')",4.889386,5.537582,1.9429495,2.2399213,-0.2969718
63,-0.98693144,-0.8564763,"('unperceptive', 'insightful')",0.7674089,1.0217148,-0.1097613,0.0826192,-0.1923805
13,-0.9334509,-0.7087315,"('impolite', 'polite')",-0.39977282,0.21566549,-0.6666119,-0.246533,-0.4200789
28,-0.8911366,-0.81364053,"('disloyal', 'loyal')",0.8422831,1.2548335,-0.0244267,0.2205965,-0.2450232
71,0.88140213,0.6761116,"('diffident', 'self-confident')",0.6380363,0.38086805,0.7597193,0.5284898,0.2312295
73,0.8779149,1.17625,"('helpless', 'self-reliant')",-3.7635796,-3.8973222,-1.4428324,-1.3605361,-0.0822963
77,-0.8596208,-0.7668297,"('unmotivated', 'motivated')",-0.867123,-0.55375504,-0.8633719,-0.6602924,-0.2030795
56,-0.85958105,-0.4951936,"('impractical', 'practical')",-0.45534655,0.1548349,-0.6574638,-0.1701794,-0.4872844
24,-0.85328686,-0.89888567,"('dishonest', 'honest')",0.19571109,0.75149465,-0.3287879,-0.0736955,-0.2550924
30,-0.80513257,-0.2861875,"('intolerant', 'tolerant')",0.26021287,0.7638945,-0.2724599,0.2388535,-0.5113134
35,0.7735971,0.6404213,"('corrupt', 'incorrupt')",-0.68872756,-1.1809958,0.0424348,-0.2702873,0.3127221
32,-0.76833385,-0.6295577,"('unkind', 'kind')",0.6086528,0.99950904,-0.0798405,0.1849757,-0.2648162
54,-0.7311627,-0.81572795,"('incapable', 'capable')",0.535235,0.48363596,-0.0979639,-0.166046,0.0680821
49,-0.72977394,-0.3945582,"('unable', 'able')",-0.2410757,0.034539506,-0.4854248,-0.1800093,-0.3054155
5,0.7168173,0.32848662,"('distant', 'outgoing')",-0.5959686,-1.0167944,0.0604244,-0.3441539,0.4045783
76,-0.71488327,-0.30632165,"('anxious', 'daring')",-0.17793919,0.46575946,-0.4464112,0.0797189,-0.5261301
27,-0.7106386,-0.9603852,"('hardhearted', 'softhearted')",0.80200917,0.6058426,0.0456853,-0.1772713,0.2229566
88,-0.65289915,-0.7177926,"('low', 'eminent')",-0.80896735,-0.57463396,-0.7309332,-0.6462133,-0.0847199
31,0.5935759,0.19326575,"('evil', 'good')",-1.1059859,-1.8403354,-0.256205,-0.8235348,0.5673298
2,0.5918954,0.64717644,"('unlikable', 'likable')",0.48885807,0.4585649,0.5403767,0.5528707,-0.012494
48,-0.53679824,-0.37587956,"('unintelligent', 'intelligent')",1.0834677,1.5069546,0.2733347,0.5655375,-0.2922028
67,0.5288601,0.7844751,"('doubtful', 'determined')",-0.36286646,-0.33558315,0.0829968,0.224446,-0.1414492
41,-0.5198526,-0.39964718,"('unforgiving', 'forgiving')",-0.24706043,-0.39093003,-0.3834565,-0.3952886,0.0118321
4,0.51077485,0.7319421,"('disliked', 'liked')",-6.56872,-7.1811237,-3.0289726,-3.2245908,0.1956182
62,-0.5002631,-0.0089041665,"('incompetent', 'brilliant')",0.62433887,1.0543764,0.0620379,0.5227361,-0.4606982
59,0.49852276,0.45346972,"('foolish', 'wise')",-0.2775636,-0.5326156,0.1104796,-0.0395729,0.1500525
36,0.49802154,0.17554502,"('hostile', 'amicable')",-0.4818034,-0.9265033,0.0081091,-0.3754791,0.3835882
53,-0.47847074,-0.82080686,"('uncreative', 'creative')",0.2840532,0.20765267,-0.0972088,-0.3065771,0.2093683
18,-0.47240838,-0.28291753,"('disagreeable', 'welcoming')",-0.8317697,-0.78865266,-0.6520891,-0.5357851,-0.116304
9,0.4701267,0.18797624,"('unaffectionate', 'caring')",0.98977774,0.9451605,0.7299522,0.5665684,0.1633838
58,0.44093087,0.15666187,"('undiscriminating', 'discriminating')",0.22576052,0.07134672,0.3333457,0.1140043,0.2193414
34,-0.404998,-0.3311825,"('mean', 'honorable')",5.501861,6.009999,2.5484316,2.8394082,-0.2909766
38,-0.40455225,-0.45027933,"('untruthful', 'truthful')",-0.026482467,-0.054277845,-0.2155174,-0.2522786,0.0367612
79,0.3984684,-0.00601279,"('wavering', 'unwavering')",-0.21289232,-0.5439167,0.092788,-0.2749647,0.3677527
37,-0.39018813,-0.4718521,"('fake', 'genuine')",-0.18725684,-0.09001091,-0.2887225,-0.2809315,-0.007791
80,-0.36910304,-0.3839877,"('dominated', 'dominating')",-0.26965684,-0.15436572,-0.3193799,-0.2691767,-0.0502032
64,0.3549459,0.38765222,"('shy', 'confident')",-5.992046,-6.3060236,-2.8185501,-2.9591856,0.1406355
17,-0.34991235,-0.13743639,"('nasty', 'nice')",-0.5314214,-0.49124926,-0.4406669,-0.3143428,-0.1263241
25,0.34482569,0.0136769675,"('egoistic', 'altruistic')",0.9614416,0.6630735,0.6531336,0.3383752,0.3147584
44,-0.31742424,-0.52638525,"('prejudiced', 'unprejudiced')",-1.6320142,-1.774371,-0.9747192,-1.1503781,0.1756589
61,-0.31633,-0.6205047,"('illogical', 'logical')",0.74965256,0.77642006,0.2166613,0.0779577,0.1387036
19,-0.30372566,-0.3455951,"('inhospitable', 'hospitable')",-0.51541567,-0.56385154,-0.4095707,-0.4547233,0.0451526
8,-0.30247417,-0.5412417,"('unaffectionate', 'affectionate')",0.16924335,0.008483304,-0.0666154,-0.2663792,0.1997638
42,-0.29257396,0.09437907,"('unreliable', 'reliable')",-3.0697398,-3.008228,-1.6811569,-1.4569244,-0.2242325
26,0.28961635,-0.100567274,"('hardhearted', 'benevolent')",1.1077732,0.8570884,0.6986948,0.3782606,0.3204342
72,-0.25773168,-0.08557912,"('unambitious', 'ambitious')",-0.8369696,-0.5974353,-0.5473506,-0.3415072,-0.2058434
1,-0.24680087,-0.72206134,"('unfriendly', 'friendly')",1.1198633,0.81606346,0.4365312,0.0470011,0.3895301
74,-0.2238426,-0.24877073,"('undedicated', 'dedicated')",-0.62509406,-0.4221418,-0.4244683,-0.3354563,-0.089012
78,-0.22211716,-0.1897026,"('nonresilient', 'resilient')",0.80737066,0.941114,0.2926267,0.3757057,-0.083079
29,-0.18606578,-0.20233192,"('unfair', 'fair')",-0.26350215,-0.7055891,-0.224784,-0.4539605,0.2291765
52,0.17698038,-0.01917205,"('irrational', 'rational')",-0.46139503,-0.8464214,-0.1422073,-0.4327967,0.2905894
40,0.17278892,0.20808373,"('stingy', 'generous')",-1.7356321,-2.0833263,-0.7814215,-0.9376213,0.1561998
16,0.16042301,0.4809094,"('unpopular', 'popular')",0.46409068,0.42410478,0.3122568,0.4525071,-0.1402503
83,-0.13385849,-0.38815728,"('powerless', 'powerful')",-0.7802263,-0.67856777,-0.4570424,-0.5333625,0.0763201
75,0.12935264,0.33721134,"('meek', 'impulsive')",-0.62993026,-1.0180084,-0.2502888,-0.3403985,0.0901097
6,0.11208427,-0.3506999,"('distant', 'open')",-0.7786485,-1.2377523,-0.3332821,-0.7942261,0.460944
87,0.082709335,0.08423953,"('unsuccessful', 'successful')",1.2092036,1.30349,0.6459565,0.6938648,-0.0479083
12,-0.05989,-0.14358367,"('unsupportive', 'supportive')",-1.746185,-1.9177763,-0.9030375,-1.0306801,0.1276426
39,0.028418463,-0.0751123,"('exploitative', 'cooperative')",-0.24707879,0.028249593,-0.1093302,-0.0234314,-0.0858988
50,0.0064459816,0.3203233,"('clumsy', 'skillful')",0.2030642,0.26317817,0.1047551,0.2917507,-0.1869956
15,0.00020091608,-0.18425593,"('boring', 'funny')",-0.15934674,-0.3531834,-0.0795729,-0.2687197,0.1891468
