,avery_male,avery_female,tuple,dennison_male,dennison_female,corp_male,corp_female,average_male,average_female,male-female
60,2.63435,2.6799366,"('inefficient', 'efficient')",-0.36438608,-0.10081141,0.05647804,0.33292174,0.7754807,0.9706823,-0.1952016
31,-2.5475056,-2.566003,"('evil', 'good')",-0.5336955,-0.6071348,-1.165901,-1.4104952,-1.4157006,-1.5278776,0.112177
55,2.1579993,2.1283638,"('incompetent', 'clever')",-0.29030114,-0.25094154,0.28431034,0.22112624,0.7173362,0.6995162,0.01782
39,2.1253781,2.011584,"('exploitative', 'cooperative')",0.67447215,0.67799723,0.55530655,0.6822631,1.1183856,1.1239482,-0.0055626
13,1.925161,2.2734022,"('impolite', 'polite')",0.09544087,0.5215471,-0.6737453,-0.4455968,0.4489522,0.7831175,-0.3341653
16,-1.8809503,-1.9088963,"('unpopular', 'popular')",-0.62956,-0.61942965,0.17442335,0.17742041,-0.7786957,-0.7836352,0.0049395
56,1.7827702,1.9380333,"('impractical', 'practical')",-0.0404165,0.22489914,-0.62159455,-0.33279735,0.3735864,0.610045,-0.2364586
52,-1.6521535,-1.9594235,"('irrational', 'rational')",-1.0097129,-1.1683295,0.2256744,-0.14099622,-0.812064,-1.0895831,0.2775191
75,-1.6419058,-1.3207562,"('meek', 'impulsive')",1.3908228,1.559538,-0.7377125,-0.6205625,-0.3295985,-0.1272602,-0.2023383
81,1.5363258,1.6411471,"('submissive', 'aggressive')",-0.034062825,0.013900193,-0.72792906,-0.61883473,0.2581113,0.3454042,-0.0872929
29,-1.5341051,-1.5888575,"('unfair', 'fair')",-0.29841754,-0.41158694,-0.4860525,-0.6444597,-0.7728584,-0.8816347,0.1087763
35,-1.5223981,-1.7044361,"('corrupt', 'incorrupt')",1.1594818,0.9956114,-0.65326726,-0.7105539,-0.3387279,-0.4731262,0.1343983
4,-1.5184218,-1.2665545,"('disliked', 'liked')",-0.2675916,-0.052274805,-6.4467416,-6.3418865,-2.7442516,-2.553572,-0.1906796
62,1.4905856,1.8634474,"('incompetent', 'brilliant')",-0.3039156,0.07200198,0.17384568,0.39772823,0.4535052,0.7777259,-0.3242207
79,-1.4681115,-1.4456109,"('wavering', 'unwavering')",-0.20120081,-0.20773704,-0.48455343,-0.50972265,-0.7179553,-0.7210236,0.0030683
40,-1.3272882,-1.2544187,"('stingy', 'generous')",-0.772518,-0.45264617,-1.7800266,-1.9833331,-1.2932776,-1.2301327,-0.0631449
46,1.3262417,1.5038841,"('uncompetitive', 'competitive')",-0.50826645,-0.1645642,-0.38504416,-0.34177804,0.1443104,0.3325139,-0.1882035
21,1.2630749,1.13446,"('immoral', 'moral')",-0.30856323,-0.20836627,-0.3571409,-0.347023,0.1991236,0.1930236,0.0061
6,-1.2009704,-1.1060199,"('distant', 'open')",-0.48644254,-0.30695257,-0.9153257,-0.9847331,-0.8675795,-0.7992352,-0.0683443
80,1.1769419,1.1950573,"('dominated', 'dominating')",0.07753425,0.036643237,-0.7950609,-0.6675601,0.1531384,0.1880468,-0.0349084
67,1.1322955,1.4664778,"('doubtful', 'determined')",1.3418832,1.4495943,-0.5542776,-0.32638836,0.639967,0.8632278,-0.2232608
85,-1.1286991,-1.322157,"('insignificant', 'prestigious')",0.008055007,-0.116580226,0.25569552,-0.065861136,-0.2883162,-0.5015328,0.2132166
36,-1.0540318,-1.3439577,"('hostile', 'amicable')",0.022778288,-0.10498813,-0.055570714,-0.34669426,-0.3622748,-0.5985467,0.2362719
87,1.0051919,1.3235916,"('unsuccessful', 'successful')",0.7819138,0.8223674,1.0831363,1.0720414,0.9567474,1.0726668,-0.1159194
0,0.99524975,1.1468753,"('unsociable', 'sociable')",-0.3784372,-0.18626149,-0.36787418,-0.36827198,0.0829795,0.1974473,-0.1144678
19,-0.9935916,-0.93104166,"('inhospitable', 'hospitable')",-0.42553863,-0.27028117,-0.80880857,-0.79040456,-0.7426462,-0.6639091,-0.0787371
84,0.94830483,0.9475512,"('inferior', 'superior')",0.41403854,0.37318748,1.5333833,1.5554188,0.9652422,0.9587192,0.006523
14,0.92312485,1.1796372,"('antisocial', 'social')",-0.24444422,0.055669475,-0.12706104,0.07477914,0.1838732,0.4366953,-0.2528221
41,-0.91178477,-0.83930826,"('unforgiving', 'forgiving')",-0.47748366,-0.3419897,-0.08911482,-0.23033202,-0.4927944,-0.4705433,-0.0222511
83,0.90893286,0.6806445,"('powerless', 'powerful')",-0.4414396,-0.5042149,-0.7650652,-0.86074775,-0.0991906,-0.228106,0.1289154
30,0.9080276,0.77752495,"('intolerant', 'tolerant')",-0.34098452,-0.13919388,0.79891074,0.8245384,0.4553179,0.4876231,-0.0323052
65,0.8962868,0.82800657,"('insecure', 'secure')",-0.5237839,-0.55888575,-0.19999036,0.03648939,0.0575042,0.1018701,-0.0443659
17,-0.89156526,-0.88545275,"('nasty', 'nice')",-0.35427925,-0.50252867,-0.76771104,-0.80503887,-0.6711852,-0.7310068,0.0598216
73,0.8693587,0.82509804,"('helpless', 'self-reliant')",1.0558546,1.3631587,-2.7241216,-2.714555,-0.2663027,-0.1754328,-0.0908699
5,-0.86353934,-0.63998103,"('distant', 'outgoing')",-0.039221495,0.17896795,-0.8700579,-0.82257384,-0.5909396,-0.4278623,-0.1630773
69,-0.82255816,-0.91751003,"('lazy', 'industrious')",1.8109522,1.6016123,-0.44930944,-0.37843907,0.1796949,0.1018877,0.0778072
74,0.8047684,0.85377145,"('undedicated', 'dedicated')",0.011374712,0.18858925,-0.29275596,-0.28585878,0.1744624,0.2521673,-0.0777049
43,0.8042788,0.89712334,"('irresponsible', 'responsible')",-0.7819847,-0.4948734,0.3508221,0.4808585,0.1243721,0.2943695,-0.1699974
68,0.7964154,0.6661075,"('dependent', 'independent')",0.9214925,0.8354145,-0.71785223,-0.7683348,0.3333519,0.2443958,0.0889561
18,-0.7794146,-0.83725834,"('disagreeable', 'welcoming')",-0.39347315,-0.25959265,-0.82288396,-0.95403457,-0.6652573,-0.6836286,0.0183713
82,-0.7433663,-0.5614152,"('poor', 'rich')",-0.47037092,-0.20382604,4.9411297,5.066116,1.2424641,1.4336249,-0.1911608
37,0.7307539,0.54508054,"('fake', 'genuine')",0.09731856,0.07781694,-0.13915217,-0.16331975,0.2296401,0.1531926,0.0764475
12,0.7093512,0.8310198,"('unsupportive', 'supportive')",-0.1510821,0.035660233,-1.6295309,-1.6649321,-0.3570873,-0.266084,-0.0910033
76,0.66252434,0.7350595,"('anxious', 'daring')",0.19048126,0.18392456,-0.21699248,-0.18832037,0.2120044,0.2435546,-0.0315502
28,-0.65473944,-0.79151905,"('disloyal', 'loyal')",-1.6590413,-1.5355295,0.77563286,0.6940807,-0.512716,-0.5443226,0.0316066
78,0.6504613,0.69630426,"('nonresilient', 'resilient')",-0.104657635,-0.13253109,0.73093206,0.61765397,0.4255786,0.393809,0.0317696
1,-0.6451246,-0.6848261,"('unfriendly', 'friendly')",-1.364028,-1.2857038,0.858415,0.5971123,-0.3835792,-0.4578058,0.0742266
63,0.64271355,0.8560545,"('unperceptive', 'insightful')",0.07917277,0.34231305,0.6666456,0.7006687,0.462844,0.6330121,-0.1701681
48,0.6344269,0.33944955,"('unintelligent', 'intelligent')",-0.4204307,-0.5496081,0.63520384,0.41688773,0.2830667,0.0689097,0.214157
8,-0.62009007,-0.82696134,"('unaffectionate', 'affectionate')",-0.59889954,-0.56352746,0.5094237,0.19013318,-0.236522,-0.4001185,0.1635965
3,-0.6178836,-0.7152935,"('repellent', 'pleasant')",-0.70395845,-0.656028,0.7470452,0.7161349,-0.191599,-0.2183955,0.0267965
2,0.58967316,0.7753907,"('unlikable', 'likable')",0.66883373,0.8019235,0.47305995,0.5798037,0.577189,0.7190393,-0.1418503
72,0.5611063,0.66711533,"('unambitious', 'ambitious')",-0.93830436,-0.83052456,-0.9518139,-0.93993,-0.443004,-0.3677797,-0.0752243
20,0.5488153,0.3851183,"('rough', 'thoughtful')",0.15398061,0.06374963,1.1506462,0.9832305,0.6178141,0.4773661,0.140448
50,-0.53704584,-0.66579926,"('clumsy', 'skillful')",0.36306074,0.2792083,-0.010312125,-0.13233337,-0.0614324,-0.1729748,0.1115424
71,0.49822995,0.3956886,"('diffident', 'self-confident')",0.6511434,0.5627607,0.39948243,0.36342213,0.5162853,0.4406238,0.0756615
38,-0.47433728,-0.26534396,"('untruthful', 'truthful')",-0.45869726,-0.21996512,-0.09459322,0.03618633,-0.3425426,-0.1497076,-0.192835
54,0.4710635,0.44662148,"('incapable', 'capable')",-0.042711344,0.013370767,0.73237646,0.6239598,0.3869095,0.3613173,0.0255922
51,0.45655602,0.58670783,"('uneducated', 'educated')",-0.40051466,-0.19898999,-0.0019289255,0.11496144,0.0180375,0.1675598,-0.1495223
32,-0.44126743,-0.54184484,"('unkind', 'kind')",-1.245435,-1.28669,0.456222,0.48672646,-0.4101601,-0.4472694,0.0371093
10,-0.44067067,-0.4276353,"('unsympathetic', 'sympathetic')",-1.4693319,-1.2833422,-0.2614988,-0.3448995,-0.7238337,-0.6852923,-0.0385414
59,-0.43393725,-0.48254332,"('foolish', 'wise')",0.2687924,0.088249035,-0.08700491,-0.1516748,-0.0840499,-0.1819897,0.0979398
53,-0.43009084,-0.5198453,"('uncreative', 'creative')",-0.7987751,-0.659608,0.56112915,0.40453142,-0.2225789,-0.2583073,0.0357284
66,-0.41289097,-0.43115878,"('inactive', 'active')",0.20884791,0.08560785,0.36168373,0.20645443,0.0525469,-0.0463655,0.0989124
49,-0.4055834,-0.505214,"('unable', 'able')",-0.2457621,-0.22890635,-0.15685152,-0.06727566,-0.269399,-0.267132,-0.002267
42,0.3532362,0.3363046,"('unreliable', 'reliable')",0.029357795,0.3727609,-3.1308658,-2.9872735,-0.9160906,-0.7594027,-0.1566879
86,0.3298742,0.38301492,"('uninfluential', 'influential')",-1.400445,-1.1818023,-0.5704451,-0.69542265,-0.5470053,-0.49807,-0.0489353
44,-0.30901015,-0.35605106,"('prejudiced', 'unprejudiced')",0.025800828,-0.028411182,-1.3539027,-1.1746099,-0.545704,-0.5196907,-0.0260133
58,-0.28974247,-0.28257948,"('undiscriminating', 'discriminating')",-0.5840348,-0.39846647,0.3534388,0.2246498,-0.1734462,-0.1521321,-0.0213141
57,-0.28342545,-0.13776122,"('unimaginative', 'imaginative')",-1.1516973,-0.89575946,-2.5755439,-2.729691,-1.3368889,-1.2544039,-0.082485
