,prologis_male,prologis_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.4612312,-2.1222394,"('unfriendly', 'friendly')",1.7591394,1.660668,-0.3510459,-0.2307857,-0.1202602
36,-2.0511994,-1.8859085,"('hostile', 'amicable')",-0.012431122,-0.1624001,-1.0318153,-1.0241543,-0.007661
53,-2.0151355,-1.726464,"('uncreative', 'creative')",0.77390695,0.8184964,-0.6206143,-0.4539838,-0.1666305
8,-1.9529116,-1.5305448,"('unaffectionate', 'affectionate')",0.546946,0.5063326,-0.7029828,-0.5121061,-0.1908767
9,-1.914465,-1.6154867,"('unaffectionate', 'caring')",1.1055593,1.1254246,-0.4044528,-0.2450311,-0.1594217
31,-1.8971817,-1.535177,"('evil', 'good')",-1.0713786,-1.1303792,-1.4842801,-1.3327781,-0.151502
6,-1.8939236,-1.6519537,"('distant', 'open')",0.34147084,0.24828029,-0.7762264,-0.7018367,-0.0743897
80,1.4944572,0.95503813,"('dominated', 'dominating')",-1.3643055,-1.4979308,0.0650759,-0.2714463,0.3365222
19,-1.4435812,-1.5515443,"('inhospitable', 'hospitable')",0.21101117,0.020011732,-0.616285,-0.7657663,0.1494813
86,-1.4362891,-1.2877531,"('uninfluential', 'influential')",-0.1525632,-0.18857804,-0.7944261,-0.7381656,-0.0562605
60,1.3439538,1.2049496,"('inefficient', 'efficient')",0.27012578,0.5717882,0.8070398,0.8883689,-0.0813291
54,-1.3393304,-1.2241172,"('incapable', 'capable')",1.1399813,1.3274167,-0.0996746,0.0516497,-0.1513243
5,-1.3368645,-1.1923792,"('distant', 'outgoing')",-0.048601873,-0.068469815,-0.6927332,-0.6304245,-0.0623087
28,-1.232578,-0.8393206,"('disloyal', 'loyal')",0.60788774,0.70803773,-0.3123451,-0.0656414,-0.2467037
44,1.1680633,0.8867599,"('prejudiced', 'unprejudiced')",-1.411177,-1.3767958,-0.1215569,-0.2450179,0.123461
85,-1.1620815,-0.87869936,"('insignificant', 'prestigious')",0.62567186,0.5850281,-0.2682048,-0.1468356,-0.1213692
