,adobe_male,adobe_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,2.160458,2.468302,"('uncreative', 'creative')",0.7914311,0.8137576,1.4759446,1.6410298,-0.1650852
1,2.042391,2.2414804,"('unfriendly', 'friendly')",1.5614882,1.3061075,1.8019396,1.7737939,0.0281457
64,-2.004322,-2.1298585,"('shy', 'confident')",-6.456294,-6.2937307,-4.2303081,-4.2117949,-0.0185132
26,1.9836844,1.8998648,"('hardhearted', 'benevolent')",1.4389111,1.2306135,1.7112978,1.5652392,0.1460586
80,-1.9447206,-2.037742,"('dominated', 'dominating')",-1.8128656,-1.6137472,-1.8787931,-1.8257446,-0.0530485
44,-1.7122865,-1.934537,"('prejudiced', 'unprejudiced')",-1.2032452,-1.3377378,-1.4577658,-1.6361375,0.1783717
23,1.5879012,1.3061492,"('insincere', 'sincere')",5.848476,5.8236504,3.7181885,3.5648999,0.1532886
85,1.5872774,1.921183,"('insignificant', 'prestigious')",0.8662892,0.7211059,1.2267833,1.3211445,-0.0943612
34,1.4471924,1.2990855,"('mean', 'honorable')",6.207887,6.2565346,3.8275399,3.7778101,0.0497298
75,-1.4410409,-0.96748406,"('meek', 'impulsive')",-0.41782635,-0.17563978,-0.9294336,-0.5715619,-0.3578717
4,-1.4348408,-1.1948364,"('disliked', 'liked')",-6.7179666,-6.5986576,-4.0764036,-3.8967471,-0.1796565
45,-1.4346713,-1.5131685,"('incompetent', 'competent')",-0.9125799,-0.8882383,-1.1736256,-1.2007034,0.0270778
54,1.399563,1.6165565,"('incapable', 'capable')",1.1236734,1.2098835,1.2616181,1.4132199,-0.1516018
39,1.3930552,1.1875607,"('exploitative', 'cooperative')",0.34959304,0.30264372,0.8713241,0.7451022,0.1262219
6,1.3415412,1.7612407,"('distant', 'open')",0.005445324,-0.15811269,0.6734933,0.801564,-0.1280707
61,1.2800231,1.1740181,"('illogical', 'logical')",0.62594026,0.5145188,0.9529817,0.8442684,0.1087133
15,1.2756828,1.2574476,"('boring', 'funny')",0.30226195,0.12134349,0.7889724,0.6893955,0.0995769
13,-1.2293152,-1.524463,"('impolite', 'polite')",-0.6636919,-0.6752677,-0.9465035,-1.0998654,0.1533619
81,-1.225138,-1.3680775,"('submissive', 'aggressive')",-1.3255975,-1.0441779,-1.2753677,-1.2061276,-0.0692401
5,1.2102063,1.5628537,"('distant', 'outgoing')",-0.31721956,-0.4983669,0.4464934,0.5322434,-0.08575
9,1.1698914,1.4427218,"('unaffectionate', 'caring')",0.42346245,0.5374501,0.7966769,0.990086,-0.1934091
51,-1.1352983,-1.2897468,"('uneducated', 'educated')",0.5467045,0.7332704,-0.2942969,-0.2782382,-0.0160587
84,1.0949435,0.94644123,"('inferior', 'superior')",1.3879952,1.215074,1.2414694,1.0807576,0.1607118
71,1.0888273,1.1500183,"('diffident', 'self-confident')",0.49667773,0.5374013,0.7927525,0.8437098,-0.0509573
65,-1.0178933,-1.5779693,"('insecure', 'secure')",-0.47856236,-0.58634424,-0.7482278,-1.0821568,0.333929
2,0.9611255,1.0085653,"('unlikable', 'likable')",0.43411797,0.5415381,0.6976217,0.7750517,-0.07743
48,0.95953345,0.80301505,"('unintelligent', 'intelligent')",0.64296556,0.6149845,0.8012495,0.7089998,0.0922497
33,0.93760306,1.0183774,"('wrong', 'right')",-0.6802778,-0.7391007,0.1286626,0.1396384,-0.0109758
58,0.9328053,0.93889123,"('undiscriminating', 'discriminating')",0.40455735,0.33193272,0.6686813,0.635412,0.0332693
68,-0.89927477,-1.0402591,"('dependent', 'independent')",-0.053068623,-0.14024627,-0.4761717,-0.5902527,0.114081
14,-0.8810042,-1.263841,"('antisocial', 'social')",-0.7698275,-0.73565227,-0.8254158,-0.9997467,0.1743309
27,0.86831504,0.9521606,"('hardhearted', 'softhearted')",1.2705289,1.0462512,1.069422,0.9992059,0.0702161
30,0.8105449,0.42497256,"('intolerant', 'tolerant')",0.8993111,0.8673482,0.854928,0.6461604,0.2087676
16,-0.8033008,-0.70442545,"('unpopular', 'popular')",0.79325736,0.74048394,-0.0050217,0.0180292,-0.0230509
12,0.75482166,0.9560008,"('unsupportive', 'supportive')",-2.0528066,-1.8306961,-0.6489925,-0.4373477,-0.2116448
78,0.7534838,0.7717368,"('nonresilient', 'resilient')",0.4446657,0.71937734,0.5990747,0.7455571,-0.1464824
20,0.7321352,0.58389467,"('rough', 'thoughtful')",1.227964,1.2388538,0.9800496,0.9113742,0.0686754
83,0.6871699,0.6281451,"('powerless', 'powerful')",-0.9462689,-0.8327207,-0.1295495,-0.1022878,-0.0272617
82,-0.6820717,-0.6884005,"('poor', 'rich')",5.5707817,5.555731,2.444355,2.4336653,0.0106897
3,-0.6640674,-0.87700003,"('repellent', 'pleasant')",0.3678182,0.38264766,-0.1481246,-0.2471762,0.0990516
29,-0.66194564,-0.78345084,"('unfair', 'fair')",-0.28567034,-0.4916585,-0.473808,-0.6375546,0.1637466
63,0.65091413,0.65133005,"('unperceptive', 'insightful')",0.8186508,1.0511324,0.7347825,0.8512312,-0.1164487
42,-0.6119389,-0.7609033,"('unreliable', 'reliable')",-3.480354,-3.3790557,-2.0461464,-2.0699794,0.023833
86,0.60484546,0.57418966,"('uninfluential', 'influential')",-0.36660773,-0.34761962,0.1191189,0.113285,0.0058339
8,0.6016906,0.95300335,"('unaffectionate', 'affectionate')",0.09180836,0.2207087,0.3467495,0.586856,-0.2401065
