,nucor_male,nucor_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-2.2149336,-2.1992946,"('uncreative', 'creative')",0.33056676,0.0045826174,-0.9421834,-1.097356,0.1551726
1,-2.1576047,-2.3106165,"('unfriendly', 'friendly')",0.8170872,0.4824029,-0.6702588,-0.9141068,0.243848
86,-2.0656455,-2.1514313,"('uninfluential', 'influential')",-0.5505408,-0.60180855,-1.3080931,-1.3766199,0.0685268
6,-2.0628493,-2.065341,"('distant', 'open')",-0.9678001,-1.2077577,-1.5153247,-1.6365494,0.1212247
9,-1.9632921,-2.0190768,"('unaffectionate', 'caring')",0.59702,0.3946228,-0.6831361,-0.812227,0.1290909
19,-1.9263009,-1.864349,"('inhospitable', 'hospitable')",-0.47347072,-0.63671744,-1.1998858,-1.2505332,0.0506474
8,-1.8945788,-1.943166,"('unaffectionate', 'affectionate')",-0.1547821,-0.31976107,-1.0246805,-1.1314635,0.106783
5,-1.6150101,-1.6546026,"('distant', 'outgoing')",-0.5969247,-0.66220576,-1.1059674,-1.1584042,0.0524368
31,-1.5603216,-1.4692619,"('evil', 'good')",-1.1334419,-1.1611791,-1.3468817,-1.3152205,-0.0316612
36,-1.5406051,-1.4403603,"('hostile', 'amicable')",-0.7362916,-0.8245292,-1.1384484,-1.1324447,-0.0060037
57,-1.4596993,-1.4960536,"('unimaginative', 'imaginative')",-3.1412954,-2.938195,-2.3004973,-2.2171242,-0.0833731
38,-1.4362496,-1.4041029,"('untruthful', 'truthful')",0.21766752,0.105271555,-0.6092911,-0.6494157,0.0401246
63,-1.4347874,-1.3836318,"('unperceptive', 'insightful')",0.88691634,0.65711296,-0.2739355,-0.3632594,0.0893239
44,1.3941505,1.5007411,"('prejudiced', 'unprejudiced')",-1.4519688,-1.4264393,-0.0289091,0.0371509,-0.06606
51,-1.3761597,-1.4583113,"('uneducated', 'educated')",0.6437894,0.47762546,-0.3661851,-0.4903429,0.1241578
54,-1.3463327,-1.3659853,"('incapable', 'capable')",0.5953991,0.41222262,-0.3754668,-0.4768813,0.1014145
79,-1.2954305,-1.3608645,"('wavering', 'unwavering')",-0.4147315,-0.88129276,-0.855081,-1.1210786,0.2659976
41,-1.2710989,-0.70739233,"('unforgiving', 'forgiving')",-0.34406105,0.032711677,-0.8075799,-0.3373403,-0.4702396
0,-1.1857759,-1.1839019,"('unsociable', 'sociable')",-0.31025892,-0.16437116,-0.7480174,-0.6741365,-0.0738809
32,-1.1358681,-0.85346466,"('unkind', 'kind')",0.29461378,0.35860842,-0.4206271,-0.2474281,-0.173199
72,-1.1345809,-0.8854477,"('unambitious', 'ambitious')",-0.7068278,-0.64991254,-0.9207044,-0.7676801,-0.1530243
12,-1.1012895,-0.9915899,"('unsupportive', 'supportive')",-2.0002415,-1.798281,-1.5507655,-1.3949354,-0.1558301
71,-1.045532,-1.1486126,"('diffident', 'self-confident')",0.22549312,0.28742304,-0.4100194,-0.4305948,0.0205754
66,-1.0269864,-1.2857697,"('inactive', 'active')",0.46848798,-0.06656612,-0.2792492,-0.6761679,0.3969187
35,-0.99230504,-0.84801334,"('corrupt', 'incorrupt')",-0.63560313,-0.73720443,-0.8139541,-0.7926089,-0.0213452
10,-0.97424763,-0.96589524,"('unsympathetic', 'sympathetic')",-0.6170473,-0.8196877,-0.7956475,-0.8927915,0.097144
80,0.9733175,0.81635094,"('dominated', 'dominating')",-0.50514084,-0.5338719,0.2340883,0.1412395,0.0928488
85,-0.9624537,-1.1094271,"('insignificant', 'prestigious')",-0.548708,-0.62182546,-0.7555809,-0.8656263,0.1100454
18,-0.94289047,-0.6125337,"('disagreeable', 'welcoming')",-0.7327653,-0.48056582,-0.8378279,-0.5465497,-0.2912782
74,-0.9130666,-0.94532174,"('undedicated', 'dedicated')",-0.73228544,-0.7028496,-0.8226761,-0.8240857,0.0014096
81,0.90048265,0.8692699,"('submissive', 'aggressive')",-0.22268076,0.007553652,0.338901,0.4384118,-0.0995108
43,-0.86083823,-0.7501856,"('irresponsible', 'responsible')",0.022560345,0.17142397,-0.4191389,-0.2893808,-0.1297581
26,-0.85620457,-0.8053098,"('hardhearted', 'benevolent')",0.77237153,0.929731,-0.0419165,0.0622106,-0.1041271
22,-0.81017506,-0.59038055,"('untrustworthy', 'trustworthy')",-1.1849765,-0.986465,-0.9975758,-0.7884228,-0.209153
84,0.7843284,0.6662475,"('inferior', 'superior')",1.263785,1.2897526,1.0240567,0.978,0.0460567
23,-0.77055985,-0.6918299,"('insincere', 'sincere')",5.4638557,5.0136375,2.346648,2.1609039,0.1857441
76,0.7683782,0.8696927,"('anxious', 'daring')",0.08005721,-0.068515845,0.4242177,0.4005884,0.0236293
25,-0.76209885,-0.8848568,"('egoistic', 'altruistic')",0.53914434,0.43655413,-0.1114773,-0.2241513,0.112674
59,-0.75119,-0.51853234,"('foolish', 'wise')",-0.007998727,0.025396189,-0.3795944,-0.2465681,-0.1330263
60,0.7313479,0.832793,"('inefficient', 'efficient')",0.28878912,0.7168464,0.5100685,0.7748197,-0.2647512
14,0.71235454,0.88649225,"('antisocial', 'social')",-0.12572384,0.4749478,0.2933154,0.68072,-0.3874046
78,-0.6795189,-0.8710426,"('nonresilient', 'resilient')",0.56339127,0.19102508,-0.0580638,-0.3400088,0.281945
30,0.66235644,0.74662894,"('intolerant', 'tolerant')",0.98272055,1.368256,0.8225385,1.0574424,-0.2349039
82,-0.66140527,-0.7045502,"('poor', 'rich')",5.8974404,5.145927,2.6180177,2.2206883,0.3973294
45,-0.6590504,-0.48182094,"('incompetent', 'competent')",0.06476237,-0.0028719883,-0.297144,-0.2423465,-0.0547975
39,0.65480417,0.7369563,"('exploitative', 'cooperative')",-0.033499785,0.42120188,0.3106522,0.5790791,-0.2684269
28,-0.6412348,-0.86271334,"('disloyal', 'loyal')",0.9035009,0.7315188,0.131133,-0.0655973,0.1967303
52,-0.6389815,-0.81949586,"('irrational', 'rational')",-0.20873773,-0.52437764,-0.4238596,-0.6719368,0.2480772
13,-0.63173705,-0.5033953,"('impolite', 'polite')",-0.43100247,-0.19269444,-0.5313697,-0.3480449,-0.1833248
62,0.61199546,0.813988,"('incompetent', 'brilliant')",0.902767,1.0080261,0.7573812,0.911007,-0.1536258
61,-0.5975523,-0.57772994,"('illogical', 'logical')",0.29476956,0.3566989,-0.1513914,-0.1105155,-0.0408759
24,-0.59082997,-0.473401,"('dishonest', 'honest')",0.4557998,0.42073083,-0.0675151,-0.0263351,-0.04118
4,-0.5802547,-0.5033261,"('disliked', 'liked')",-6.1296663,-5.6217246,-3.3549604,-3.0625253,-0.2924351
88,-0.56661594,-0.5729215,"('low', 'eminent')",-0.58801764,-0.41400334,-0.5773168,-0.4934624,-0.0838544
50,-0.54466283,-0.3021258,"('clumsy', 'skillful')",-0.019229889,-0.46601593,-0.2819464,-0.3840709,0.1021245
27,-0.5431952,-0.3183028,"('hardhearted', 'softhearted')",0.55192286,0.35111207,0.0043638,0.0164046,-0.0120408
17,-0.542452,-0.48157784,"('nasty', 'nice')",-0.69301957,-0.43073487,-0.6177357,-0.4561564,-0.1615793
11,-0.51989007,-0.5149701,"('unhelpful', 'helpful')",2.016045,1.8621068,0.7480775,0.6735684,0.0745091
48,0.51836073,0.44522834,"('unintelligent', 'intelligent')",0.9391576,1.0602158,0.7287592,0.7527221,-0.0239629
65,0.48116934,0.70514655,"('insecure', 'secure')",-0.24986729,0.002909191,0.115651,0.3540279,-0.2383769
16,-0.39204147,-0.3923047,"('unpopular', 'popular')",0.45831656,0.24134967,0.0331375,-0.0754775,0.108615
75,-0.35076064,-0.40900454,"('meek', 'impulsive')",-0.54214257,-0.68882906,-0.4464516,-0.5489168,0.1024652
73,0.34333706,0.24890743,"('helpless', 'self-reliant')",-3.101433,-3.0453918,-1.379048,-1.3982422,0.0191942
64,-0.2988299,0.006180674,"('shy', 'confident')",-5.685319,-5.003017,-2.9920745,-2.4984181,-0.4936564
20,0.28690138,0.12904204,"('rough', 'thoughtful')",0.75096947,0.8070219,0.5189354,0.468032,0.0509034
58,-0.2864507,-0.316272,"('undiscriminating', 'discriminating')",0.43939027,0.3028193,0.0764698,-0.0067263,0.0831961
7,-0.25584096,-0.077444464,"('insensitive', 'sensitive')",0.14683865,0.4493084,-0.0545012,0.185932,-0.2404332
49,0.23789853,0.27952725,"('unable', 'able')",-0.069094166,0.07489423,0.0844022,0.1772107,-0.0928085
47,-0.2174811,-0.20283072,"('stupid', 'smart')",5.2190957,4.7636194,2.5008073,2.2803943,0.220413
55,0.21632218,0.27564162,"('incompetent', 'clever')",0.21690813,0.36490873,0.2166152,0.3202752,-0.10366
21,0.14069071,0.034246814,"('immoral', 'moral')",-0.38414207,-0.31524998,-0.1217257,-0.1405016,0.0187759
40,-0.13608746,-0.22671518,"('stingy', 'generous')",-1.9224911,-2.0298882,-1.0292892,-1.1283016,0.0990124
