,procter_male,procter_female,tuple,&_male,&_female,gamble_male,gamble_female,co_male,co_female,average_male,average_female,male-female
10,-3.4810548,-3.641838,"('unsympathetic', 'sympathetic')",-2.924524,-3.1042972,-3.1081817,-2.9636629,-0.20486444,-0.18621147,-2.4296563,-2.4740024,0.0443461
85,3.0351257,3.024822,"('insignificant', 'prestigious')",2.9247417,2.9277933,3.2010338,3.0214455,0.49496707,0.42927998,2.4139671,2.3508353,0.0631318
57,-2.7464674,-2.7425354,"('unimaginative', 'imaginative')",-1.6151224,-1.8286378,-1.6630584,-1.5518359,-3.0986502,-3.0613575,-2.2808247,-2.2960916,0.0152669
60,-2.6549487,-2.6342456,"('inefficient', 'efficient')",-2.925483,-3.094755,-1.823657,-1.5908843,-0.85887414,-0.8090997,-2.0657408,-2.0322461,-0.0334947
81,-2.6184351,-2.668109,"('submissive', 'aggressive')",-1.6924729,-1.8576415,-2.2248867,-2.0687099,-1.2650428,-1.2758901,-1.9502095,-1.9675875,0.017378
48,-2.6011162,-2.6284945,"('unintelligent', 'intelligent')",-1.9504225,-2.1437962,-1.3534828,-1.2647094,-0.36111233,-0.23587796,-1.5665333,-1.5682195,0.0016862
30,-2.495815,-2.21223,"('intolerant', 'tolerant')",-2.9877083,-2.8586352,-1.5386578,-1.2245677,-0.19787496,0.08285585,-1.805014,-1.5531443,-0.2518697
14,-2.4169245,-2.2338834,"('antisocial', 'social')",-1.1163908,-1.1880693,-0.83428895,-0.6599502,-0.49154645,-0.30955303,-1.2147877,-1.097864,-0.1169237
69,2.4152985,2.5190938,"('lazy', 'industrious')",2.7299879,2.8152797,1.6168214,1.3607477,-0.34554797,-0.2679693,1.6041399,1.606788,-0.0026481
55,-2.329677,-2.2927458,"('incompetent', 'clever')",-1.6831281,-1.7908587,-1.1074021,-1.015013,0.07027973,0.122057624,-1.2624818,-1.24414,-0.0183418
6,2.3240097,2.5877256,"('distant', 'open')",1.7525034,1.8830202,2.7993379,2.502748,0.72226346,0.5912113,1.8995286,1.8911763,0.0083523
13,-2.305823,-2.0406754,"('impolite', 'polite')",-2.9093688,-2.9251525,-1.5103096,-1.4517349,-0.022395529,0.028520145,-1.6869743,-1.5972607,-0.0897136
70,-2.2163393,-2.3031633,"('lethargic', 'energetic')",-1.5577168,-1.7740864,-2.0314262,-2.0463939,0.13956133,0.15584463,-1.4164803,-1.4919497,0.0754694
65,-2.2142847,-2.1722622,"('insecure', 'secure')",-1.5102526,-1.6998435,-1.9497403,-1.7877547,-0.49678165,-0.32199043,-1.5427649,-1.4954627,-0.0473022
5,2.2138932,2.443422,"('distant', 'outgoing')",1.5873175,1.663593,2.7499385,2.5651793,0.36016765,0.20645788,1.7278292,1.7196631,0.0081661
0,-2.1166682,-2.030372,"('unsociable', 'sociable')",-1.3773667,-1.5193889,-0.6223283,-0.56185555,-0.29342058,-0.2310178,-1.102446,-1.0856584,-0.0167876
21,-2.059051,-2.129903,"('immoral', 'moral')",-1.599523,-1.8092589,-2.1443195,-1.9592329,-1.2202877,-1.1014982,-1.7557954,-1.7499733,-0.0058221
79,2.033608,1.9260055,"('wavering', 'unwavering')",1.982993,2.0331316,1.198726,1.0013149,-0.0052331574,-0.22601447,1.3025235,1.1836094,0.1189141
7,-1.95548,-2.0909464,"('insensitive', 'sensitive')",-2.0357645,-2.1394467,-1.8986005,-1.7559469,0.3914515,0.37540027,-1.3745984,-1.4027351,0.0281367
43,-1.9250952,-1.8948194,"('irresponsible', 'responsible')",-3.5599265,-3.5689783,-1.4197077,-1.3042231,0.29827482,0.28449214,-1.6516136,-1.6208822,-0.0307314
11,-1.9001061,-2.0515525,"('unhelpful', 'helpful')",-2.5380616,-2.7240624,-1.2291067,-1.2223356,1.7692724,1.741721,-0.9745005,-1.0640574,0.0895569
62,-1.8955218,-1.9399649,"('incompetent', 'brilliant')",-2.7334814,-2.8069007,-0.8664476,-0.7228664,-0.6284304,-0.5630583,-1.5309702,-1.5081977,-0.0227725
76,-1.8252254,-1.873529,"('anxious', 'daring')",-0.18725297,-0.18383971,-1.9935702,-1.9677582,-0.41927767,-0.39224073,-1.1063316,-1.1043419,-0.0019897
86,-1.8126521,-1.8783455,"('uninfluential', 'influential')",-1.1586956,-1.3148031,-0.16659327,-0.11906791,-0.02476281,-0.116606064,-0.790676,-0.8572056,0.0665296
