,marshall_male,marshall_female,tuple,&_male,&_female,ilsley_male,ilsley_female,corp_male,corp_female,average_male,average_female,male-female
39,1.7164674,1.6456593,"('exploitative', 'cooperative')",0.35605538,0.47390035,0.48466277,0.4538403,0.2513109,0.3793938,0.7021241,0.7381985,-0.0360744
69,1.6835196,1.3412983,"('lazy', 'industrious')",0.9008275,0.79038566,1.2747823,0.8853687,-0.25262094,-0.5459004,0.9016271,0.6177881,0.283839
82,-1.5125561,-1.2407311,"('poor', 'rich')",-0.3888429,-0.10577054,-0.37807173,-0.19388583,4.5401974,5.1686444,0.5651817,0.9070642,-0.3418825
46,-1.1710145,-0.7915935,"('uncompetitive', 'competitive')",0.9073742,1.1531905,-1.2186215,-0.6800961,-0.54233354,-0.58331984,-0.5061489,-0.2254547,-0.2806942
67,1.1466585,1.2661659,"('doubtful', 'determined')",0.04225196,0.043045767,0.7245961,0.5121062,-0.31035098,-0.32270694,0.4007889,0.3746527,0.0261362
57,-1.096409,-1.1583776,"('unimaginative', 'imaginative')",-1.0260929,-0.8094412,-0.9728502,-0.41200882,-2.5090418,-2.7060287,-1.4010985,-1.2714641,-0.1296344
11,-1.0857722,-0.8561151,"('unhelpful', 'helpful')",-1.0786632,-0.83482987,-1.5057122,-1.0378486,1.5532887,1.7889097,-0.5292147,-0.234971,-0.2942437
35,1.067629,0.8332834,"('corrupt', 'incorrupt')",-0.5142563,-0.8034129,0.8343762,0.47222385,-0.72515756,-0.7605119,0.1656478,-0.0646044,0.2302522
74,1.0457431,1.1153003,"('undedicated', 'dedicated')",0.0053854585,0.22637483,-0.5883894,-0.35907075,-0.16939187,-0.2385246,0.0733368,0.1860199,-0.1126831
4,-1.0325936,-1.3079685,"('disliked', 'liked')",-0.12281826,0.052608147,0.38865143,0.5823531,-5.7555237,-6.246065,-1.630571,-1.729768,0.099197
73,1.0183246,0.96452105,"('helpless', 'self-reliant')",0.27004403,0.3813742,1.0987356,1.3127874,-2.5637274,-2.6785429,-0.0441558,-0.004965,-0.0391908
