,apple_male,apple_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,1.9029167,1.65854,"('inefficient', 'efficient')",0.9799323,0.7197256,1.4414245,1.1891328,0.2522917
61,1.6712309,1.5646129,"('illogical', 'logical')",0.23369443,0.24699731,0.9524627,0.9058051,0.0466576
9,1.6358328,1.7140174,"('unaffectionate', 'caring')",0.56840396,0.7005178,1.1021184,1.2072675,-0.1051491
6,1.5862918,1.7744226,"('distant', 'open')",-0.22785556,0.02587016,0.6792181,0.9001464,-0.2209283
71,1.5807569,1.4784234,"('diffident', 'self-confident')",0.32767195,0.531444,0.9542145,1.0049337,-0.0507192
48,1.563542,1.281329,"('unintelligent', 'intelligent')",1.0248499,0.7470662,1.2941959,1.0141976,0.2799983
62,1.4728173,1.2770246,"('incompetent', 'brilliant')",0.99169093,0.48988706,1.2322541,0.8834559,0.3487982
50,-1.4522407,-1.5330095,"('clumsy', 'skillful')",0.3340909,0.2876165,-0.5590749,-0.6226965,0.0636216
1,1.2469134,1.3866453,"('unfriendly', 'friendly')",0.8922225,1.0841292,1.0695679,1.2353873,-0.1658194
5,1.2466335,1.4523143,"('distant', 'outgoing')",-0.533933,-0.22941491,0.3563503,0.6114497,-0.2550994
42,-1.1472197,-1.0019267,"('unreliable', 'reliable')",-3.507328,-3.7384353,-2.3272738,-2.3701811,0.0429073
25,1.1332248,1.2027484,"('egoistic', 'altruistic')",1.2075429,1.376474,1.1703839,1.2896112,-0.1192273
64,-1.1007603,-1.0210019,"('shy', 'confident')",-6.1839676,-6.0922837,-3.642364,-3.5566428,-0.0857212
27,1.0795184,1.0561992,"('hardhearted', 'softhearted')",0.89609087,0.80757123,0.9878047,0.9318852,0.0559195
53,1.0241925,0.8989174,"('uncreative', 'creative')",0.4075216,0.48195058,0.715857,0.690434,0.025423
67,-1.0224025,-0.8109205,"('doubtful', 'determined')",-0.7823741,-0.64323986,-0.9023883,-0.7270802,-0.1753081
44,-1.0036105,-0.9928916,"('prejudiced', 'unprejudiced')",-1.5320132,-1.4325303,-1.2678118,-1.212711,-0.0551008
30,0.97936046,1.0039595,"('intolerant', 'tolerant')",0.85869193,0.8106033,0.9190262,0.9072814,0.0117448
66,-0.9702803,-0.97013986,"('inactive', 'active')",0.6366931,0.7433857,-0.1667936,-0.1133771,-0.0534165
65,-0.94490343,-0.8614694,"('insecure', 'secure')",-0.4477213,-0.7045423,-0.6963124,-0.7830058,0.0866934
79,-0.91844916,-0.9454945,"('wavering', 'unwavering')",0.2568934,0.43239525,-0.3307779,-0.2565496,-0.0742283
86,0.9083308,0.76670116,"('uninfluential', 'influential')",0.27322066,0.016647499,0.5907757,0.3916743,0.1991014
37,-0.8996622,-0.8520153,"('fake', 'genuine')",0.26953405,0.13260078,-0.3150641,-0.3597073,0.0446432
57,-0.8624385,-0.97145414,"('unimaginative', 'imaginative')",-2.99672,-3.1184108,-1.9295793,-2.0449324,0.1153531
49,0.83054644,0.7082646,"('unable', 'able')",-0.10580742,-0.30582365,0.3623695,0.2012205,0.161149
14,-0.82864565,-0.8568037,"('antisocial', 'social')",-0.8498795,-0.95015234,-0.8392626,-0.903478,0.0642154
78,0.8125486,0.4737394,"('nonresilient', 'resilient')",1.1943455,0.85419315,1.0034471,0.6639663,0.3394808
21,0.7839619,0.7128477,"('immoral', 'moral')",-0.24918175,-0.6083196,0.2673901,0.0522641,0.215126
34,0.7763629,0.6991228,"('mean', 'honorable')",6.4823923,6.3486786,3.6293776,3.5239007,0.1054769
45,-0.77560365,-0.7579115,"('incompetent', 'competent')",-0.25913507,-0.7094648,-0.5173694,-0.7336881,0.2163187
24,0.73899674,0.8539126,"('dishonest', 'honest')",0.6949335,0.61186147,0.7169651,0.732887,-0.0159219
29,-0.7083493,-0.53896475,"('unfair', 'fair')",-0.62253964,-0.5478267,-0.6654445,-0.5433958,-0.1220487
11,0.7067593,0.41370785,"('unhelpful', 'helpful')",2.468874,2.2882645,1.5878166,1.3509862,0.2368304
20,0.6767281,0.55525905,"('rough', 'thoughtful')",1.189074,1.2171816,0.9329011,0.8862203,0.0466808
74,0.6754856,0.50042963,"('undedicated', 'dedicated')",-0.0007593222,-0.21187387,0.3373632,0.1442779,0.1930853
63,0.6672014,0.46294802,"('unperceptive', 'insightful')",1.6089506,1.321288,1.1380761,0.892118,0.2459581
12,0.65366346,0.44688016,"('unsupportive', 'supportive')",-1.6004937,-1.715098,-0.4734151,-0.6341089,0.1606938
