,discover_male,discover_female,tuple,financial_male,financial_female,services_male,services_female,average_male,average_female,male-female
55,3.2994933,5.5131693,"('incompetent', 'clever')",-1.1342789,-1.0816035,1.0380727,0.7002446,1.0677624,1.7106034,-0.642841
31,-3.2691038,-5.09368,"('evil', 'good')",-0.55942005,-0.6804328,-2.9535217,-2.7783482,-2.2606818,-2.8508202,0.5901384
85,-2.8492048,-4.9947314,"('insignificant', 'prestigious')",2.377655,1.9669719,-0.17875065,-0.40730983,-0.2167668,-1.1450231,0.9282563
35,-2.690031,-4.448209,"('corrupt', 'incorrupt')",0.021618616,-0.19326569,-1.4394273,-1.4125053,-1.3692799,-2.0179933,0.6487134
52,-2.5186884,-3.8982015,"('irrational', 'rational')",0.5889709,0.44760704,-0.55359226,-0.6350722,-0.8277699,-1.3618889,0.534119
46,2.5047393,4.2377343,"('uncompetitive', 'competitive')",0.121334784,0.057829637,2.1913197,1.5872482,1.6057979,1.9609375,-0.3551396
56,2.3174553,3.6543233,"('impractical', 'practical')",0.4208457,0.75952095,0.78134215,0.70274854,1.1732144,1.7055308,-0.5323164
62,2.3148289,4.0567875,"('incompetent', 'brilliant')",-0.12976505,0.07333407,1.1178739,1.2129005,1.1009792,1.7810074,-0.6800282
60,2.260684,4.4784155,"('inefficient', 'efficient')",-0.71074575,-0.43133098,2.0832703,2.1480823,1.2110695,2.0650555,-0.853986
81,2.095784,4.045095,"('submissive', 'aggressive')",0.7105858,0.8904172,1.6304134,1.458959,1.4789278,2.1314904,-0.6525626
80,2.0835702,3.3630881,"('dominated', 'dominating')",-0.16129796,-0.15055993,2.0156667,1.4580972,1.3126464,1.5568752,-0.2442288
59,-2.0814915,-3.321044,"('foolish', 'wise')",0.87853855,0.9436636,-0.8036296,-0.66378194,-0.6688608,-1.0137208,0.34486
4,-2.0560577,-3.018504,"('disliked', 'liked')",0.21893409,0.2021294,-2.2319827,-3.184705,-1.3563687,-2.0003599,0.6439912
17,-2.046109,-2.1551528,"('nasty', 'nice')",-0.18371773,-0.059543647,-0.32635447,-0.2918365,-0.8520604,-0.835511,-0.0165494
11,2.036502,2.78658,"('unhelpful', 'helpful')",-0.49890792,-0.1624512,2.5653408,2.8757436,1.3676449,1.8332907,-0.4656458
70,1.955037,3.2959547,"('lethargic', 'energetic')",-0.79755485,-0.6216444,1.7877592,1.5328429,0.9817472,1.4023844,-0.4206372
10,1.9402239,3.6986284,"('unsympathetic', 'sympathetic')",-1.856532,-1.4303614,0.3511812,0.40365285,0.1449577,0.89064,-0.7456823
7,1.9372412,2.8925037,"('insensitive', 'sensitive')",0.053693924,0.3361218,0.41822892,0.4688387,0.8030547,1.2324881,-0.4294334
21,1.8259227,3.1133475,"('immoral', 'moral')",0.29828107,0.51853025,0.7865244,0.6865394,0.9702427,1.4394725,-0.4692298
16,-1.8129697,-2.6856396,"('unpopular', 'popular')",-0.26539415,-0.5667617,0.28174913,0.17764428,-0.5988716,-1.024919,0.4260474
14,1.6136658,2.9732082,"('antisocial', 'social')",1.26519,1.4256102,0.8128967,0.66226757,1.2305841,1.6870287,-0.4564446
36,-1.5752847,-3.7607079,"('hostile', 'amicable')",0.55745256,0.26526347,-1.4234087,-1.3137468,-0.8137469,-1.6030637,0.7893168
43,1.5723473,2.8915517,"('irresponsible', 'responsible')",-0.070493765,0.26106533,0.5603827,0.80373484,0.6874121,1.3187839,-0.6313718
48,1.5529784,2.6236942,"('unintelligent', 'intelligent')",-1.3012025,-1.1673497,-0.48536336,-0.47558463,-0.0778625,0.32692,-0.4047825
76,1.5443208,3.1718764,"('anxious', 'daring')",-0.42276877,-0.24608368,1.4341868,1.2560337,0.851913,1.3939422,-0.5420292
69,-1.5189966,-3.0529323,"('lazy', 'industrious')",1.8391931,1.5203315,0.32635716,0.13041192,0.2155179,-0.4673963,0.6829142
19,-1.437575,-2.0796354,"('inhospitable', 'hospitable')",-0.25493678,-0.15134044,-0.26343185,-0.32860774,-0.6519812,-0.8531946,0.2012134
86,1.432439,2.6549296,"('uninfluential', 'influential')",-0.8991302,-0.9267881,0.53020287,0.01881916,0.3545039,0.5823203,-0.2278164
63,1.4064628,2.2021787,"('unperceptive', 'insightful')",0.8965729,0.80326706,2.2563612,2.0483525,1.5197989,1.6845994,-0.1648005
12,1.403284,1.9791348,"('unsupportive', 'supportive')",0.8360635,1.0109758,0.46110517,0.16850035,0.9001509,1.0528704,-0.1527195
5,-1.3807218,-2.6694453,"('distant', 'outgoing')",1.106664,1.1988,-0.8340918,-0.6086939,-0.3693832,-0.6931131,0.3237299
30,1.3187788,2.2169821,"('intolerant', 'tolerant')",0.12502432,0.30784398,0.7330359,0.9135795,0.725613,1.1461352,-0.4205222
29,-1.2925524,-1.5803542,"('unfair', 'fair')",-0.18315707,-0.088557966,-1.1510328,-1.1357671,-0.8755808,-0.9348931,0.0593123
