,big_male,big_female,tuple,lots_male,lots_female,inc_male,inc_female,average_male,average_female,male-female
69,-3.0907435,-3.104007,"('lazy', 'industrious')",-2.2480173,-2.1037235,-0.7841371,-0.9940708,-2.040966,-2.0672671,0.0263011
36,-2.8644745,-2.943365,"('hostile', 'amicable')",-4.114192,-4.0029106,-0.39062238,-0.65644217,-2.4564295,-2.5342393,0.0778098
31,-2.3190277,-2.2748637,"('evil', 'good')",-2.9551141,-2.8263867,-0.58959734,-0.7324934,-1.9545797,-1.9445813,-0.0099984
81,2.1750653,2.224184,"('submissive', 'aggressive')",3.328261,3.1550808,-0.5557631,-0.2034921,1.6491877,1.7252576,-0.0760699
62,2.0951617,2.15859,"('incompetent', 'brilliant')",4.1454716,3.9393034,0.5431759,0.7189065,2.2612696,2.2722667,-0.0109971
80,2.0521584,1.9845552,"('dominated', 'dominating')",1.1556379,0.8395219,-1.2648706,-1.0998712,0.6476418,0.5747353,0.0729065
52,-1.8727833,-1.9072064,"('irrational', 'rational')",-3.2179275,-2.9898462,0.06037943,-0.3349654,-1.676777,-1.744006,0.067229
55,1.8663107,1.6609336,"('incompetent', 'clever')",3.9622772,3.4590669,0.43563843,0.56923944,2.0880755,1.8964133,0.1916622
76,1.7115726,1.7302372,"('anxious', 'daring')",2.1404426,2.0491683,0.5383075,0.58589643,1.4634409,1.4551007,0.0083402
60,1.6310551,1.4462144,"('inefficient', 'efficient')",5.117614,4.7032766,0.41806096,0.72887313,2.3889098,2.2927882,0.0961216
35,-1.58454,-1.5529569,"('corrupt', 'incorrupt')",-3.8412035,-3.5787868,-0.8029759,-0.9709232,-2.0762399,-2.0342223,-0.0420176
24,1.5426742,1.4963287,"('dishonest', 'honest')",2.0832882,1.8689705,0.79584956,0.8653261,1.4739374,1.4102084,0.063729
16,-1.4677802,-1.5010146,"('unpopular', 'popular')",-0.9556294,-1.0581996,0.11567201,-0.15887114,-0.7692459,-0.9060284,0.1367825
26,-1.4602069,-1.2253755,"('hardhearted', 'benevolent')",-0.46208304,-0.29800892,1.3006867,1.4205923,-0.207201,-0.034264,-0.172937
46,1.4384184,1.3599236,"('uncompetitive', 'competitive')",3.691468,3.2590387,-0.7034354,-0.6408601,1.4754837,1.3260341,0.1494496
85,-1.3975238,-1.4254941,"('insignificant', 'prestigious')",-3.773772,-3.2698627,0.096779704,-0.23978724,-1.6915053,-1.645048,-0.0464573
87,1.3740673,1.2918093,"('unsuccessful', 'successful')",1.941392,1.6829913,1.2060491,1.0545342,1.5071694,1.3431117,0.1640577
32,1.3720005,1.2720304,"('unkind', 'kind')",1.2841909,1.1012479,0.93711287,1.1757984,1.1977681,1.1830255,0.0147426
72,1.3481607,1.1542038,"('unambitious', 'ambitious')",1.6514131,1.6553302,-0.2835258,-0.17631587,0.9053493,0.8777394,0.0276099
49,-1.335585,-1.2319924,"('unable', 'able')",-0.47211835,-0.67290455,-0.033681244,0.01950413,-0.6137949,-0.6284643,0.0146694
11,1.329709,1.5413975,"('unhelpful', 'helpful')",1.4918832,1.4687644,1.8854967,2.1389642,1.5690296,1.7163754,-0.1473458
50,-1.3122132,-1.1556,"('clumsy', 'skillful')",-1.3794597,-1.3090293,0.0607496,-0.061457,-0.8769744,-0.8420287,-0.0349457
9,1.2765145,1.195357,"('unaffectionate', 'caring')",-0.34604052,-0.278754,1.5783074,1.5262555,0.8362605,0.8142862,0.0219743
19,-1.255123,-1.1878387,"('inhospitable', 'hospitable')",-2.085249,-1.9195685,-0.24790403,-0.25935698,-1.196092,-1.1222547,-0.0738373
70,1.2407575,1.2877884,"('lethargic', 'energetic')",2.3072872,2.2096264,0.8671505,1.0240196,1.4717317,1.5071448,-0.0354131
83,1.2254786,0.87095976,"('powerless', 'powerful')",0.31350777,0.15440595,-0.86423224,-0.8437173,0.2249181,0.0605495,0.1643686
34,-1.2144549,-1.1500025,"('mean', 'honorable')",0.8128685,0.7348091,5.9552813,5.939079,1.8512316,1.8412951,0.0099365
63,1.1822727,1.3520563,"('unperceptive', 'insightful')",1.9736406,1.926685,1.1782227,1.255281,1.444712,1.5113408,-0.0666288
20,-1.1810023,-1.3214128,"('rough', 'thoughtful')",-0.52191454,-0.723803,0.7278267,0.7477344,-0.32503,-0.4324938,0.1074638
