,rohm_male,rohm_female,tuple,&_male,&_female,haas_male,haas_female,co_male,co_female,average_male,average_female,male-female
85,4.294216,3.4362626,"('insignificant', 'prestigious')",2.3965294,2.6925805,4.3057494,3.1098323,-0.68602127,-0.6998407,2.5776184,2.1347089,0.4429095
10,-4.279277,-3.6151383,"('unsympathetic', 'sympathetic')",-1.4665854,-1.8672327,-3.2106373,-2.6472173,0.2780988,-0.095074505,-2.1696,-2.0561657,-0.1134343
69,3.5618992,3.1812654,"('lazy', 'industrious')",2.909965,3.3567948,3.079199,2.7220085,-1.0014749,-0.67920184,2.1373973,2.1452167,-0.0078194
55,-3.5499387,-2.8833363,"('incompetent', 'clever')",-0.82028615,-1.3797851,-2.1447408,-1.4022335,0.5797503,0.39488038,-1.483804,-1.3176187,-0.1661853
60,-3.5049145,-2.8855183,"('inefficient', 'efficient')",-1.0566809,-1.7332665,-1.3598496,-0.5501475,0.745552,0.5780711,-1.2939732,-1.1477153,-0.1462579
65,-3.447836,-2.9822617,"('insecure', 'secure')",-0.872406,-1.3632147,-2.9624937,-2.4966724,0.38016823,0.1927849,-1.7256418,-1.662341,-0.0633008
35,3.43339,2.9045644,"('corrupt', 'incorrupt')",0.7481507,1.4697449,2.0676606,1.5992447,-1.1819057,-0.9268383,1.2668238,1.2616789,0.0051449
14,-3.2386725,-2.5717802,"('antisocial', 'social')",-1.1007789,-1.4046812,-1.8654413,-1.3078783,-0.6575451,-0.8207396,-1.7156094,-1.5262699,-0.1893395
81,-3.157825,-2.4775605,"('submissive', 'aggressive')",-1.110261,-1.122173,-2.37159,-1.5358807,-0.5606033,-0.690395,-1.8000698,-1.4565022,-0.3435676
45,-3.1364505,-2.614044,"('incompetent', 'competent')",-1.537611,-1.8513198,-1.3521516,-0.8585434,-0.38396242,-0.58457756,-1.6025441,-1.4771211,-0.125423
70,-3.106748,-2.738811,"('lethargic', 'energetic')",-0.82008725,-1.1522466,-1.6712412,-1.4273429,0.32610124,-0.0032262849,-1.3179938,-1.3304067,0.0124129
13,-2.9044535,-2.6680634,"('impolite', 'polite')",-1.3268689,-1.6253933,-1.701728,-1.2376691,0.69617033,0.42926076,-1.30922,-1.2754662,-0.0337538
57,-2.7911623,-2.3569925,"('unimaginative', 'imaginative')",-1.2042602,-1.247783,-1.5691824,-1.2878237,-3.0827568,-3.3048472,-2.1618404,-2.0493617,-0.1124787
30,-2.7779927,-2.409774,"('intolerant', 'tolerant')",-2.4921267,-2.991807,-0.9838253,-0.8425338,0.20754771,0.1886105,-1.5115993,-1.5138761,0.0022768
0,-2.7170057,-2.4699502,"('unsociable', 'sociable')",-0.326718,-0.91419786,-0.5969832,-0.47114387,0.41135928,0.12599234,-0.8073369,-0.9323249,0.124988
5,2.6529336,1.8660198,"('distant', 'outgoing')",0.52832675,0.75612044,2.6621537,1.9727043,-0.6668571,-0.36452603,1.2941393,1.0575798,0.2365595
21,-2.6400373,-2.3329773,"('immoral', 'moral')",-0.5320821,-1.0584124,-3.0536058,-2.6273143,-0.6290897,-0.89783394,-1.7137038,-1.7291346,0.0154308
6,2.592658,1.9023722,"('distant', 'open')",0.8186586,0.98834807,2.1997797,1.541383,-0.684109,-0.39378855,1.2317469,1.0095787,0.2221682
11,-2.560131,-2.3886168,"('unhelpful', 'helpful')",-2.0771146,-2.2920086,-1.060981,-0.9809455,2.5185156,2.3062372,-0.7949278,-0.8388335,0.0439057
