,firstenergy_male,firstenergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.518597,-1.7583785,"('unimaginative', 'imaginative')",-3.3053608,-3.462654,-2.411979,-2.6105163,0.1985373
71,1.4917893,1.3452975,"('diffident', 'self-confident')",0.4426788,0.33949876,0.9672341,0.8423981,0.124836
69,1.4329001,1.5736976,"('lazy', 'industrious')",-0.62893736,-0.25828105,0.4019814,0.6577083,-0.2557269
10,-1.4126343,-1.6917298,"('unsympathetic', 'sympathetic')",-0.44765738,-0.70096016,-0.9301458,-1.196345,0.2661992
0,-1.2468281,-1.442651,"('unsociable', 'sociable')",-0.42724395,-0.64617485,-0.837036,-1.044413,0.207377
65,-1.1812432,-1.285883,"('insecure', 'secure')",-0.3968114,-0.5541076,-0.7890273,-0.9199953,0.130968
58,-1.1587422,-1.1087321,"('undiscriminating', 'discriminating')",-0.111156665,-0.15185769,-0.6349494,-0.6302949,-0.0046545
33,1.0986016,1.0812103,"('wrong', 'right')",-0.40466174,-0.35165203,0.3469699,0.3647791,-0.0178092
32,1.0739686,0.8959097,"('unkind', 'kind')",0.9585572,0.700916,1.0162629,0.7984129,0.21785
45,-1.0190504,-1.2132652,"('incompetent', 'competent')",-0.23428822,-0.3799038,-0.6266693,-0.7965845,0.1699152
55,-1.0080009,-1.0915887,"('incompetent', 'clever')",0.1077151,-0.079673976,-0.4501429,-0.5856314,0.1354885
68,-0.9911484,-0.96468073,"('dependent', 'independent')",-0.9856177,-0.8913906,-0.9883831,-0.9280357,-0.0603474
14,-0.96195316,-1.1212102,"('antisocial', 'social')",-0.44679147,-0.5996035,-0.7043723,-0.8604069,0.1560346
25,0.9433184,0.99453455,"('egoistic', 'altruistic')",1.8094742,1.899832,1.3763963,1.4471833,-0.070787
82,-0.90297395,-0.876677,"('poor', 'rich')",6.3855243,6.5309753,2.7412751,2.8271492,-0.0858741
72,-0.8972678,-0.7867885,"('unambitious', 'ambitious')",-0.44187737,-0.48083892,-0.6695726,-0.6338137,-0.0357589
85,0.8786157,1.0086399,"('insignificant', 'prestigious')",0.2805392,0.47550648,0.5795774,0.7420732,-0.1624958
73,0.8552435,1.0878521,"('helpless', 'self-reliant')",-3.3672965,-3.1787326,-1.2560265,-1.0454402,-0.2105863
22,-0.7837829,-0.93737954,"('untrustworthy', 'trustworthy')",-0.8082121,-1.1626283,-0.7959975,-1.0500039,0.2540064
2,0.7782664,0.85811394,"('unlikable', 'likable')",0.7505115,0.84927595,0.7643889,0.8536949,-0.089306
86,-0.76034725,-1.013113,"('uninfluential', 'influential')",-0.1764254,-0.5059241,-0.4683863,-0.7595186,0.2911323
50,0.75971663,0.75042003,"('clumsy', 'skillful')",0.2808643,0.43443537,0.5202905,0.5924277,-0.0721372
51,-0.75899124,-0.9455042,"('uneducated', 'educated')",0.53175604,0.2657376,-0.1136176,-0.3398833,0.2262657
15,0.73591244,0.70988905,"('boring', 'funny')",0.032054514,0.015066834,0.3839835,0.362478,0.0215055
