,merrill_male,merrill_female,tuple,lynch_male,lynch_female,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
85,3.68273,3.6225295,"('insignificant', 'prestigious')",3.0011833,2.8994384,2.3759,2.4554756,2.1658573,2.388784,1.8655723,1.6304063,2.6182486,2.5993269,0.0189217
26,2.851678,2.9593112,"('hardhearted', 'benevolent')",1.9704949,2.1467094,2.8907423,2.8571827,2.0348353,1.9403936,2.1719735,1.9032578,2.3839447,2.3613708,0.0225739
66,2.6548152,2.6011343,"('inactive', 'active')",2.4925797,2.1797483,2.387841,2.451109,2.9437118,3.0614688,2.0548844,1.8572294,2.5067665,2.430138,0.0766285
2,2.5651383,2.549031,"('unlikable', 'likable')",2.0388148,2.0860982,1.613483,1.7136822,1.4595281,1.6170609,0.74098307,0.69720227,1.6835896,1.7326149,-0.0490253
45,-2.426678,-2.3249488,"('incompetent', 'competent')",-1.8037311,-1.3935596,-0.2787727,-0.20973465,-2.7035646,-2.9371953,-0.7346915,-0.61140764,-1.5894876,-1.4953692,-0.0941184
33,2.3944123,2.416803,"('wrong', 'right')",1.4422913,1.259757,0.47920743,0.48431605,0.46284476,0.4743966,0.07255937,-0.300406,0.970263,0.8669733,0.1032897
83,2.168652,2.133213,"('powerless', 'powerful')",1.1087527,1.1501228,0.68048483,0.5695647,0.49622005,0.45084614,-0.64107895,-0.52112716,0.7626061,0.7565239,0.0060822
10,-2.162351,-2.1184652,"('unsympathetic', 'sympathetic')",-2.0513852,-1.6330194,-0.24058187,-0.18315154,-1.864438,-2.1892173,-0.50832015,-0.21856232,-1.3654153,-1.2684832,-0.0969321
9,2.1112542,2.055117,"('unaffectionate', 'caring')",1.2667359,1.3419417,0.24337925,0.2927517,-0.14130849,-0.17803937,2.1454268,1.9782895,1.1250976,1.0980121,0.0270855
5,2.0062325,2.3140287,"('distant', 'outgoing')",0.9792828,1.1790521,0.29060507,0.6288584,0.632289,0.8857254,0.11422641,-0.038339265,0.8045272,0.9938651,-0.1893379
81,-1.988698,-2.1732326,"('submissive', 'aggressive')",-1.5141735,-1.4445198,0.47084633,0.34257516,-1.2286232,-1.5469818,-1.8207874,-1.6113224,-1.2162871,-1.2866962,0.0704091
1,1.9485396,2.0982096,"('unfriendly', 'friendly')",0.2608185,0.6790912,0.30999666,0.42982194,-0.44466305,-0.39584008,2.559806,2.3379605,0.9268995,1.0298487,-0.1029492
52,1.8956518,1.9301268,"('irrational', 'rational')",0.7111772,0.5712018,-0.45628566,-0.46772343,-0.53227836,-0.39245677,0.59040207,0.32073224,0.4417334,0.3923761,0.0493573
58,1.8746265,1.5692323,"('undiscriminating', 'discriminating')",0.5629487,0.5383606,0.6235672,0.37555057,1.056796,0.84026253,0.45282528,0.2746996,0.9141527,0.7196212,0.1945315
54,1.7251711,1.5174831,"('incapable', 'capable')",1.256918,0.96364117,1.4074363,1.3433383,0.33211303,0.33684903,1.478419,1.4741962,1.2400115,1.1271015,0.11291
36,1.6597738,1.6733556,"('hostile', 'amicable')",1.4023951,1.302486,-0.021133274,-0.16662326,1.586693,1.7079158,1.0998801,0.8498544,1.1455218,1.0733976,0.0721242
53,1.6287494,1.8071859,"('uncreative', 'creative')",-0.06495215,0.26529062,0.96382827,1.0513281,0.12917608,0.21586642,1.3354033,1.3388308,0.798441,0.9357003,-0.1372593
87,1.611546,1.3314605,"('unsuccessful', 'successful')",1.4880983,1.032637,2.2450378,2.0829048,1.2602304,1.2458726,1.3878788,1.3438257,1.5985582,1.4073401,0.1912181
69,1.5377598,1.4570003,"('lazy', 'industrious')",2.3275027,1.7911463,0.29545176,0.15753871,2.5832922,2.6905975,-0.21897933,-0.6363446,1.3050054,1.0919877,0.2130177
73,1.5257732,1.6610389,"('helpless', 'self-reliant')",1.2641908,1.4566623,-0.3850625,-0.3762447,1.29803,1.4872625,-3.3685298,-3.6576316,0.0668803,0.1142174,-0.0473371
22,-1.5203954,-1.4848381,"('untrustworthy', 'trustworthy')",-1.3240942,-1.0255426,-0.3696453,-0.41166168,-1.9815516,-2.0541942,-1.3521227,-1.2280781,-1.3095618,-1.2408628,-0.068699
61,1.5202165,1.6655053,"('illogical', 'logical')",0.47051173,0.60821915,0.60509074,0.6130789,-0.698131,-0.6612548,0.2741067,0.32499617,0.4343589,0.5101089,-0.07575
