,windstream_male,windstream_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
6,-3.0122266,-3.1562393,"('distant', 'open')",-1.5039414,-1.6549484,0.33576083,0.37559295,-1.3934692,-1.4785315,0.0850623
5,-2.296681,-2.3824244,"('distant', 'outgoing')",-1.2015301,-1.2769388,-0.4375253,-0.2912184,-1.3119121,-1.3168605,0.0049484
31,-2.13048,-2.2315001,"('evil', 'good')",-1.9139005,-2.1092315,-1.2211052,-1.2197983,-1.7551619,-1.8535099,0.098348
1,-1.9726348,-2.164533,"('unfriendly', 'friendly')",-0.21107051,-0.48019674,1.3290856,1.4509541,-0.2848732,-0.3979252,0.113052
19,-1.9545271,-1.9890499,"('inhospitable', 'hospitable')",-1.1226656,-1.1852453,-0.28523296,-0.27605262,-1.1208086,-1.150116,0.0293074
60,1.9400572,1.9899179,"('inefficient', 'efficient')",1.4100796,1.5353823,0.013053296,0.015316255,1.1210633,1.1802054,-0.0591421
8,-1.9211159,-2.010424,"('unaffectionate', 'affectionate')",-1.2670105,-1.4127418,0.50544894,0.44699982,-0.8942258,-0.9920553,0.0978295
36,-1.8643609,-1.8843185,"('hostile', 'amicable')",-1.6496861,-1.8805673,0.25487366,0.37048703,-1.0863911,-1.1314663,0.0450752
52,-1.8315283,-1.876762,"('irrational', 'rational')",-1.2603978,-1.6446636,-0.20240283,-0.21899384,-1.0981096,-1.2468065,0.1486969
76,1.7489471,1.8167467,"('anxious', 'daring')",1.2757074,1.6509061,0.45206282,0.49570143,1.1589057,1.321118,-0.1622123
56,1.6750243,1.6561811,"('impractical', 'practical')",0.9215166,0.89638287,-0.25576192,-0.17995106,0.7802597,0.790871,-0.0106113
80,1.6602851,1.5756443,"('dominated', 'dominating')",1.2862791,1.3487319,-1.0603929,-1.2199587,0.6287238,0.5681391,0.0605847
30,1.5612714,1.6528217,"('intolerant', 'tolerant')",1.5420426,1.6261861,0.8471394,1.0581306,1.3168178,1.4457129,-0.1288951
85,-1.431185,-1.5685557,"('insignificant', 'prestigious')",-0.38629198,-0.53281534,0.17579535,0.44971663,-0.5472272,-0.5505515,0.0033243
65,1.3877912,1.5878842,"('insecure', 'secure')",1.1720968,1.2314894,0.06418348,0.017745074,0.8746905,0.9457062,-0.0710157
