,teco_male,teco_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.0738783,-2.116803,"('uninfluential', 'influential')",0.4155583,0.49648553,-0.41286916,-0.64995205,-0.6903964,-0.7567565,0.0663601
0,-2.0200598,-1.9011508,"('unsociable', 'sociable')",0.036259037,0.03273379,-0.6620634,-0.72139704,-0.8819547,-0.8632714,-0.0186833
10,-1.7035189,-1.682796,"('unsympathetic', 'sympathetic')",-0.36349678,-0.3823558,-0.5166542,-0.68140477,-0.8612233,-0.9155188,0.0542955
73,1.6717012,1.6853484,"('helpless', 'self-reliant')",1.1008075,1.0612065,-2.775362,-2.7657437,-0.0009511,-0.0063963,0.0054452
51,-1.6071522,-1.605454,"('uneducated', 'educated')",-0.06523357,-0.024141282,0.33096334,0.19694002,-0.4471408,-0.4775517,0.0304109
55,-1.5601757,-1.3276432,"('incompetent', 'clever')",-0.14214626,-0.07111168,-0.2209673,-0.21929806,-0.6410964,-0.539351,-0.1017454
8,-1.4939466,-1.5922123,"('unaffectionate', 'affectionate')",-0.9015448,-1.1627388,0.5105564,0.390999,-0.6283116,-0.787984,0.1596724
23,-1.4125217,-1.5813673,"('insincere', 'sincere')",0.38496757,0.2553596,5.4107075,5.13496,1.4610511,1.2696509,0.1914002
57,-1.2955843,-1.5030608,"('unimaginative', 'imaginative')",0.6314698,0.5707917,-2.1612701,-2.3820186,-0.9417949,-1.1047626,0.1629677
45,-1.2575183,-1.6404457,"('incompetent', 'competent')",-0.022227623,-0.31555814,-0.119509414,-0.51449233,-0.4664185,-0.8234987,0.3570802
82,-1.2544355,-1.4930027,"('poor', 'rich')",-0.038318418,-0.18386492,5.9424047,5.6820555,1.5498835,1.3350627,0.2148208
6,-1.2235851,-1.3934435,"('distant', 'open')",-0.73893154,-0.9405818,0.049892634,0.0787762,-0.6375413,-0.7517498,0.1142085
1,-1.1764485,-1.5031508,"('unfriendly', 'friendly')",0.48349392,0.15517612,1.73096,1.5863638,0.3460018,0.079463,0.2665388
