,merck_male,merck_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
69,2.4479866,2.1304903,"('lazy', 'industrious')",0.80947745,0.9188269,2.4215512,2.258682,-0.14907855,-0.2150731,1.3824842,1.2732315,0.1092527
35,2.423591,1.9958395,"('corrupt', 'incorrupt')",0.21379055,0.08816752,0.84291846,0.6144111,0.044017337,0.026343271,0.8810793,0.6811904,0.1998889
85,2.077974,1.8850155,"('insignificant', 'prestigious')",1.9802074,1.8022189,1.6505729,1.354025,1.2511036,0.7690005,1.7399645,1.452565,0.2873995
33,1.8879546,1.6972351,"('wrong', 'right')",0.31265712,0.27207664,0.49016908,0.26146665,-0.11520437,-0.37834835,0.6438941,0.4631075,0.1807866
46,-1.7043685,-1.3296552,"('uncompetitive', 'competitive')",0.08268972,0.09414512,-0.6882878,-0.58664584,-0.4971473,-0.6599374,-0.7017785,-0.6205233,-0.0812552
3,-1.6218671,-1.5155183,"('repellent', 'pleasant')",-0.5518075,-0.55540824,0.58633924,0.50148135,0.14461032,0.0146023445,-0.3606813,-0.3887108,0.0280295
72,-1.6146418,-1.1665679,"('unambitious', 'ambitious')",-0.72767997,-0.4652156,-0.5826096,-0.41711465,-0.77833635,-0.6508576,-0.925817,-0.674939,-0.250878
59,1.6142879,1.401162,"('foolish', 'wise')",1.0819433,1.014649,-0.096196234,-0.31883907,0.70939726,0.565917,0.8273581,0.6657223,0.1616358
6,1.6106364,1.1474698,"('distant', 'open')",0.29209304,0.2587347,0.06536837,-0.07104227,0.57202893,0.5789042,0.6350317,0.4785166,0.1565151
5,1.5861758,1.0906528,"('distant', 'outgoing')",0.06807825,0.019476712,0.4193821,0.39209712,-0.043946847,0.06334081,0.5074223,0.3913919,0.1160304
57,-1.3757733,-1.0581421,"('unimaginative', 'imaginative')",-0.57987136,-0.48855653,-0.9789837,-0.9064681,-2.4766624,-2.8965569,-1.3528227,-1.337431,-0.0153917
