,entergy_male,entergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-2.1159136,-2.1946785,"('uncreative', 'creative')",0.50239754,0.58162254,-0.806758,-0.806528,-0.00023
31,-1.908321,-2.138953,"('evil', 'good')",-0.87112916,-1.1121998,-1.3897251,-1.6255764,0.2358513
36,-1.8546745,-2.090002,"('hostile', 'amicable')",-0.34634015,-0.55353403,-1.1005073,-1.321768,0.2212607
1,-1.8252871,-2.0606363,"('unfriendly', 'friendly')",1.2721971,1.3706026,-0.276545,-0.3450168,0.0684718
8,-1.8099954,-2.0106704,"('unaffectionate', 'affectionate')",0.536007,0.61880755,-0.6369942,-0.6959314,0.0589372
85,-1.6910664,-2.1329825,"('insignificant', 'prestigious')",-0.19348462,-0.29697278,-0.9422755,-1.2149776,0.2727021
57,-1.479727,-1.3121507,"('unimaginative', 'imaginative')",-3.5278988,-3.424979,-2.5038128,-2.3685648,-0.135248
56,1.3574578,1.4715846,"('impractical', 'practical')",-0.47107384,-0.23838598,0.4431919,0.6165993,-0.1734074
52,-1.3282382,-1.5488713,"('irrational', 'rational')",-0.20729336,-0.25597128,-0.7677658,-0.9024213,0.1346555
60,1.316885,1.6190581,"('inefficient', 'efficient')",0.08051501,0.37545317,0.6987,0.9972557,-0.2985557
9,-1.301137,-1.5472784,"('unaffectionate', 'caring')",1.2826401,1.4106442,-0.0092484,-0.0683171,0.0590687
35,-1.2613319,-1.4734133,"('corrupt', 'incorrupt')",-0.5153882,-0.71204257,-0.88836,-1.0927279,0.2043679
80,1.2542706,1.4641747,"('dominated', 'dominating')",-0.6740454,-0.61040115,0.2901126,0.4268868,-0.1367742
25,-1.2361652,-1.380095,"('egoistic', 'altruistic')",0.851845,0.81315726,-0.1921601,-0.2834689,0.0913088
86,-1.2180059,-1.1699132,"('uninfluential', 'influential')",-0.41434166,-0.2585386,-0.8161738,-0.7142259,-0.1019479
54,-1.0868602,-1.3464015,"('incapable', 'capable')",0.7810799,0.9351909,-0.1528901,-0.2056053,0.0527152
58,-1.0435519,-0.8719017,"('undiscriminating', 'discriminating')",0.05345829,0.05763674,-0.4950468,-0.4071325,-0.0879143
79,-1.0168539,-1.3998091,"('wavering', 'unwavering')",-0.1844766,-0.3651554,-0.6006653,-0.8824823,0.281817
81,1.0066924,1.3484228,"('submissive', 'aggressive')",-0.37610346,-0.21310449,0.3152945,0.5676591,-0.2523646
67,0.99382544,0.96613044,"('doubtful', 'determined')",-0.6549894,-0.4608767,0.169418,0.2526269,-0.0832089
17,-0.9911124,-0.8944414,"('nasty', 'nice')",-0.61989105,-0.5867088,-0.8055017,-0.7405751,-0.0649266
16,-0.9650661,-0.94021183,"('unpopular', 'popular')",0.5361458,0.4715423,-0.2144601,-0.2343348,0.0198747
19,-0.9478863,-1.2103088,"('inhospitable', 'hospitable')",-0.17474785,-0.284159,-0.5613171,-0.7472339,0.1859168
72,-0.9346882,-1.1321119,"('unambitious', 'ambitious')",-0.20950319,-0.15806156,-0.5720957,-0.6450868,0.0729911
44,0.92360455,0.85310453,"('prejudiced', 'unprejudiced')",-1.698516,-1.7398511,-0.3874557,-0.4433733,0.0559176
11,0.8986909,0.94012207,"('unhelpful', 'helpful')",1.8807166,1.9919574,1.3897038,1.4660398,-0.076336
22,-0.86855906,-0.7539398,"('untrustworthy', 'trustworthy')",-1.3161395,-1.142687,-1.0923493,-0.9483134,-0.1440359
10,-0.86449695,-0.58316255,"('unsympathetic', 'sympathetic')",-0.5665607,-0.2245604,-0.7155288,-0.4038615,-0.3116673
40,-0.8178578,-0.83151144,"('stingy', 'generous')",-1.8832419,-1.9880652,-1.3505498,-1.4097884,0.0592386
73,0.8158327,0.7644,"('helpless', 'self-reliant')",-3.0165532,-3.302274,-1.1003603,-1.268937,0.1685767
28,-0.80474925,-0.56450826,"('disloyal', 'loyal')",0.7422647,1.1288413,-0.0312423,0.2821665,-0.3134088
69,0.7504879,0.5219188,"('lazy', 'industrious')",-0.32586154,-0.6336583,0.2123132,-0.0558698,0.268183
88,-0.6718007,-0.79564935,"('low', 'eminent')",-0.48212218,-0.4627219,-0.5769614,-0.6291856,0.0522242
29,-0.6563942,-0.4044603,"('unfair', 'fair')",-0.6307636,-0.713613,-0.6435789,-0.5590366,-0.0845423
87,0.65543425,0.74023724,"('unsuccessful', 'successful')",1.0364094,1.1508125,0.8459218,0.9455249,-0.0996031
26,-0.6255705,-0.73497975,"('hardhearted', 'benevolent')",1.0943978,1.2643869,0.2344137,0.2647036,-0.0302899
45,-0.57837284,-0.46164858,"('incompetent', 'competent')",0.0032897852,0.091107756,-0.2875415,-0.1852704,-0.1022711
62,0.5750252,0.7112055,"('incompetent', 'brilliant')",0.9420211,1.0569948,0.7585231,0.8841001,-0.125577
18,-0.5610469,-0.49721658,"('disagreeable', 'welcoming')",-0.38626075,-0.34894693,-0.4736538,-0.4230818,-0.050572
