,nabors_male,nabors_female,tuple,industries_male,industries_female,ltd_male,ltd_female,average_male,average_female,male-female
28,-1.4175034,-1.4469134,"('disloyal', 'loyal')",0.06858724,0.0113800205,1.0102625,1.0501956,-0.1128845,-0.1284459,0.0155614
86,-1.40085,-1.4962673,"('uninfluential', 'influential')",-0.7563427,-0.6042787,0.026304046,-0.0011173822,-0.7102962,-0.7005545,-0.0097417
72,-1.3623233,-1.2323529,"('unambitious', 'ambitious')",-0.4660274,-0.40971372,-0.26944667,-0.31410354,-0.6992658,-0.6520567,-0.0472091
83,-1.2512562,-1.2676344,"('powerless', 'powerful')",-0.4971387,-0.4851705,-1.5957564,-1.532526,-1.1147172,-1.0951103,-0.0196069
1,-1.2071881,-1.4436461,"('unfriendly', 'friendly')",0.15051691,0.0030773357,1.6641351,1.5794865,0.2024879,0.0463059,0.156182
10,-1.1602298,-1.1852756,"('unsympathetic', 'sympathetic')",-1.378849,-1.1826323,0.03724426,0.08953643,-0.8339448,-0.7594572,-0.0744876
36,-1.1211425,-1.1097605,"('hostile', 'amicable')",0.17209163,0.050144438,0.3397068,0.378265,-0.2031147,-0.227117,0.0240023
9,-1.1151463,-1.148363,"('unaffectionate', 'caring')",0.25674835,0.26364076,0.7830736,0.89423794,-0.0251081,0.0031719,-0.02828
51,-1.0494139,-1.0771921,"('uneducated', 'educated')",-0.7377707,-0.5832981,-0.6446894,-0.5730567,-0.8106247,-0.7445156,-0.0661091
70,0.9401256,0.8981111,"('lethargic', 'energetic')",0.30915815,0.45495752,1.066818,1.0418218,0.7720339,0.7982968,-0.0262629
8,-0.9313603,-0.8973169,"('unaffectionate', 'affectionate')",0.49517065,0.46015382,0.6694495,0.7600286,0.0777533,0.1076218,-0.0298685
48,-0.9060271,-0.8618221,"('unintelligent', 'intelligent')",-0.75192875,-0.6938855,-0.022816274,-0.008428341,-0.5602574,-0.5213787,-0.0388787
15,0.89242274,0.76381296,"('boring', 'funny')",0.7044604,0.5718141,0.4346205,0.3398337,0.6771679,0.5584869,0.118681
21,-0.8786606,-0.87725955,"('immoral', 'moral')",-1.1817421,-1.0676835,-1.2565135,-1.2442676,-1.1056387,-1.0630701,-0.0425686
78,-0.8678374,-0.92510575,"('nonresilient', 'resilient')",-0.1520966,-0.09421499,0.061836947,0.1705331,-0.3193657,-0.2829292,-0.0364365
30,0.8569838,0.76858914,"('intolerant', 'tolerant')",1.1795757,1.1816752,0.84266204,0.8009087,0.9597406,0.9170577,0.0426829
20,-0.8337213,-0.8888626,"('rough', 'thoughtful')",-0.37465468,-0.38547257,0.78580874,0.74403876,-0.1408557,-0.1767655,0.0359098
54,-0.8200221,-0.7583606,"('incapable', 'capable')",0.045939922,0.10604027,0.43370342,0.5883643,-0.1134596,-0.0213187,-0.0921409
56,0.7924268,0.54698473,"('impractical', 'practical')",1.2223203,1.2271203,0.74929297,0.5399958,0.9213467,0.7713669,0.1499798
