,eog_male,eog_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
39,1.804661,2.0182111,"('exploitative', 'cooperative')",0.3252619,0.57673097,0.09599942,0.068324566,0.7419741,0.8877556,-0.1457815
60,1.7456505,1.8813831,"('inefficient', 'efficient')",1.9439311,1.8243488,0.6968289,0.3777374,1.4621369,1.3611565,0.1009804
56,1.6035997,1.8321714,"('impractical', 'practical')",1.5389111,1.3963499,0.19870353,-0.01765376,1.1137381,1.0702892,0.0434489
81,1.4337547,1.3461485,"('submissive', 'aggressive')",1.5002906,1.1072527,0.18913391,-0.115615755,1.0410597,0.7792617,0.261798
31,-1.30056,-1.4437815,"('evil', 'good')",-1.2946489,-1.2849979,-1.2929587,-0.9647395,-1.2960559,-1.231173,-0.0648829
64,1.2519159,1.463593,"('shy', 'confident')",0.888634,1.0292454,-5.6211085,-5.8998423,-1.1601862,-1.135668,-0.0245182
8,-1.1095593,-1.4275763,"('unaffectionate', 'affectionate')",-1.0919485,-1.0479796,0.28163308,0.42595512,-0.6399582,-0.6832003,0.0432421
26,-1.0719944,-1.157716,"('hardhearted', 'benevolent')",0.20521861,0.28225747,1.0104619,1.1494613,0.0478954,0.0913342,-0.0434388
1,-1.0689602,-1.3632488,"('unfriendly', 'friendly')",-0.052705534,-0.05872318,1.4492911,1.5501931,0.1092085,0.0427403,0.0664682
73,1.052389,1.336973,"('helpless', 'self-reliant')",0.34332338,0.45403227,-3.0625505,-3.02627,-0.5556127,-0.4117549,-0.1438578
78,-1.0465677,-1.2186953,"('nonresilient', 'resilient')",0.42364287,0.39816388,0.5629124,0.4334575,-0.0200041,-0.1290246,0.1090205
19,-1.0445336,-0.7515948,"('inhospitable', 'hospitable')",-1.6256061,-1.279623,-0.2691723,0.0063600987,-0.9797707,-0.6749526,-0.3048181
59,0.9976853,1.0458455,"('foolish', 'wise')",0.639068,1.0314804,0.17573114,0.44104815,0.6041615,0.839458,-0.2352965
18,-0.9386095,-0.9834045,"('disagreeable', 'welcoming')",-0.80434835,-0.72674656,-0.34772867,-0.3078363,-0.6968955,-0.6726624,-0.0242331
66,-0.93226695,-0.71640795,"('inactive', 'active')",-1.2195954,-0.7557427,0.9827615,1.125847,-0.3897003,-0.1154346,-0.2742657
67,0.91830695,1.2610722,"('doubtful', 'determined')",0.9176422,1.0774679,-0.49120688,-0.43644026,0.4482474,0.6340333,-0.1857859
53,-0.91284716,-0.98023653,"('uncreative', 'creative')",0.110633396,0.31152973,0.78056574,0.93730783,-0.007216,0.0895337,-0.0967497
36,-0.8930809,-1.02323,"('hostile', 'amicable')",-2.702242,-2.5503476,-0.31973967,0.003921911,-1.3050208,-1.1898851,-0.1151357
86,-0.8715296,-0.9467331,"('uninfluential', 'influential')",-0.33567002,-0.6631133,-0.07433699,-0.035063464,-0.4271789,-0.5483033,0.1211244
9,-0.86081797,-0.9375793,"('unaffectionate', 'caring')",0.3492389,0.58381075,0.977225,1.1888438,0.1552153,0.2783584,-0.1231431
6,-0.7725592,-0.631849,"('distant', 'open')",-1.4315081,-1.0363728,0.050320253,0.2669797,-0.7179157,-0.4670807,-0.250835
0,-0.764397,-0.7749226,"('unsociable', 'sociable')",0.47717762,0.31180504,-0.23506309,-0.3831995,-0.1740942,-0.2821057,0.1080115
54,-0.76307154,-0.7502284,"('incapable', 'capable')",-0.7608018,-0.38294876,0.8138536,0.9996275,-0.2366732,-0.0445166,-0.1921566
30,0.7534291,0.8467243,"('intolerant', 'tolerant')",1.8409133,1.8775724,1.5082128,1.3817983,1.3675184,1.3686983,-0.0011799
38,-0.74236345,-0.8119569,"('untruthful', 'truthful')",0.2612714,0.123942785,0.33459654,0.31037876,-0.0488318,-0.1258784,0.0770466
84,0.73500305,0.5231314,"('inferior', 'superior')",1.2316716,1.3224641,0.94282234,0.89615035,0.9698323,0.9139153,0.055917
10,-0.71986467,-0.61607695,"('unsympathetic', 'sympathetic')",-0.035726286,-0.18126953,0.09089938,-0.22982132,-0.2215639,-0.3423893,0.1208254
41,-0.70609903,-1.0719137,"('unforgiving', 'forgiving')",0.16765791,-0.04513928,0.31809303,0.28603393,-0.0734494,-0.2770064,0.203557
57,-0.70238775,-0.7644816,"('unimaginative', 'imaginative')",-0.25173384,-0.41954488,-2.3107495,-2.4663126,-1.0882904,-1.2167797,0.1284893
24,0.6675518,0.7821733,"('dishonest', 'honest')",0.23657282,0.022143561,0.91396844,0.79727834,0.606031,0.5338651,0.0721659
62,0.6377806,0.5282893,"('incompetent', 'brilliant')",0.80161667,0.5987609,0.48772684,0.29543597,0.6423747,0.474162,0.1682127
27,-0.63086575,-0.50470376,"('hardhearted', 'softhearted')",-0.21811044,0.009025287,1.5074368,1.5480441,0.2194869,0.3507885,-0.1313016
5,-0.6301177,-0.50007796,"('distant', 'outgoing')",-0.7814993,-0.42627662,-0.22275844,-0.081358254,-0.5447918,-0.3359043,-0.2088875
