,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,male-female
70,-2.61273,-2.573142,"('lethargic', 'energetic')",-2.3932958,-2.2875824,0.37662137,0.57989824,-1.5431348,-1.426942,-0.1161928
45,-2.5287704,-2.9092937,"('incompetent', 'competent')",-2.786392,-2.7863002,-0.7724588,-0.869866,-2.0292072,-2.1884866,0.1592794
85,2.4783742,2.203786,"('insignificant', 'prestigious')",2.7125888,2.4615815,-0.12850319,-0.34642416,1.6874865,1.4396477,0.2478388
81,-2.446038,-2.2141151,"('submissive', 'aggressive')",-2.6466599,-2.3671489,-0.3426184,-0.18262817,-1.8117722,-1.5879641,-0.2238081
64,-2.0340388,-2.0617425,"('shy', 'confident')",-1.4846342,-1.4009926,-5.966318,-6.1318116,-3.1616637,-3.1981824,0.0365187
46,-2.0051072,-2.1565835,"('uncompetitive', 'competitive')",-2.6853762,-2.5576878,-0.42300692,-0.52910316,-1.7044967,-1.7477916,0.0432949
43,-1.9781051,-2.0687792,"('irresponsible', 'responsible')",-3.493956,-3.4227695,-0.51281685,-0.2646194,-1.9949594,-1.9187226,-0.0762368
42,-1.9483024,-1.9622077,"('unreliable', 'reliable')",-1.9201964,-1.7439789,-2.8871365,-2.8265204,-2.2518784,-2.1775691,-0.0743093
63,-1.8985401,-2.0049958,"('unperceptive', 'insightful')",-2.2220948,-2.1584146,0.7755034,0.7860649,-1.1150439,-1.1257818,0.0107379
76,-1.8900771,-1.5655222,"('anxious', 'daring')",-2.0337632,-1.7231647,0.25755864,0.47658998,-1.2220939,-0.9373656,-0.2847283
55,-1.754304,-1.943729,"('incompetent', 'clever')",-2.514326,-2.4705195,-0.0291497,-0.05486776,-1.4325932,-1.4897054,0.0571122
82,-1.7305802,-1.9681324,"('poor', 'rich')",-1.1570134,-1.1047214,5.4684844,5.6910744,0.8602969,0.8727402,-0.0124433
10,-1.7267451,-1.9365287,"('unsympathetic', 'sympathetic')",-3.906591,-3.8002095,-0.5607018,-0.4083193,-2.0646793,-2.0483526,-0.0163267
14,-1.672098,-1.5701251,"('antisocial', 'social')",-1.6643311,-1.526163,-0.6990819,-0.72758925,-1.3451703,-1.2746258,-0.0705445
56,-1.6148852,-1.5800054,"('impractical', 'practical')",-2.3137507,-2.1762404,0.04542363,0.13552141,-1.2944041,-1.2069081,-0.087496
