,pitney_male,pitney_female,tuple,bowes_male,bowes_female,inc_male,inc_female,average_male,average_female,male-female
69,2.2493641,2.2821126,"('lazy', 'industrious')",1.0035586,1.102721,-0.29382408,-0.20414738,0.9863663,1.0602287,-0.0738624
10,-1.8399358,-1.9080973,"('unsympathetic', 'sympathetic')",-1.5470921,-1.4771403,0.2911198,0.23831329,-1.0319693,-1.0489748,0.0170055
43,-1.5413427,-1.2174186,"('irresponsible', 'responsible')",-0.973251,-0.82300586,0.693208,0.93803346,-0.6071285,-0.3674636,-0.2396649
21,-1.5349679,-1.6213903,"('immoral', 'moral')",-0.57305604,-0.65620404,-0.8556318,-0.97380996,-0.9878852,-1.0838014,0.0959162
1,-1.495923,-1.5796614,"('unfriendly', 'friendly')",-1.4629763,-1.4424824,1.4371464,1.3333858,-0.507251,-0.5629193,0.0556683
65,-1.4608234,-1.3562386,"('insecure', 'secure')",-0.3314153,-0.35387212,-0.35510135,-0.13526556,-0.71578,-0.6151254,-0.1006546
86,-1.429014,-1.5977288,"('uninfluential', 'influential')",-1.3610234,-1.3932867,-0.2038059,-0.3897592,-0.9979478,-1.1269249,0.1289771
32,-1.3331674,-1.3225577,"('unkind', 'kind')",-0.79062665,-0.80821913,0.79669195,0.8880285,-0.4423674,-0.4142495,-0.0281179
3,-1.2932372,-1.4476774,"('repellent', 'pleasant')",-1.4421173,-1.3743511,-0.21294653,-0.3498669,-0.9827669,-1.0572985,0.0745316
35,1.2644972,1.3511623,"('corrupt', 'incorrupt')",0.8616039,0.8262686,-0.50347346,-0.6257296,0.5408758,0.5172338,0.023642
23,-1.2054598,-1.0747381,"('insincere', 'sincere')",-1.0228468,-0.8831922,5.3350587,5.3794193,1.035584,1.1404963,-0.1049123
18,-1.1555916,-1.0326227,"('disagreeable', 'welcoming')",-0.2363895,-0.0056754593,-0.6507379,-0.5540225,-0.6809063,-0.5307736,-0.1501327
57,-1.1420997,-1.1817707,"('unimaginative', 'imaginative')",-1.093576,-0.92210215,-2.1446285,-2.049699,-1.4601014,-1.384524,-0.0755774
48,-1.0491085,-1.3179051,"('unintelligent', 'intelligent')",-1.1369569,-1.3747227,0.5665392,0.33126777,-0.539842,-0.78712,0.247278
11,-1.0278971,-0.97242284,"('unhelpful', 'helpful')",-0.36339533,-0.4397524,2.1727245,2.3752918,0.2604773,0.3210389,-0.0605616
27,-1.019336,-1.1138661,"('hardhearted', 'softhearted')",-0.20107958,-0.517795,1.3069029,0.97805876,0.0288291,-0.2178675,0.2466966
