,bemis_male,bemis_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
53,-1.8787436,-1.6580741,"('uncreative', 'creative')",0.06451589,0.1684484,1.3508129,1.4551768,-0.1544716,-0.011483,-0.1429886
57,-1.7234412,-1.5551453,"('unimaginative', 'imaginative')",-0.23950958,-0.07947948,-2.6309,-2.529272,-1.5312835,-1.3879655,-0.143318
86,-1.3986454,-1.5455807,"('uninfluential', 'influential')",-0.1967385,-0.3355021,0.25451446,0.12653528,-0.4469565,-0.5848492,0.1378927
73,1.3698962,1.273836,"('helpless', 'self-reliant')",0.90627563,0.92819345,-3.3023996,-3.2827935,-0.342076,-0.3602547,0.0181787
6,-1.2500178,-1.2739944,"('distant', 'open')",-1.1498823,-1.1822652,0.779369,0.76143605,-0.540177,-0.5649412,0.0247642
1,-1.1473725,-1.006246,"('unfriendly', 'friendly')",-0.063642755,-0.013449494,2.2767813,2.2081962,0.3552554,0.3961669,-0.0409115
44,0.97451365,1.0025328,"('prejudiced', 'unprejudiced')",-0.9071287,-0.6816368,-1.7521951,-1.6262836,-0.5616034,-0.4351292,-0.1264742
14,0.9606237,0.9180899,"('antisocial', 'social')",1.3210914,1.1803539,-0.76615137,-0.7813064,0.5051879,0.4390458,0.0661421
77,-0.95659244,-1.0224167,"('unmotivated', 'motivated')",-0.18999691,-0.30145806,-0.6657704,-0.6433603,-0.6041199,-0.655745,0.0516251
8,-0.9032083,-0.81879514,"('unaffectionate', 'affectionate')",-0.9139562,-0.9862925,1.4760058,1.4475111,-0.1137196,-0.1191922,0.0054726
0,-0.90038306,-1.2408181,"('unsociable', 'sociable')",0.55033404,0.40019384,-0.6217254,-0.7516749,-0.3239248,-0.5307664,0.2068416
28,-0.87233573,-0.86750317,"('disloyal', 'loyal')",-0.47974926,-0.50580806,1.2854636,1.1679854,-0.0222071,-0.0684419,0.0462348
30,0.8614241,0.9075956,"('intolerant', 'tolerant')",1.1208094,1.2247288,1.0554919,1.0814085,1.0125751,1.0712443,-0.0586692
39,0.7771803,0.63966346,"('exploitative', 'cooperative')",1.6766346,1.760762,-0.1203613,-0.09242391,0.7778179,0.7693338,0.0084841
5,-0.7698131,-0.81538004,"('distant', 'outgoing')",-0.9316614,-0.861737,0.012176685,0.08877812,-0.5630993,-0.5294463,-0.033653
46,-0.766306,-0.56098944,"('uncompetitive', 'competitive')",-0.18336266,-0.14808978,-0.9461742,-0.8553424,-0.6319476,-0.5214739,-0.1104737
