,halliburton_male,halliburton_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-3.04024,-2.8857799,"('unsympathetic', 'sympathetic')",0.81771463,0.8948925,-1.1112627,-0.9954437,-0.115819
86,-2.685132,-2.6719723,"('uninfluential', 'influential')",0.37201223,0.20264868,-1.1565599,-1.2346618,0.0781019
69,2.5046463,2.6314685,"('lazy', 'industrious')",-1.1062942,-1.2554892,0.6991761,0.6879897,0.0111864
35,2.4608777,2.3642485,"('corrupt', 'incorrupt')",-1.7851613,-1.8367367,0.3378582,0.2637559,0.0741023
46,-2.3127692,-2.3703525,"('uncompetitive', 'competitive')",0.77134204,0.6382269,-0.7707136,-0.8660628,0.0953492
55,-2.1473927,-1.9629923,"('incompetent', 'clever')",1.1636443,1.3118874,-0.4918742,-0.3255525,-0.1663217
57,-2.007397,-1.9365864,"('unimaginative', 'imaginative')",-2.3080919,-2.3984013,-2.1577444,-2.1674938,0.0097494
48,-1.8659971,-1.7748317,"('unintelligent', 'intelligent')",0.97762346,0.8967621,-0.4441868,-0.4390348,-0.005152
81,-1.8286359,-1.6491495,"('submissive', 'aggressive')",0.6778023,0.56958264,-0.5754168,-0.5397835,-0.0356333
5,1.8130276,1.6780465,"('distant', 'outgoing')",-0.9918245,-1.0432602,0.4106016,0.3173931,0.0932085
43,-1.7788498,-1.7420388,"('irresponsible', 'responsible')",1.5074027,1.5657253,-0.1357236,-0.0881568,-0.0475668
60,-1.6909591,-1.6761838,"('inefficient', 'efficient')",1.4722245,1.5243005,-0.1093673,-0.0759417,-0.0334256
21,-1.682746,-1.5859056,"('immoral', 'moral')",0.3646639,0.44044292,-0.659041,-0.5727313,-0.0863097
0,-1.6376836,-1.7115868,"('unsociable', 'sociable')",0.577063,0.48059738,-0.5303103,-0.6154947,0.0851844
70,-1.604352,-1.5711575,"('lethargic', 'energetic')",0.95592284,1.0156882,-0.3242146,-0.2777346,-0.04648
73,1.5488564,1.5679232,"('helpless', 'self-reliant')",-2.818093,-2.833903,-0.6346183,-0.6329899,-0.0016284
80,-1.5199,-1.5546749,"('dominated', 'dominating')",-0.114466496,-0.27765417,-0.8171833,-0.9161645,0.0989812
76,-1.4891902,-1.4016923,"('anxious', 'daring')",0.26492593,0.2937649,-0.6121321,-0.5539637,-0.0581684
6,1.4797512,1.4232014,"('distant', 'open')",-0.9490794,-0.9503309,0.2653359,0.2364353,0.0289006
65,-1.419115,-1.3883919,"('insecure', 'secure')",0.32466862,0.49544686,-0.5472232,-0.4464725,-0.1007507
11,-1.417084,-1.4158404,"('unhelpful', 'helpful')",2.7531207,2.8798685,0.6680183,0.7320141,-0.0639958
85,1.2754185,1.2498671,"('insignificant', 'prestigious')",-1.5497497,-1.533737,-0.1371656,-0.1419349,0.0047693
23,-1.2672935,-1.4330331,"('insincere', 'sincere')",5.9363317,6.0680227,2.3345191,2.3174949,0.0170242
75,1.2343723,1.1246376,"('meek', 'impulsive')",-1.0967723,-1.2377461,0.0688,-0.0565543,0.1253543
79,1.1926918,0.9114284,"('wavering', 'unwavering')",-1.0012796,-1.1303036,0.0957061,-0.1094376,0.2051437
62,-1.1811274,-1.314288,"('incompetent', 'brilliant')",1.9666314,1.8645835,0.392752,0.2751477,0.1176043
3,-1.1622605,-1.0842698,"('repellent', 'pleasant')",-0.13079947,0.07809938,-0.64653,-0.5030852,-0.1434448
28,-1.1597787,-1.3766915,"('disloyal', 'loyal')",1.0891343,1.0560862,-0.0353222,-0.1603026,0.1249804
83,-1.1578465,-1.2189511,"('powerless', 'powerful')",-0.51796836,-0.5547544,-0.8379074,-0.8868527,0.0489453
59,1.1567557,1.2077155,"('foolish', 'wise')",-0.5448337,-0.46681482,0.305961,0.3704503,-0.0644893
63,-1.1549053,-1.2575333,"('unperceptive', 'insightful')",1.1870561,1.0984617,0.0160754,-0.0795358,0.0956112
7,-1.1463219,-1.170721,"('insensitive', 'sensitive')",0.83297753,0.8772839,-0.1566722,-0.1467186,-0.0099536
