,emc_male,emc_female,tuple,corp_male,corp_female,ma_male,ma_female,average_male,average_female,male-female
31,-1.7703159,-1.8379136,"('evil', 'good')",-0.1749558,-0.3028626,-0.2127874,-0.40933952,-0.719353,-0.8500385,0.1306855
1,-1.7181702,-1.9970104,"('unfriendly', 'friendly')",-0.14642069,-0.015226819,2.3560474,2.1649914,0.1638188,0.0509181,0.1129007
6,-1.6597093,-1.9480188,"('distant', 'open')",-1.2954632,-1.4485464,0.5558354,0.38923368,-0.799779,-1.0024439,0.2026649
8,-1.652105,-1.7825547,"('unaffectionate', 'affectionate')",-0.14267667,0.011845849,1.5704387,1.5325761,-0.074781,-0.0793776,0.0045966
39,1.390005,1.3505461,"('exploitative', 'cooperative')",0.8180379,1.0095733,-0.24610966,-0.20204432,0.6539777,0.7193584,-0.0653807
62,1.3086017,1.4178808,"('incompetent', 'brilliant')",0.75455713,0.73252916,0.016900698,0.14282402,0.6933533,0.7644113,-0.071058
60,1.2668093,1.1498698,"('inefficient', 'efficient')",-0.46937993,-0.47332105,-0.3701697,-0.4180166,0.1424199,0.0861774,0.0562425
80,1.2663566,1.4031128,"('dominated', 'dominating')",0.07501274,0.13002254,-0.89368373,-0.7663401,0.1492286,0.2555984,-0.1063698
9,-1.1914442,-1.4253461,"('unaffectionate', 'caring')",0.087838225,0.08471819,1.9317951,1.8693032,0.276063,0.1762251,0.0998379
19,-1.1151675,-1.1004758,"('inhospitable', 'hospitable')",-0.76832086,-0.7346768,-0.36958283,-0.44780213,-0.7510238,-0.7609849,0.0099611
5,-1.0995353,-1.4707313,"('distant', 'outgoing')",-0.65374726,-0.92028487,0.06243167,-0.1366094,-0.563617,-0.8425418,0.2789248
73,1.0993481,0.9735635,"('helpless', 'self-reliant')",1.4135334,1.3630658,-3.479729,-3.5654073,-0.3222825,-0.4095926,0.0873101
87,1.0565552,0.93974763,"('unsuccessful', 'successful')",1.876083,1.3957652,0.24139543,0.119841844,1.0580112,0.8184516,0.2395596
