,wachovia_male,wachovia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.8488873,-1.9310837,"('unsympathetic', 'sympathetic')",-0.028103735,-0.072902575,-0.9384955,-1.0019932,0.0634977
77,-1.6661961,-1.8255028,"('unmotivated', 'motivated')",-1.1008269,-1.1981417,-1.3835115,-1.5118222,0.1283107
11,-1.6164633,-1.863922,"('unhelpful', 'helpful')",1.6237922,1.2602725,0.0036644,-0.3018247,0.3054891
86,-1.5397756,-1.5538499,"('uninfluential', 'influential')",-0.13036007,-0.0999569,-0.8350679,-0.8269034,-0.0081645
28,-1.5130845,-1.6267164,"('disloyal', 'loyal')",0.98842597,0.7790979,-0.2623293,-0.4238092,0.1614799
0,-1.3135438,-1.4988064,"('unsociable', 'sociable')",0.010637486,-0.071401566,-0.6514531,-0.785104,0.1336509
81,-1.3131913,-1.4972137,"('submissive', 'aggressive')",-0.4226139,-0.647719,-0.8679026,-1.0724664,0.2045638
23,-1.3094225,-1.5410168,"('insincere', 'sincere')",5.9676857,5.4078484,2.3291316,1.9334158,0.3957158
46,-1.2892241,-1.5177315,"('uncompetitive', 'competitive')",-0.62322605,-0.7558257,-0.9562251,-1.1367786,0.1805535
14,-1.1732373,-1.2344824,"('antisocial', 'social')",0.1467046,0.26726127,-0.5132664,-0.4836106,-0.0296558
21,-1.1719534,-1.2646697,"('immoral', 'moral')",-0.012825897,-0.1610559,-0.5923896,-0.7128628,0.1204732
45,-1.1689214,-1.3896668,"('incompetent', 'competent')",0.12732065,8.986518e-05,-0.5208004,-0.6947885,0.1739881
55,-1.1475809,-1.5045174,"('incompetent', 'clever')",0.9746911,0.6843971,-0.0864449,-0.4100602,0.3236153
57,-1.1474637,-1.0561067,"('unimaginative', 'imaginative')",-2.8134637,-2.5865982,-1.9804637,-1.8213525,-0.1591112
32,-1.1024173,-1.1663486,"('unkind', 'kind')",0.8095832,0.6715844,-0.1464171,-0.2473821,0.100965
43,-1.0555848,-1.1662632,"('irresponsible', 'responsible')",0.531412,0.38406932,-0.2620864,-0.3910969,0.1290105
1,-1.0277531,-0.97871864,"('unfriendly', 'friendly')",0.82967705,0.879635,-0.099038,-0.0495418,-0.0494962
7,-1.0210428,-1.0324523,"('insensitive', 'sensitive')",0.77217776,0.8829171,-0.1244325,-0.0747676,-0.0496649
38,-0.9981409,-1.1520706,"('untruthful', 'truthful')",-0.6834248,-0.8871588,-0.8407828,-1.0196147,0.1788319
60,-0.9750017,-1.5025605,"('inefficient', 'efficient')",0.52933484,0.02549675,-0.2228334,-0.7385319,0.5156985
63,-0.954585,-1.1750549,"('unperceptive', 'insightful')",0.70725113,0.55986404,-0.1236669,-0.3075954,0.1839285
9,-0.95177203,-0.960471,"('unaffectionate', 'caring')",1.1315455,0.9972661,0.0898868,0.0183976,0.0714892
15,0.93594635,0.9862317,"('boring', 'funny')",0.19296646,0.3052834,0.5644564,0.6457576,-0.0813012
53,-0.9320916,-0.927247,"('uncreative', 'creative')",0.057520784,0.04192304,-0.4372854,-0.442662,0.0053766
73,0.931955,0.99469304,"('helpless', 'self-reliant')",-2.8331807,-2.8321872,-0.9506128,-0.9187471,-0.0318657
62,-0.9283952,-1.5236297,"('incompetent', 'brilliant')",0.8002489,0.28255457,-0.0640731,-0.6205375,0.5564644
69,0.9169625,1.3873638,"('lazy', 'industrious')",-1.5780174,-1.1404276,-0.3305274,0.1234681,-0.4539955
52,0.91408074,1.1407514,"('irrational', 'rational')",-0.44987127,-0.26677132,0.2321047,0.43699,-0.2048853
3,-0.8745795,-0.91208804,"('repellent', 'pleasant')",0.9556175,0.8430327,0.040519,-0.0345277,0.0750467
75,0.8443521,0.9334419,"('meek', 'impulsive')",-0.87440485,-0.8576294,-0.0150264,0.0379062,-0.0529326
41,-0.8320306,-0.8236174,"('unforgiving', 'forgiving')",-0.19709821,-0.125606,-0.5145644,-0.4746117,-0.0399527
8,-0.83096135,-0.8570965,"('unaffectionate', 'affectionate')",0.6726836,0.54384315,-0.0791389,-0.1566267,0.0774878
13,-0.8287229,-1.0604832,"('impolite', 'polite')",-0.29656827,-0.5805378,-0.5626456,-0.8205105,0.2578649
33,0.8247262,1.0327657,"('wrong', 'right')",-0.686327,-0.49630934,0.0691996,0.2682282,-0.1990286
56,-0.80924165,-1.2306817,"('impractical', 'practical')",-0.30712044,-0.66966856,-0.558181,-0.9501751,0.3919941
44,0.77628595,0.8719606,"('prejudiced', 'unprejudiced')",-1.5560116,-1.4896922,-0.3898628,-0.3088658,-0.080997
85,0.7197687,1.0757753,"('insignificant', 'prestigious')",-1.3069725,-0.7952434,-0.2936019,0.1402659,-0.4338678
70,-0.7155725,-0.7942832,"('lethargic', 'energetic')",0.65242314,0.5545203,-0.0315747,-0.1198815,0.0883068
4,0.71393317,0.61740106,"('disliked', 'liked')",-7.396452,-7.175019,-3.3412595,-3.2788088,-0.0624507
35,0.71310246,0.9388443,"('corrupt', 'incorrupt')",-1.1263466,-0.899462,-0.2066221,0.0196912,-0.2263133
71,0.6651345,0.6468375,"('diffident', 'self-confident')",0.0762904,0.18980336,0.3707125,0.4183204,-0.0476079
51,-0.6636997,-0.9912285,"('uneducated', 'educated')",0.6636546,0.67079854,-2.25e-05,-0.160215,0.1601925
22,-0.6439864,-0.63271224,"('untrustworthy', 'trustworthy')",-0.31674162,-0.4376508,-0.480364,-0.5351815,0.0548175
65,-0.64216626,-0.8174904,"('insecure', 'secure')",0.3197967,0.08347888,-0.1611848,-0.3670058,0.205821
59,0.6025579,0.8118513,"('foolish', 'wise')",-0.3305855,-0.0982671,0.1359862,0.3567921,-0.2208059
78,-0.5461102,-0.8240441,"('nonresilient', 'resilient')",0.20800284,0.08300453,-0.1690537,-0.3705198,0.2014661
6,0.54419744,0.7137496,"('distant', 'open')",-0.8598906,-0.8178801,-0.1578466,-0.0520653,-0.1057813
47,-0.54207253,-0.55708855,"('stupid', 'smart')",5.1993494,4.919923,2.3286386,2.1814172,0.1472214
12,-0.5406662,-0.61256325,"('unsupportive', 'supportive')",-1.8730955,-1.7845831,-1.2068808,-1.1985731,-0.0083077
