,unum_male,unum_female,tuple,group_male,group_female,average_male,average_female,male-female
46,-2.226266,-2.1819148,"('uncompetitive', 'competitive')",0.15063706,0.33205357,-1.0378144,-0.9249306,-0.1128838
86,-2.195887,-1.882071,"('uninfluential', 'influential')",-0.098132476,0.33662596,-1.1470097,-0.7727225,-0.3742872
53,-1.9482061,-1.9597981,"('uncreative', 'creative')",-0.3200539,-0.50735736,-1.13413,-1.2335777,0.0994477
45,-1.7790241,-1.5469489,"('incompetent', 'competent')",-0.0065182447,0.74411654,-0.8927712,-0.4014162,-0.491355
10,-1.7366385,-2.007298,"('unsympathetic', 'sympathetic')",0.12868688,0.45242694,-0.8039758,-0.7774355,-0.0265403
57,-1.7167189,-1.7047632,"('unimaginative', 'imaginative')",-2.3128483,-2.0102036,-2.0147836,-1.8574834,-0.1573002
0,-1.667468,-1.6543726,"('unsociable', 'sociable')",0.32612458,0.75533,-0.6706717,-0.4495213,-0.2211504
58,-1.4677484,-1.1132467,"('undiscriminating', 'discriminating')",-0.10334267,0.27034062,-0.7855455,-0.421453,-0.3640925
13,-1.4512427,-1.6646276,"('impolite', 'polite')",-0.26056623,0.029198185,-0.8559045,-0.8177147,-0.0381898
82,-1.444625,-1.7401817,"('poor', 'rich')",4.5978622,4.6271844,1.5766187,1.4435014,0.1331173
12,-1.4414225,-1.686679,"('unsupportive', 'supportive')",-1.5747033,-1.4130542,-1.5080628,-1.5498667,0.0418039
11,-1.4260873,-1.6013606,"('unhelpful', 'helpful')",1.1286873,1.4050434,-0.1487,-0.0981586,-0.0505414
55,-1.4178376,-1.3128712,"('incompetent', 'clever')",0.68009067,1.2251012,-0.3688735,-0.043885,-0.3249885
1,-1.3066015,-1.2145697,"('unfriendly', 'friendly')",0.459924,0.6288127,-0.4233388,-0.2928785,-0.1304603
7,-1.2460748,-1.1597975,"('insensitive', 'sensitive')",-0.052093226,0.55620086,-0.649084,-0.3017983,-0.3472857
22,-1.2144672,-1.1288804,"('untrustworthy', 'trustworthy')",-0.6994922,-0.3119256,-0.9569797,-0.720403,-0.2365767
63,-1.1929988,-1.2155718,"('unperceptive', 'insightful')",0.44630516,0.9078922,-0.3733468,-0.1538398,-0.219507
51,-1.1686912,-1.8552334,"('uneducated', 'educated')",0.21217978,0.32203233,-0.4782557,-0.7666005,0.2883448
67,1.1423123,1.2105932,"('doubtful', 'determined')",-0.10470247,-0.015445113,0.5188049,0.5975741,-0.0787692
44,1.1229576,1.3543143,"('prejudiced', 'unprejudiced')",-0.6186112,-0.54179317,0.2521732,0.4062606,-0.1540874
43,-1.0472076,-1.0802412,"('irresponsible', 'responsible')",0.63484156,1.1627957,-0.206183,0.0412772,-0.2474602
78,-1.0468743,-1.1395285,"('nonresilient', 'resilient')",0.5139279,0.39066082,-0.2664732,-0.3744338,0.1079606
39,1.034743,1.1717412,"('exploitative', 'cooperative')",1.195082,1.378232,1.1149125,1.2749866,-0.1600741
9,-1.0072849,-1.0759121,"('unaffectionate', 'caring')",0.38517326,0.5614273,-0.3110558,-0.2572424,-0.0538134
16,-1.0063511,-1.3614327,"('unpopular', 'popular')",-0.13198759,-0.49276572,-0.5691693,-0.9270992,0.3579299
27,-0.97715455,-0.5298679,"('hardhearted', 'softhearted')",0.13962102,0.52464986,-0.4187668,-0.002609,-0.4161578
64,-0.95839345,-0.8030078,"('shy', 'confident')",-4.6259847,-4.5830903,-2.7921891,-2.693049,-0.0991401
68,-0.9535359,-0.83029914,"('dependent', 'independent')",-1.0021819,-0.8024914,-0.9778589,-0.8163953,-0.1614636
87,-0.9494416,-0.56457424,"('unsuccessful', 'successful')",0.47721744,1.0811759,-0.2361121,0.2583008,-0.4944129
8,-0.9395212,-0.67938834,"('unaffectionate', 'affectionate')",-0.06409413,0.05949797,-0.5018077,-0.3099452,-0.1918625
69,0.9135525,1.5418627,"('lazy', 'industrious')",-1.2354534,-1.0736893,-0.1609504,0.2340867,-0.3950371
61,-0.9063567,-1.073859,"('illogical', 'logical')",-0.27426985,0.020970061,-0.5903133,-0.5264444,-0.0638689
70,-0.9051197,-0.77268016,"('lethargic', 'energetic')",0.6990485,1.383946,-0.1030356,0.3056329,-0.4086685
24,-0.9022181,-0.7251628,"('dishonest', 'honest')",0.3195665,0.6164915,-0.2913258,-0.0543357,-0.2369901
48,-0.895894,-0.53243136,"('unintelligent', 'intelligent')",0.34327275,0.5717596,-0.2763106,0.0196641,-0.2959747
23,-0.8365048,-1.1079129,"('insincere', 'sincere')",5.2156844,5.4407043,2.1895897,2.1663957,0.023194
32,-0.8250146,-1.224207,"('unkind', 'kind')",0.9762122,0.92347604,0.0755988,-0.1503655,0.2259643
28,-0.7880216,-0.51201266,"('disloyal', 'loyal')",0.5351378,0.86649686,-0.1264419,0.1772421,-0.303684
85,0.75996375,0.26051772,"('insignificant', 'prestigious')",-0.48685253,-1.0920879,0.1365556,-0.4157851,0.5523407
62,-0.7589425,-0.4532715,"('incompetent', 'brilliant')",0.5352243,1.1378039,-0.1118591,0.3422662,-0.4541253
25,0.7361906,0.3102509,"('egoistic', 'altruistic')",0.60859174,0.07936343,0.6723912,0.1948072,0.477584
37,-0.7102557,0.10076325,"('fake', 'genuine')",-0.4313241,0.48263732,-0.5707899,0.2917003,-0.8624902
29,-0.70405525,-1.0553969,"('unfair', 'fair')",-0.9001002,-0.8709403,-0.8020777,-0.9631686,0.1610909
50,-0.64400756,-0.2548537,"('clumsy', 'skillful')",-0.958872,-0.5584409,-0.8014398,-0.4066473,-0.3947925
72,-0.61956453,-0.4172272,"('unambitious', 'ambitious')",-0.11658594,0.2287395,-0.3680753,-0.0942439,-0.2738314
77,-0.6188503,-1.2065889,"('unmotivated', 'motivated')",-0.3195928,-0.65874225,-0.4692215,-0.9326656,0.4634441
40,-0.5971974,0.104028985,"('stingy', 'generous')",-1.9222323,-1.5653872,-1.2597148,-0.7306792,-0.5290356
19,-0.5907057,-0.9527984,"('inhospitable', 'hospitable')",-1.4176941,-1.568518,-1.0041999,-1.2606583,0.2564584
60,-0.5593738,-0.64154047,"('inefficient', 'efficient')",1.0886229,1.6375097,0.2646246,0.4979846,-0.23336
26,0.5278869,1.0129582,"('hardhearted', 'benevolent')",1.0554988,1.2624457,0.7916929,1.137702,-0.3460091
21,-0.5213768,-1.1541215,"('immoral', 'moral')",0.24217704,0.2033221,-0.1395999,-0.4753997,0.3357998
38,-0.5085261,-1.0785075,"('untruthful', 'truthful')",-0.19452555,-0.46110624,-0.3515258,-0.7698069,0.4182811
65,-0.48552012,-0.4191128,"('insecure', 'secure')",0.62839425,0.90590644,0.0714371,0.2433968,-0.1719597
15,0.47916558,0.40401614,"('boring', 'funny')",-0.44831133,-0.48207518,0.0154271,-0.0390295,0.0544566
35,0.4693676,0.62523943,"('corrupt', 'incorrupt')",-1.3273243,-1.5953605,-0.4289783,-0.4850605,0.0560822
81,0.44626328,0.28666908,"('submissive', 'aggressive')",1.3702493,1.4225,0.9082563,0.8545846,0.0536717
73,0.42956552,0.6015394,"('helpless', 'self-reliant')",-3.6319008,-3.284252,-1.6011677,-1.3413563,-0.2598114
