,walmart_male,walmart_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-2.0311928,-1.9077644,"('unimaginative', 'imaginative')",-3.1528802,-2.7986662,-2.5920365,-2.3532152,-0.2388213
10,-1.4640975,-1.4434047,"('unsympathetic', 'sympathetic')",0.11484969,0.42131472,-0.6746239,-0.511045,-0.1635789
22,-1.376962,-1.1498585,"('untrustworthy', 'trustworthy')",-0.9164071,-0.8337831,-1.1466845,-0.9918208,-0.1548637
71,1.1902558,1.1427625,"('diffident', 'self-confident')",0.4002297,0.49219918,0.7952427,0.8174809,-0.0222382
88,-1.1861918,-0.8504462,"('low', 'eminent')",0.3963566,0.4243115,-0.3949176,-0.2130674,-0.1818502
86,-1.1439655,-0.9782893,"('uninfluential', 'influential')",-0.026568517,0.3634912,-0.585267,-0.307399,-0.277868
14,-1.0269138,-1.0285213,"('antisocial', 'social')",-0.52659816,-0.33526012,-0.7767559,-0.6818907,-0.0948652
64,-1.0007689,-0.9971035,"('shy', 'confident')",-6.747199,-6.557653,-3.8739839,-3.7773783,-0.0966056
45,-0.903172,-0.93000865,"('incompetent', 'competent')",-0.005641572,0.1645883,-0.4544068,-0.3827102,-0.0716966
70,-0.8563736,-0.87664217,"('lethargic', 'energetic')",0.9268318,1.2371691,0.0352291,0.1802635,-0.1450344
3,-0.8150745,-0.9053151,"('repellent', 'pleasant')",0.104836866,0.18700767,-0.3551188,-0.3591537,0.0040349
81,-0.79453486,-0.9375495,"('submissive', 'aggressive')",-0.30537862,-0.05235701,-0.5499567,-0.4949532,-0.0550035
75,-0.77381766,-0.66237634,"('meek', 'impulsive')",-0.59138614,-0.4831122,-0.6826019,-0.5727443,-0.1098576
21,-0.76295316,-0.7685584,"('immoral', 'moral')",-0.2742054,-0.24594179,-0.5185792,-0.5072501,-0.0113291
17,-0.7507602,-0.40884638,"('nasty', 'nice')",-0.9828734,-0.7788836,-0.8668168,-0.593865,-0.2729518
39,0.7053989,0.4882833,"('exploitative', 'cooperative')",-0.3013732,-0.3054242,0.2020129,0.0914295,0.1105834
31,-0.69373584,-0.20218615,"('evil', 'good')",-1.264745,-1.3893118,-0.9792404,-0.7957489,-0.1834915
52,-0.69000447,-0.53700113,"('irrational', 'rational')",-0.60434717,-0.9234325,-0.6471758,-0.7302169,0.0830411
73,0.63842136,0.7291034,"('helpless', 'self-reliant')",-3.6614428,-3.6890132,-1.5115107,-1.479955,-0.0315557
5,0.6217783,0.81761914,"('distant', 'outgoing')",-0.113138236,-0.33532453,0.25432,0.2411473,0.0131727
69,0.6014943,0.64241326,"('lazy', 'industrious')",-0.74823046,-0.8770953,-0.0733681,-0.117341,0.0439729
18,-0.57841194,-0.3222785,"('disagreeable', 'welcoming')",-0.24673834,-0.4161815,-0.4125751,-0.36923,-0.0433451
60,0.5642628,0.20933077,"('inefficient', 'efficient')",0.68584716,0.9271521,0.625055,0.5682414,0.0568136
34,0.56022096,0.5529689,"('mean', 'honorable')",6.5283074,6.4950957,3.5442643,3.5240324,0.0202319
68,-0.553987,-0.74165535,"('dependent', 'independent')",0.14887434,-0.0909859,-0.2025563,-0.4163206,0.2137643
84,0.537569,0.39426154,"('inferior', 'superior')",0.97858685,0.7250873,0.7580779,0.5596744,0.1984035
72,-0.534566,-0.6961466,"('unambitious', 'ambitious')",-0.65005684,-0.6901087,-0.5923114,-0.6931276,0.1008162
16,0.5323261,0.42738667,"('unpopular', 'popular')",0.6360248,0.48929304,0.5841755,0.4583399,0.1258356
77,-0.5256329,-1.0940903,"('unmotivated', 'motivated')",-0.8357062,-0.9539582,-0.6806695,-1.0240242,0.3433547
51,-0.5233797,-0.45720485,"('uneducated', 'educated')",1.2574515,1.5234672,0.3670359,0.5331312,-0.1660953
65,-0.51693094,-0.68884706,"('insecure', 'secure')",0.1269165,0.059984144,-0.1950072,-0.3144315,0.1194243
