,time_male,time_female,tuple,warner_male,warner_female,inc_male,inc_female,average_male,average_female,male-female
85,2.1784043,2.0174673,"('insignificant', 'prestigious')",1.8621387,1.7871468,0.10100706,0.48489028,1.3805167,1.4298348,-0.0493181
83,1.9710219,1.8927932,"('powerless', 'powerful')",0.118755445,-0.13986364,-0.44502345,-0.62527007,0.5482513,0.3758865,0.1723648
36,1.86236,1.4768876,"('hostile', 'amicable')",2.0183642,1.7614502,-0.09638432,-0.13462028,1.2614466,1.0345725,0.2268741
45,-1.8214982,-1.8539339,"('incompetent', 'competent')",-1.8380007,-1.9609172,-0.28341925,-0.3673163,-1.3143059,-1.3940558,0.0797499
46,-1.7895758,-1.7561321,"('uncompetitive', 'competitive')",-1.6196219,-1.5256553,0.61871684,0.22987086,-0.9301604,-1.0173055,0.0871451
70,-1.6240911,-1.5636468,"('lethargic', 'energetic')",-1.806712,-1.7596779,0.9780553,0.8727843,-0.8175827,-0.8168468,-0.0007359
71,1.6056494,1.6031848,"('diffident', 'self-confident')",1.3431203,1.394834,0.36280844,0.51233685,1.1038593,1.1701185,-0.0662592
3,-1.6019856,-1.4447412,"('repellent', 'pleasant')",-1.3797116,-1.2830147,0.113365725,0.06650246,-0.9561105,-0.8870845,-0.069026
15,1.5512104,1.3854805,"('boring', 'funny')",1.8333837,1.6284094,0.080811195,0.13749889,1.1551351,1.0504629,0.1046722
59,1.3303658,1.2325996,"('foolish', 'wise')",1.1241987,1.0966408,0.05026673,0.2903878,0.8349438,0.8732094,-0.0382656
9,1.3292006,1.2216189,"('unaffectionate', 'caring')",1.3140004,1.2945609,0.4830357,0.7330557,1.0420789,1.0830785,-0.0409996
10,-1.2782254,-1.2882926,"('unsympathetic', 'sympathetic')",-1.570284,-1.5949563,0.33051932,0.12952895,-0.83933,-0.9179066,0.0785766
73,1.2741399,1.3069957,"('helpless', 'self-reliant')",0.278043,0.26307598,-3.1517608,-3.1777914,-0.5331926,-0.5359066,0.002714
88,1.2578912,1.3316413,"('low', 'eminent')",-0.37157148,-0.42530593,0.52229375,0.38367766,0.4695378,0.4300044,0.0395334
33,1.2457677,1.1366166,"('wrong', 'right')",0.9336975,0.7495298,-1.0090501,-0.82326406,0.3901384,0.3542941,0.0358443
60,-1.2457223,-0.8619029,"('inefficient', 'efficient')",-1.1476548,-0.7826721,0.54231244,0.6064088,-0.6170216,-0.3460554,-0.2709662
35,1.2114242,1.0418755,"('corrupt', 'incorrupt')",1.2929076,1.3072736,-0.47934532,-0.4029926,0.6749955,0.6487189,0.0262766
64,-1.1875268,-1.1000521,"('shy', 'confident')",-1.4886211,-1.6180241,-5.158917,-5.6191134,-2.6116883,-2.7790632,0.1673749
57,-1.1621732,-1.2953882,"('unimaginative', 'imaginative')",-1.2296335,-1.3257818,-1.7756987,-2.2230778,-1.3891684,-1.6147493,0.2255809
69,1.1485592,0.89102197,"('lazy', 'industrious')",2.3748534,2.3065858,-0.49105382,-0.3098872,1.0107863,0.9625735,0.0482128
22,-1.1425331,-1.1633936,"('untrustworthy', 'trustworthy')",-1.2524668,-1.373459,-1.0419517,-1.1719228,-1.1456505,-1.2362585,0.090608
49,-1.1121789,-0.86934155,"('unable', 'able')",-0.1826694,0.028941803,-0.48818612,-0.06972174,-0.5943448,-0.3033738,-0.290971
65,-1.111406,-0.9200498,"('insecure', 'secure')",-0.80718964,-0.7271758,-0.14070326,-0.07429044,-0.6864329,-0.5738387,-0.1125942
43,-1.0962753,-0.89153206,"('irresponsible', 'responsible')",-1.3865594,-0.9848637,0.70869464,0.7910644,-0.59138,-0.3617771,-0.2296029
0,-1.0844501,-1.1377676,"('unsociable', 'sociable')",-0.71859014,-0.9215897,-0.5501758,-0.5460717,-0.7844054,-0.8684763,0.0840709
55,-1.0287482,-0.9450769,"('incompetent', 'clever')",-1.2427719,-1.2067072,0.0025133304,0.06044907,-0.7563356,-0.6971117,-0.0592239
48,1.0019523,1.1389891,"('unintelligent', 'intelligent')",0.4599676,0.50785726,0.8338289,0.88026154,0.7652496,0.8423692,-0.0771196
81,-0.9993934,-0.8347782,"('submissive', 'aggressive')",-1.9398636,-1.9988337,-0.40438294,-0.56129676,-1.1145466,-1.1316362,0.0170896
26,0.9328973,0.6603463,"('hardhearted', 'benevolent')",2.0698047,1.6150063,1.4765142,1.2217798,1.493072,1.1657108,0.3273612
