,halliburton_male,halliburton_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-3.2053607,-2.8741117,"('unsympathetic', 'sympathetic')",0.66165227,0.9464948,-1.2718542,-0.9638084,-0.3080458
35,3.1467118,2.7755413,"('corrupt', 'incorrupt')",-0.95464796,-1.3042896,1.0960319,0.7356259,0.360406
60,-2.8662992,-2.7283654,"('inefficient', 'efficient')",0.16494915,0.36143276,-1.350675,-1.1834663,-0.1672087
69,2.7256567,2.329774,"('lazy', 'industrious')",-0.8376473,-1.1355788,0.9440047,0.5970976,0.3469071
86,-2.6900074,-2.6707253,"('uninfluential', 'influential')",0.6444715,0.44186616,-1.022768,-1.1144296,0.0916616
46,-2.5834029,-2.3257542,"('uncompetitive', 'competitive')",0.39816168,0.45721292,-1.0926206,-0.9342706,-0.15835
21,-2.462963,-2.300083,"('immoral', 'moral')",-0.34907126,-0.20953429,-1.4060172,-1.2548087,-0.1512085
43,-2.354847,-2.140394,"('irresponsible', 'responsible')",0.9483308,1.1724888,-0.703258,-0.4839526,-0.2193054
48,-2.231524,-2.0825408,"('unintelligent', 'intelligent')",0.2604448,0.16478409,-0.9855396,-0.9588783,-0.0266613
81,-2.221213,-2.062649,"('submissive', 'aggressive')",-0.015595287,0.18247148,-1.1184042,-0.9400887,-0.1783155
55,-2.1772065,-1.9557017,"('incompetent', 'clever')",0.7188666,0.796828,-0.72917,-0.5794369,-0.1497331
62,-2.0452201,-1.9250629,"('incompetent', 'brilliant')",0.58357066,0.7554692,-0.7308247,-0.5847968,-0.1460279
11,-2.0395741,-1.8815036,"('unhelpful', 'helpful')",1.9146624,2.077236,-0.0624559,0.0978662,-0.1603221
85,1.9641263,1.5841811,"('insignificant', 'prestigious')",-0.8696024,-1.241548,0.547262,0.1713166,0.3759454
13,-1.8550373,-1.6121784,"('impolite', 'polite')",-0.25764763,-0.027024403,-1.0563425,-0.8196014,-0.2367411
76,-1.8531615,-1.6349928,"('anxious', 'daring')",-0.3623394,-0.14237246,-1.1077504,-0.8886827,-0.2190677
79,1.791322,1.5278026,"('wavering', 'unwavering')",-0.49886888,-0.59544647,0.6462265,0.4661781,0.1800484
23,-1.7861252,-1.6531183,"('insincere', 'sincere')",5.332457,5.6677766,1.7731659,2.0073292,-0.2341633
65,-1.782195,-1.5307128,"('insecure', 'secure')",0.14251989,0.36235407,-0.8198376,-0.5841794,-0.2356582
36,1.7479079,1.4265676,"('hostile', 'amicable')",-0.70979434,-1.0211401,0.5190568,0.2027137,0.3163431
0,-1.7462262,-1.7571561,"('unsociable', 'sociable')",0.5664953,0.6005462,-0.5898654,-0.578305,-0.0115604
