,dynegy_male,dynegy_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.5205338,-2.4277613,"('unsympathetic', 'sympathetic')",-0.9361867,-0.7027344,-1.7283602,-1.5652479,-0.1631123
86,-2.072913,-2.1234503,"('uninfluential', 'influential')",-0.2793481,-0.4701331,-1.1761305,-1.2967917,0.1206612
53,-1.6171008,-1.5571289,"('uncreative', 'creative')",0.77159697,0.5676477,-0.4227519,-0.4947406,0.0719887
45,-1.5794601,-1.2214851,"('incompetent', 'competent')",-0.8773968,-0.7325134,-1.2284285,-0.9769993,-0.2514292
23,-1.5174533,-1.1886486,"('insincere', 'sincere')",4.758849,4.893873,1.620698,1.8526123,-0.2319143
24,-1.4711347,-1.3160818,"('dishonest', 'honest')",0.16347611,0.28307638,-0.6538293,-0.5165027,-0.1373266
57,-1.448172,-1.416846,"('unimaginative', 'imaginative')",-2.561128,-2.4649835,-2.0046499,-1.9409148,-0.0637351
13,-1.4359328,-0.8879558,"('impolite', 'polite')",-1.0823694,-0.75407964,-1.2591511,-0.8210177,-0.4381334
28,-1.3998235,-1.4606658,"('disloyal', 'loyal')",0.5390403,0.3497955,-0.4303916,-0.5554352,0.1250436
1,-1.3423538,-1.6190877,"('unfriendly', 'friendly')",2.1490836,1.4120598,0.4033649,-0.103514,0.5068789
7,-1.3120995,-1.0931066,"('insensitive', 'sensitive')",0.29271978,0.33812997,-0.5096898,-0.3774883,-0.1322015
9,-1.2844607,-1.4121107,"('unaffectionate', 'caring')",1.1917725,0.69665056,-0.0463441,-0.3577301,0.311386
51,-1.2834486,-1.041432,"('uneducated', 'educated')",0.2935765,0.3593181,-0.494936,-0.3410569,-0.1538791
0,-1.2538968,-1.2551728,"('unsociable', 'sociable')",-0.6796852,-0.7113405,-0.966791,-0.9832567,0.0164657
69,1.2272,1.2565165,"('lazy', 'industrious')",0.16027287,-0.08529532,0.6937364,0.5856106,0.1081258
70,-1.2075105,-0.84193414,"('lethargic', 'energetic')",-0.122659296,0.20016092,-0.6650849,-0.3208866,-0.3441983
65,-1.1447551,-0.8950745,"('insecure', 'secure')",-0.88958144,-0.36703506,-1.0171683,-0.6310548,-0.3861135
38,-1.1365104,-0.7368696,"('untruthful', 'truthful')",-0.18147245,-0.01732704,-0.6589914,-0.3770983,-0.2818931
73,1.1223854,1.3237028,"('helpless', 'self-reliant')",-2.7152362,-2.5151608,-0.7964254,-0.595729,-0.2006964
