,medtronic_male,medtronic_female,tuple,plc_male,plc_female,average_male,average_female,male-female
10,-1.8113946,-1.7648692,"('unsympathetic', 'sympathetic')",-0.6517932,-0.6082816,-1.2315938,-1.1865754,-0.0450184
69,1.5051149,1.5035701,"('lazy', 'industrious')",0.2904113,0.15835078,0.8977631,0.8309605,0.0668026
53,-1.497622,-1.5059017,"('uncreative', 'creative')",0.88099617,0.75732005,-0.3083129,-0.3742908,0.0659779
86,-1.198467,-1.1931989,"('uninfluential', 'influential')",0.3996443,0.29826415,-0.3994114,-0.4474674,0.048056
71,1.1924831,1.3000985,"('diffident', 'self-confident')",0.3936965,0.33063936,0.7930897,0.815369,-0.0222793
3,-1.184869,-1.1616805,"('repellent', 'pleasant')",-0.5325026,-0.3407452,-0.8586859,-0.7512128,-0.1074731
70,-1.1348459,-1.0684078,"('lethargic', 'energetic')",0.066925764,0.024540137,-0.53396,-0.5219338,-0.0120262
7,-1.0735673,-1.0232066,"('insensitive', 'sensitive')",0.09253401,0.07237414,-0.4905166,-0.4754162,-0.0151004
23,-1.0363257,-0.97003216,"('insincere', 'sincere')",3.9711595,4.315694,1.4674169,1.6728308,-0.2054139
46,-1.0199884,-1.0192726,"('uncompetitive', 'competitive')",-0.7030573,-0.85827965,-0.8615229,-0.9387761,0.0772532
8,-1.0165793,-1.0328087,"('unaffectionate', 'affectionate')",0.8148804,0.6797915,-0.1008494,-0.1765086,0.0756592
63,-0.9965254,-0.9659705,"('unperceptive', 'insightful')",1.0291166,0.80959636,0.0162956,-0.0781871,0.0944827
1,-0.99321735,-1.0349673,"('unfriendly', 'friendly')",1.9973594,1.6623148,0.502071,0.3136737,0.1883973
54,-0.9898692,-1.0129371,"('incapable', 'capable')",0.9637659,1.0060248,-0.0130516,-0.0034561,-0.0095955
82,-0.91220134,-0.780185,"('poor', 'rich')",5.2303696,5.5294614,2.1590841,2.3746381,-0.215554
28,-0.87637633,-0.85720366,"('disloyal', 'loyal')",0.7979262,0.7349266,-0.0392251,-0.0611385,0.0219134
55,-0.860592,-0.8336384,"('incompetent', 'clever')",-0.2631188,-0.12580091,-0.5618554,-0.4797197,-0.0821357
