,m&t_male,m&t_female,tuple,bank_male,bank_female,corp_male,corp_female,average_male,average_female,male-female
8,-1.8640684,-2.2112918,"('unaffectionate', 'affectionate')",0.19386022,0.19509085,0.57738566,0.3756291,-0.3642742,-0.5468573,0.1825831
73,1.7626911,1.8146634,"('helpless', 'self-reliant')",0.8836206,0.85393083,1.4864218,1.5972508,1.3775778,1.4219484,-0.0443706
4,1.705518,1.7145673,"('disliked', 'liked')",0.99599254,1.0143486,0.8719416,0.8619884,1.1911507,1.1969681,-0.0058174
51,1.599907,1.4328196,"('uneducated', 'educated')",0.29314426,0.05321441,0.0029396936,-0.11290609,0.631997,0.4577093,0.1742877
1,-1.5483471,-1.4665464,"('unfriendly', 'friendly')",-0.6698148,-0.54699904,-0.43366927,-0.773323,-0.8839438,-0.9289562,0.0450124
59,1.5230432,1.5876586,"('foolish', 'wise')",1.7350447,1.724565,0.90438133,0.8251704,1.3874898,1.3791313,0.0083585
24,-1.4956139,-1.4165964,"('dishonest', 'honest')",-1.0453598,-1.0453299,0.45129782,0.54410386,-0.6965586,-0.6392742,-0.0572844
85,1.340296,1.1056389,"('insignificant', 'prestigious')",2.6907537,2.6347232,1.481062,1.2140832,1.8373706,1.6514818,0.1858888
22,-1.3121704,-1.1407077,"('untrustworthy', 'trustworthy')",-0.57339853,-0.50859565,-0.67358446,-0.47700602,-0.8530511,-0.7087698,-0.1442813
3,1.2813227,1.6104785,"('repellent', 'pleasant')",-1.5273625,-1.5092843,-1.0852416,-0.9740186,-0.4437604,-0.2909414,-0.152819
28,-1.2558848,-1.1799661,"('disloyal', 'loyal')",-0.9299798,-0.8305861,-0.7919419,-0.65342295,-0.9926021,-0.8879917,-0.1046104
65,-1.2404364,-1.1614461,"('insecure', 'secure')",-1.4191918,-1.5552897,-1.2959455,-1.1344736,-1.3185247,-1.2837365,-0.0347882
53,-1.2377514,-0.9703814,"('uncreative', 'creative')",-0.3648911,-0.11208727,-1.6958526,-1.4965031,-1.0994984,-0.8596573,-0.2398411
10,-1.2354769,-1.1851486,"('unsympathetic', 'sympathetic')",-2.1791663,-2.2039654,-0.79043055,-0.6132585,-1.4016913,-1.3341241,-0.0675672
48,-1.2196159,-1.3020842,"('unintelligent', 'intelligent')",-1.4039652,-1.432519,-1.7562267,-1.8059795,-1.459936,-1.5135276,0.0535916
