,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,male-female
69,3.547882,3.5351746,"('lazy', 'industrious')",2.7338357,2.9247584,1.995958,1.9852319,-0.82274014,-1.1146138,1.8637339,1.832638,0.0310959
10,-3.4470398,-3.6190996,"('unsympathetic', 'sympathetic')",-2.1096513,-2.4893634,-1.2802968,-1.4556427,0.34497377,0.59180003,-1.6230036,-1.7430764,0.1200728
35,3.0253017,3.101948,"('corrupt', 'incorrupt')",1.8078536,2.0714023,1.1116418,1.0847628,-0.5631077,-0.81185377,1.3454223,1.3615648,-0.0161425
55,-2.8647954,-2.8980637,"('incompetent', 'clever')",-1.7839175,-2.0611024,-2.0911486,-1.9994261,0.61956704,0.83812594,-1.5300736,-1.5301166,4.3e-05
23,-2.7908864,-2.8587081,"('insincere', 'sincere')",-2.540712,-2.675372,-0.52255136,-0.6236842,5.8120227,5.9923124,-0.0105318,-0.041363,0.0308312
60,-2.7357836,-2.6297586,"('inefficient', 'efficient')",-1.9628001,-2.124316,-0.98840564,-0.8458305,0.13504425,0.49390966,-1.3879863,-1.2764988,-0.1114875
45,-2.6672213,-2.784442,"('incompetent', 'competent')",-1.9001523,-2.1094587,-1.2115463,-1.2495477,-0.3874894,-0.17358501,-1.5416024,-1.5792584,0.037656
86,-2.6092231,-2.7614393,"('uninfluential', 'influential')",-1.14538,-1.4463056,-0.56562203,-0.64019257,-0.18771768,-0.11709172,-1.1269858,-1.2412573,0.1142715
46,-2.4783444,-2.526623,"('uncompetitive', 'competitive')",-0.41969624,-0.73722845,-0.63586235,-0.7219605,-0.3327352,-0.032776594,-0.9666596,-1.0046471,0.0379875
62,-2.4713624,-2.4297478,"('incompetent', 'brilliant')",-2.0747259,-2.150021,-0.9830476,-0.8878519,0.10919675,0.42836088,-1.3549848,-1.259815,-0.0951698
43,-2.4680173,-2.6077535,"('irresponsible', 'responsible')",-2.349794,-2.5455017,-0.28767666,-0.3525984,0.689085,0.91008836,-1.1041007,-1.1489413,0.0448406
28,-2.380538,-2.4722462,"('disloyal', 'loyal')",-1.8400141,-2.1288683,-1.3245947,-1.4099487,0.3525675,0.3681275,-1.2981448,-1.4107339,0.1125891
85,2.2954383,2.0680945,"('insignificant', 'prestigious')",2.3732004,2.4304311,3.0215256,2.7796078,-0.603705,-1.0154263,1.7716149,1.5656768,0.2059381
0,-2.2905335,-2.4354403,"('unsociable', 'sociable')",-0.7711698,-0.96514726,-0.39366964,-0.5069923,0.084599696,0.21257634,-0.8426933,-0.9237509,0.0810576
36,2.2449102,2.0224187,"('hostile', 'amicable')",1.7500279,1.6836407,2.579888,2.3180175,-0.21323693,-0.60981584,1.5903974,1.3535652,0.2368322
21,-2.168607,-2.0875053,"('immoral', 'moral')",-1.2820178,-1.4303648,-1.7044443,-1.682542,-0.6649315,-0.44368994,-1.4550002,-1.4110255,-0.0439747
81,-2.164992,-2.1340234,"('submissive', 'aggressive')",-1.3661265,-1.4829065,-2.17738,-2.0869315,-0.6706773,-0.40465218,-1.594794,-1.5271283,-0.0676657
72,-2.1204867,-2.179801,"('unambitious', 'ambitious')",-1.4024295,-1.4257507,-0.4076978,-0.27893916,-1.1227825,-1.0234038,-1.2633491,-1.2269737,-0.0363754
