,travel_male,travel_female,tuple,&_male,&_female,leisure_male,leisure_female,co_male,co_female,average_male,average_female,male-female
71,2.1560078,2.013108,"('diffident', 'self-confident')",1.0601245,0.48268107,1.8369552,1.4540507,0.51369154,0.3330725,1.3916947,1.0707281,0.3209666
73,1.889817,1.8951114,"('helpless', 'self-reliant')",1.0488108,0.9436842,1.3466419,1.1355791,-3.279015,-3.1834621,0.2515637,0.1977282,0.0538355
42,1.800683,1.7328445,"('unreliable', 'reliable')",1.3969849,1.689716,0.8473271,1.0645547,-2.185001,-2.1945746,0.4649986,0.5731351,-0.1081365
14,1.7700868,1.5872226,"('antisocial', 'social')",0.51185846,0.7950847,1.6739206,2.0312586,0.23873147,-0.12718219,1.0486493,1.0715959,-0.0229466
56,1.7284939,1.6098609,"('impractical', 'practical')",-0.121104024,0.2571301,1.6063594,1.9644536,0.4439861,0.09946303,0.9144339,0.9827269,-0.068293
43,1.5849124,1.4609944,"('irresponsible', 'responsible')",0.17686415,0.6625128,0.82221574,1.0242289,1.1950454,0.8924411,0.9447594,1.0100443,-0.0652849
1,1.5380169,1.2294936,"('unfriendly', 'friendly')",0.26597613,-0.5575275,1.1177257,0.19934706,1.5104264,1.0159072,1.1080363,0.4718051,0.6362312
26,1.3118906,1.0034283,"('hardhearted', 'benevolent')",1.4403998,0.8809045,1.0972517,0.84258336,1.4228808,1.300536,1.3181057,1.0068631,0.3112426
30,1.2914175,1.2099793,"('intolerant', 'tolerant')",-0.14751898,0.32514113,1.0262737,1.2279804,0.5822245,0.62557656,0.6880991,0.8471693,-0.1590702
12,1.2785463,1.0822451,"('unsupportive', 'supportive')",0.463552,0.5319642,1.5156605,1.5602988,-1.6033647,-1.7299494,0.4135985,0.3611397,0.0524588
87,1.2543342,1.2333997,"('unsuccessful', 'successful')",0.8098942,0.80184966,1.4978855,1.646236,0.7982443,0.58518285,1.0900896,1.0666671,0.0234225
31,-1.2378094,-1.4107025,"('evil', 'good')",0.044750072,-0.5502207,-0.41685963,-1.0686221,-0.9872595,-1.2910936,-0.6492946,-1.0801597,0.4308651
2,1.2214653,1.2942888,"('unlikable', 'likable')",1.4284669,1.5792004,1.0936103,1.2047961,0.9034043,1.0990069,1.1617367,1.294323,-0.1325863
9,1.2147592,1.2046138,"('unaffectionate', 'caring')",-0.54238373,-1.0586314,1.4058952,1.1659434,0.9307494,0.76392114,0.752255,0.5189617,0.2332933
0,1.2137473,1.0888131,"('unsociable', 'sociable')",-0.15225008,-0.02898424,1.3426017,1.3769153,0.37683547,0.010948427,0.6952336,0.6119232,0.0833104
33,1.1980939,1.2968694,"('wrong', 'right')",0.00051546097,-0.15029493,0.90518796,0.8347869,-1.1560447,-1.0489057,0.2369382,0.2331139,0.0038243
58,1.1381804,1.1102203,"('undiscriminating', 'discriminating')",-0.061751686,-0.17511849,1.1175466,1.292541,0.32263386,0.34152257,0.6291523,0.6422913,-0.013139
49,-1.0968428,-1.0568997,"('unable', 'able')",-0.20290294,-0.16196191,0.30120274,0.34375164,-0.018674318,-0.1350075,-0.2543043,-0.2525294,-0.0017749
