,dynegy_male,dynegy_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.2468917,-2.2631826,"('unsympathetic', 'sympathetic')",-0.6843774,-0.6755739,-1.4656346,-1.4693782,0.0037436
86,-2.0409553,-2.2913513,"('uninfluential', 'influential')",-0.3882106,-0.67725,-1.2145829,-1.4843006,0.2697177
53,-1.8277841,-1.8754406,"('uncreative', 'creative')",0.66466594,0.692946,-0.5815591,-0.5912473,0.0096882
1,-1.7715747,-1.9152118,"('unfriendly', 'friendly')",1.8748053,1.7909023,0.0516153,-0.0621548,0.1137701
57,-1.7296168,-1.678241,"('unimaginative', 'imaginative')",-2.7882292,-2.9309695,-2.2589231,-2.3046052,0.0456821
9,-1.6493769,-1.6341928,"('unaffectionate', 'caring')",1.2399632,1.378559,-0.2047068,-0.1278169,-0.0768899
36,-1.4547576,-1.5050511,"('hostile', 'amicable')",-0.06989565,0.06708877,-0.7623266,-0.7189812,-0.0433454
24,-1.3147105,-1.2905977,"('dishonest', 'honest')",0.5444141,0.73291016,-0.3851482,-0.2788438,-0.1063044
8,-1.3136927,-1.3634951,"('unaffectionate', 'affectionate')",0.895963,1.0665566,-0.2088648,-0.1484693,-0.0603955
25,-1.2992057,-1.088923,"('egoistic', 'altruistic')",1.2640805,1.2467328,-0.0175626,0.0789049,-0.0964675
66,-1.2707798,-0.743045,"('inactive', 'active')",0.37783718,0.7192522,-0.4464713,-0.0118964,-0.4345749
28,-1.1597567,-1.3145937,"('disloyal', 'loyal')",0.72382,0.6012282,-0.2179683,-0.3566827,0.1387144
45,-1.0148929,-1.0797889,"('incompetent', 'competent')",-0.4923845,-0.54301727,-0.7536387,-0.8114031,0.0577644
73,1.0006407,0.9924142,"('helpless', 'self-reliant')",-2.7648494,-2.7523468,-0.8821043,-0.8799663,-0.002138
0,-0.98882174,-1.224186,"('unsociable', 'sociable')",-0.4384461,-0.8596805,-0.7136339,-1.0419332,0.3282993
61,-0.9863752,-0.9787888,"('illogical', 'logical')",-0.085650146,-0.050201997,-0.5360126,-0.5144954,-0.0215172
7,-0.9816294,-0.9732396,"('insensitive', 'sensitive')",0.47394478,0.49627566,-0.2538423,-0.238482,-0.0153603
54,-0.94373554,-0.9319045,"('incapable', 'capable')",1.2360101,1.6089363,0.1461373,0.3385159,-0.1923786
72,-0.92719,-0.80126125,"('unambitious', 'ambitious')",-0.6369201,-0.5139357,-0.782055,-0.6575985,-0.1244565
22,-0.9154422,-0.5993565,"('untrustworthy', 'trustworthy')",-1.1690495,-0.8153504,-1.0422459,-0.7073535,-0.3348924
38,-0.8894679,-1.0089891,"('untruthful', 'truthful')",0.23166206,0.411043,-0.3289029,-0.2989731,-0.0299298
74,-0.8494994,-0.74261,"('undedicated', 'dedicated')",-0.45593897,-0.5820012,-0.6527192,-0.6623056,0.0095864
31,-0.84855556,-0.69389033,"('evil', 'good')",-0.9392419,-0.7857684,-0.8938987,-0.7398294,-0.1540693
79,-0.84256864,-0.93872505,"('wavering', 'unwavering')",0.027521547,0.22843847,-0.4075235,-0.3551433,-0.0523802
