,boeing_male,boeing_female,tuple,co_male,co_female,average_male,average_female,male-female
71,1.7186983,1.6284757,"('diffident', 'self-confident')",0.13074327,0.026725534,0.9247208,0.8276006,0.0971202
44,-1.6649777,-2.0563757,"('prejudiced', 'unprejudiced')",-1.616945,-1.8731081,-1.6409614,-1.9647419,0.3237805
26,1.5785208,1.718451,"('hardhearted', 'benevolent')",0.89975476,0.97664225,1.2391378,1.3475466,-0.1084088
56,1.4840286,1.8316256,"('impractical', 'practical')",0.6600631,0.5947169,1.0720458,1.2131712,-0.1411254
74,1.3784133,1.4162713,"('undedicated', 'dedicated')",0.64643365,0.60960776,1.0124235,1.0129396,-0.0005161
33,1.3340094,1.1027147,"('wrong', 'right')",-1.1008778,-1.0811574,0.1165658,0.0107786,0.1057872
84,1.3045993,1.1517024,"('inferior', 'superior')",0.20276332,0.12338419,0.7536813,0.6375433,0.116138
39,1.2279782,0.9626575,"('exploitative', 'cooperative')",0.55635124,0.1428361,0.8921647,0.5527468,0.3394179
61,1.2266483,1.1657532,"('illogical', 'logical')",-0.15065868,-0.28963974,0.5379948,0.4380568,0.099938
62,1.2099513,1.4635471,"('incompetent', 'brilliant')",0.6622319,0.5607227,0.9360916,1.0121349,-0.0760433
83,1.1286968,1.101178,"('powerless', 'powerful')",-1.0013714,-1.1299477,0.0636627,-0.0143848,0.0780475
72,1.1090579,1.2423735,"('unambitious', 'ambitious')",-0.19527033,-0.28036144,0.4568938,0.481006,-0.0241122
86,0.9960379,1.2429397,"('uninfluential', 'influential')",-0.26289666,-0.19049889,0.3665706,0.5262204,-0.1596498
25,0.94421786,0.5732987,"('egoistic', 'altruistic')",0.5985472,0.3626057,0.7713826,0.4679522,0.3034304
51,0.94282985,1.4137607,"('uneducated', 'educated')",1.6855348,1.7486289,1.3141823,1.5811948,-0.2670125
12,0.9197768,1.0679709,"('unsupportive', 'supportive')",-1.6176804,-1.5412129,-0.3489518,-0.236621,-0.1123308
27,-0.8922091,-0.97190857,"('hardhearted', 'softhearted')",0.43064773,0.47605246,-0.2307807,-0.2479281,0.0171474
50,-0.89028734,-1.0173998,"('clumsy', 'skillful')",0.042187214,-0.051778745,-0.4240501,-0.5345893,0.1105392
63,0.8865392,1.2126778,"('unperceptive', 'insightful')",0.4066192,0.5772282,0.6465792,0.894953,-0.2483738
17,-0.8830999,-0.8698077,"('nasty', 'nice')",-0.018702995,0.0289769,-0.4509014,-0.4204154,-0.030486
47,0.8810536,0.8816449,"('stupid', 'smart')",4.85086,4.8369565,2.8659568,2.8593006,0.0066562
3,-0.87085974,-0.55446583,"('repellent', 'pleasant')",0.80274326,0.75200856,-0.0340582,0.0987714,-0.1328296
23,0.844056,0.9635205,"('insincere', 'sincere')",6.4285684,6.231086,3.6363122,3.5973032,0.039009
9,0.81146795,0.4351835,"('unaffectionate', 'caring')",0.75031316,0.6879404,0.7808906,0.5615619,0.2193287
54,0.809238,0.64228946,"('incapable', 'capable')",0.7738672,0.56001765,0.7915526,0.6011536,0.190399
28,0.7856865,0.9545603,"('disloyal', 'loyal')",1.6655937,1.5171916,1.2256401,1.235876,-0.0102359
42,-0.7837544,-0.65126127,"('unreliable', 'reliable')",-2.655362,-2.6402485,-1.7195581,-1.6457549,-0.0738032
75,-0.7446223,-0.8693819,"('meek', 'impulsive')",-0.69494337,-0.5973469,-0.7197828,-0.7333644,0.0135816
68,-0.73113686,-0.8095691,"('dependent', 'independent')",-1.2900385,-1.423996,-1.0105877,-1.1167825,0.1061948
87,0.7222681,0.6410276,"('unsuccessful', 'successful')",0.06302968,0.0010765493,0.3926489,0.3210521,0.0715968
2,0.71281755,0.47947642,"('unlikable', 'likable')",0.86141765,0.47774154,0.7871176,0.478609,0.3085086
37,-0.7064536,-0.8876892,"('fake', 'genuine')",0.4996251,0.5768631,-0.1034143,-0.155413,0.0519987
67,0.69391465,0.7147594,"('doubtful', 'determined')",-0.00607891,-0.031517044,0.3439179,0.3416212,0.0022967
1,0.6835866,0.624186,"('unfriendly', 'friendly')",1.1849396,1.1321923,0.9342631,0.8781891,0.056074
18,-0.6656147,-0.77325827,"('disagreeable', 'welcoming')",-1.195642,-1.2577696,-0.9306284,-1.0155139,0.0848855
21,0.65971506,0.7921075,"('immoral', 'moral')",-0.5218261,-0.7685083,0.0689445,0.0117996,0.0571449
79,-0.6589516,-0.94542205,"('wavering', 'unwavering')",-0.36066508,-0.40520722,-0.5098083,-0.6753147,0.1655064
16,-0.6361525,-0.985454,"('unpopular', 'popular')",0.20671529,0.035388097,-0.2147186,-0.475033,0.2603144
58,0.63294476,0.74072087,"('undiscriminating', 'discriminating')",0.5765349,0.6906423,0.6047398,0.7156816,-0.1109418
38,0.5959379,0.53778386,"('untruthful', 'truthful')",0.42597067,0.33393082,0.5109543,0.4358574,0.0750969
30,0.59092915,0.8447803,"('intolerant', 'tolerant')",0.46691623,0.35770556,0.5289227,0.601243,-0.0723203
60,0.5878826,1.0812446,"('inefficient', 'efficient')",0.54169685,0.6563996,0.5647897,0.8688221,-0.3040324
31,-0.5688894,-0.8503746,"('evil', 'good')",-1.7911985,-1.7887107,-1.1800439,-1.3195426,0.1394987
14,0.55886364,0.9845233,"('antisocial', 'social')",-0.31722558,-0.38961944,0.120819,0.2974519,-0.1766329
53,0.53492093,0.4401093,"('uncreative', 'creative')",0.8519016,0.7084341,0.6934112,0.5742717,0.1191395
29,-0.52501756,-0.5918896,"('unfair', 'fair')",-0.88918245,-0.8311667,-0.7071,-0.7115282,0.0044282
