,federated_male,federated_female,tuple,hermes_male,hermes_female,inc_male,inc_female,average_male,average_female,male-female
8,-2.3899713,-2.2841554,"('unaffectionate', 'affectionate')",-0.71864134,-0.60072464,1.1609464,1.0308704,-0.6492221,-0.6180032,-0.0312189
53,-2.2456443,-2.3934577,"('uncreative', 'creative')",-0.047885068,-0.18526876,0.9653754,0.6435993,-0.442718,-0.6450423,0.2023243
1,-2.0787778,-2.1155484,"('unfriendly', 'friendly')",0.87034476,0.734493,2.3778288,1.9993229,0.3897986,0.2060892,0.1837094
31,-1.6480191,-1.9230921,"('evil', 'good')",-1.3020782,-1.2484239,-0.5713922,-0.70561206,-1.1738299,-1.292376,0.1185461
82,-1.6193922,-1.4061668,"('poor', 'rich')",-0.18418568,-0.14559168,5.8769884,6.1230397,1.3578035,1.5237605,-0.165957
86,-1.6124731,-1.5866253,"('uninfluential', 'influential')",1.6665174,1.3693113,-0.20240617,-0.40287554,-0.049454,-0.2067298,0.1572758
39,1.5981312,1.2858882,"('exploitative', 'cooperative')",2.3676515,2.0616422,0.35923445,0.3194295,1.4416723,1.2223199,0.2193524
16,-1.5731968,-1.7976406,"('unpopular', 'popular')",-2.314833,-2.2091422,0.05589818,-0.006763719,-1.2773771,-1.3378488,0.0604717
9,-1.4195063,-1.5443454,"('unaffectionate', 'caring')",0.5809875,0.3919715,1.5076799,1.3493314,0.2230537,0.0656525,0.1574012
48,-1.3653932,-1.2137879,"('unintelligent', 'intelligent')",0.84190625,0.9953864,0.18846413,0.15031497,-0.1116743,-0.0226955,-0.0889788
61,-1.3325353,-1.423885,"('illogical', 'logical')",1.1450725,0.97324026,0.13123043,0.015325418,-0.0187441,-0.1451064,0.1263623
67,1.3131471,1.3681936,"('doubtful', 'determined')",-0.44191414,-0.36533752,-0.7782513,-0.6065491,0.0309939,0.1321024,-0.1011085
73,1.2552348,1.2288816,"('helpless', 'self-reliant')",0.8242119,1.0529615,-2.9780185,-2.8840249,-0.2995239,-0.2007272,-0.0987967
56,1.2417369,1.6077482,"('impractical', 'practical')",2.1546028,2.4724348,-0.7969807,-0.49415773,0.866453,1.1953417,-0.3288887
6,-1.2321572,-1.3373775,"('distant', 'open')",-1.1136075,-1.1208324,0.6470752,0.58534974,-0.5662298,-0.6242867,0.0580569
68,-1.1329676,-1.3211988,"('dependent', 'independent')",0.3392389,0.1862824,-0.57902443,-0.69202983,-0.4575844,-0.6089821,0.1513977
27,-1.1208323,-1.2160834,"('hardhearted', 'softhearted')",0.61514443,0.523395,1.6797664,1.4416063,0.3913595,0.2496393,0.1417202
45,-1.0953158,-0.82080066,"('incompetent', 'competent')",1.3381048,1.5272723,-0.43091616,-0.34103423,-0.062709,0.1218125,-0.1845215
18,-1.068838,-1.1347566,"('disagreeable', 'welcoming')",0.038243882,-0.18912266,-0.28217676,-0.4558343,-0.4375903,-0.5932378,0.1556475
85,-1.059474,-1.2580326,"('insignificant', 'prestigious')",-1.8234144,-1.7956977,0.74858224,0.35222074,-0.7114353,-0.9005032,0.1890679
24,-0.9834474,-1.008571,"('dishonest', 'honest')",0.39381164,0.1217192,0.73883396,0.69934255,0.0497327,-0.0625031,0.1122358
41,-0.95269996,-0.78728294,"('unforgiving', 'forgiving')",0.9209022,0.9549087,0.2861554,0.19959779,0.0847859,0.1224079,-0.037622
29,-0.94488156,-1.0968626,"('unfair', 'fair')",-0.7653894,-0.7161483,-0.26474488,-0.26486716,-0.6583386,-0.692626,0.0342874
14,0.932991,0.93545806,"('antisocial', 'social')",1.6589874,1.3915908,-0.5743163,-0.6026258,0.6725541,0.5748076,0.0977465
55,-0.89416605,-0.75703907,"('incompetent', 'clever')",1.3234272,1.3565439,-0.25326997,-0.2392911,0.0586637,0.1200712,-0.0614075
54,-0.8828989,-0.8926156,"('incapable', 'capable')",-0.46686244,-0.43673372,1.1083183,1.134965,-0.080481,-0.0647948,-0.0156862
57,-0.82972807,-0.7296231,"('unimaginative', 'imaginative')",0.21966513,0.24593273,-2.4502993,-2.569632,-1.0201208,-1.0177741,-0.0023467
78,-0.8196846,-0.82025373,"('nonresilient', 'resilient')",0.07280299,0.037430357,-0.016725319,-0.09158869,-0.2545356,-0.2914707,0.0369351
75,-0.81357974,-0.6636388,"('meek', 'impulsive')",-1.8314681,-1.782268,-0.52819365,-0.40321535,-1.0577472,-0.9497074,-0.1080398
10,-0.8041415,-0.7743788,"('unsympathetic', 'sympathetic')",0.5318534,0.35125268,-0.27607465,-0.33171695,-0.1827876,-0.2516144,0.0688268
