,pepsico_male,pepsico_female,tuple,inc_male,inc_female,average_male,average_female,male-female
85,1.242765,1.602838,"('insignificant', 'prestigious')",0.3228106,0.7584713,0.7827878,1.1806546,-0.3978668
82,-1.1860392,-1.2831111,"('poor', 'rich')",6.31527,6.091613,2.5646152,2.4042509,0.1603643
84,1.1846949,1.1158156,"('inferior', 'superior')",0.9077528,0.9303894,1.0462239,1.0231025,0.0231214
57,-1.1318372,-1.2311491,"('unimaginative', 'imaginative')",-2.5897887,-2.661229,-1.8608129,-1.9461889,0.085376
18,-1.0935633,-0.8820788,"('disagreeable', 'welcoming')",-0.27986905,-0.32964575,-0.6867162,-0.6058623,-0.0808539
39,1.0690122,0.9223008,"('exploitative', 'cooperative')",0.024165068,0.04895032,0.5465886,0.4856256,0.060963
14,-1.0501151,-1.4591856,"('antisocial', 'social')",-0.8818236,-1.2130994,-0.9659693,-1.3361425,0.3701732
33,1.0446705,1.3048354,"('wrong', 'right')",-0.725153,-0.5309729,0.1597587,0.3869313,-0.2271726
73,1.0261217,1.1216063,"('helpless', 'self-reliant')",-3.2524638,-3.0304494,-1.1131711,-0.9544215,-0.1587496
87,0.9886087,0.7443363,"('unsuccessful', 'successful')",0.93992335,0.89017576,0.9642661,0.817256,0.1470101
35,-0.94311816,-0.48276967,"('corrupt', 'incorrupt')",-0.58998656,-0.40205643,-0.7665523,-0.442413,-0.3241393
70,-0.8538312,-1.2432415,"('lethargic', 'energetic')",0.8546011,0.5458493,0.000385,-0.3486961,0.3490811
15,0.81148416,1.0130699,"('boring', 'funny')",0.41738188,0.5364206,0.6144331,0.7747452,-0.1603121
8,-0.7640777,-0.45791906,"('unaffectionate', 'affectionate')",0.56305563,0.8426318,-0.100511,0.1923564,-0.2928674
10,-0.75597894,-1.1329104,"('unsympathetic', 'sympathetic')",0.087123916,-0.107927665,-0.3344275,-0.620419,0.2859915
69,0.73288494,0.8936739,"('lazy', 'industrious')",-1.0818412,-1.0486176,-0.1744781,-0.0774719,-0.0970062
56,0.699792,0.5126427,"('impractical', 'practical')",0.041340206,0.0049237376,0.3705661,0.2587832,0.1117829
44,-0.69321495,-0.76095384,"('prejudiced', 'unprejudiced')",-1.6924256,-1.7211727,-1.1928203,-1.2410632,0.0482429
72,-0.68823856,-0.8673854,"('unambitious', 'ambitious')",-0.74220926,-0.8582697,-0.7152239,-0.8628275,0.1476036
76,-0.6849133,-1.0634407,"('anxious', 'daring')",0.10896814,-0.05403097,-0.2879726,-0.5587358,0.2707632
66,-0.68130475,-0.56183,"('inactive', 'active')",0.6721252,0.66749954,-0.0045898,0.0528348,-0.0574246
12,0.6564506,0.57633716,"('unsupportive', 'supportive')",-1.4073741,-1.3392965,-0.3754618,-0.3814797,0.0060179
71,0.6549181,0.9029423,"('diffident', 'self-confident')",0.20030378,0.36408824,0.4276109,0.6335152,-0.2059043
55,-0.62630296,-1.0458778,"('incompetent', 'clever')",0.15427814,-0.1356917,-0.2360124,-0.5907848,0.3547724
81,-0.62375736,-1.0416794,"('submissive', 'aggressive')",-0.45377606,-0.7570027,-0.5387667,-0.899341,0.3605743
75,-0.5873075,-0.35047233,"('meek', 'impulsive')",-0.6364777,-0.5453914,-0.6118926,-0.4479319,-0.1639607
63,0.55218583,0.4426893,"('unperceptive', 'insightful')",1.4860672,1.3487815,1.0191265,0.8957354,0.1233911
21,0.55082726,0.21906692,"('immoral', 'moral')",-0.36089277,-0.5257146,0.0949672,-0.1533238,0.248291
61,0.54530615,0.51368976,"('illogical', 'logical')",0.41828516,0.25898427,0.4817957,0.386337,0.0954587
74,0.5410004,0.37819937,"('undedicated', 'dedicated')",0.56258875,0.43157047,0.5517946,0.4048849,0.1469097
22,-0.49176455,-0.57910955,"('untrustworthy', 'trustworthy')",-0.9477285,-1.1624303,-0.7197465,-0.8707699,0.1510234
43,-0.47492215,-0.806919,"('irresponsible', 'responsible')",0.8758041,0.63931113,0.200441,-0.0838039,0.2842449
65,-0.46640688,-0.96581304,"('insecure', 'secure')",-0.035644338,-0.37270945,-0.2510256,-0.6692612,0.4182356
3,-0.4586278,-0.7662561,"('repellent', 'pleasant')",0.38992435,0.19125295,-0.0343517,-0.2875016,0.2531499
28,-0.45837563,-0.3636349,"('disloyal', 'loyal')",0.75671905,0.8492211,0.1491717,0.2427931,-0.0936214
30,0.4487129,0.084643945,"('intolerant', 'tolerant')",1.2188565,1.1526308,0.8337847,0.6186374,0.2151473
51,-0.4465196,-0.60202295,"('uneducated', 'educated')",1.3924285,1.309746,0.4729545,0.3538615,0.119093
45,-0.43655998,-0.68617934,"('incompetent', 'competent')",-0.17079344,-0.5348434,-0.3036767,-0.6105114,0.3068347
7,-0.43177903,-0.59340113,"('insensitive', 'sensitive')",0.9312761,0.7587353,0.2497485,0.0826671,0.1670814
36,-0.4219439,0.08056526,"('hostile', 'amicable')",-0.3491758,-0.01050831,-0.3855599,0.0350285,-0.4205884
59,0.4217928,0.57354057,"('foolish', 'wise')",0.1692878,0.31859544,0.2955403,0.446068,-0.1505277
16,-0.41406018,-0.24610522,"('unpopular', 'popular')",0.32646498,0.33672568,-0.0437976,0.0453102,-0.0891078
5,0.40598077,0.95900035,"('distant', 'outgoing')",-0.5759556,-0.36274645,-0.0849874,0.2981269,-0.3831143
20,-0.40241557,-0.7163066,"('rough', 'thoughtful')",1.1154479,0.95396096,0.3565162,0.1188272,0.237689
1,0.40154034,0.7626729,"('unfriendly', 'friendly')",1.8688427,2.1667464,1.1351916,1.4647096,-0.329518
80,0.3888612,0.01538638,"('dominated', 'dominating')",-0.6472187,-0.8777567,-0.1291787,-0.4311852,0.3020065
68,-0.3804062,-0.42132992,"('dependent', 'independent')",-0.051631905,-0.20384128,-0.216019,-0.3125856,0.0965666
2,0.36684698,0.13586983,"('unlikable', 'likable')",0.71268636,0.73449963,0.5397667,0.4351847,0.104582
49,0.32196027,0.3674061,"('unable', 'able')",-0.34075657,-0.30467623,-0.0093981,0.0313649,-0.040763
42,0.31915087,0.2819798,"('unreliable', 'reliable')",-3.0638883,-3.0915005,-1.3723687,-1.4047604,0.0323917
32,0.31465155,0.2381439,"('unkind', 'kind')",1.2802818,1.3448348,0.7974666,0.7914894,0.0059772
46,0.31357616,-0.19735277,"('uncompetitive', 'competitive')",-0.26329136,-0.47468418,0.0251424,-0.3360185,0.3611609
48,0.30739865,0.011140376,"('unintelligent', 'intelligent')",0.9309975,0.8606679,0.6191981,0.4359041,0.183294
62,0.3052614,-0.033671383,"('incompetent', 'brilliant')",0.4923776,0.32258552,0.3988195,0.1444571,0.2543624
34,0.3051111,0.112018175,"('mean', 'honorable')",6.3362627,6.3044114,3.3206868,3.2082148,0.112472
67,0.30102542,0.31932706,"('doubtful', 'determined')",-0.90700746,-0.9507557,-0.302991,-0.3157143,0.0127233
86,-0.27540362,-0.359368,"('uninfluential', 'influential')",0.45981628,0.2702266,0.0922063,-0.0445707,0.136777
64,-0.24971624,-0.6291461,"('shy', 'confident')",-6.473643,-6.6061783,-3.3616796,-3.6176622,0.2559826
13,-0.24439302,-0.3664317,"('impolite', 'polite')",-0.073886886,-0.23233356,-0.15914,-0.2993826,0.1402426
0,0.22466406,0.042697813,"('unsociable', 'sociable')",-0.37686813,-0.60166526,-0.076102,-0.2794837,0.2033817
11,0.21096039,-0.08871733,"('unhelpful', 'helpful')",2.284385,2.2786157,1.2476727,1.0949492,0.1527235
54,0.18897319,0.3690633,"('incapable', 'capable')",1.2026911,1.3567401,0.6958321,0.8629017,-0.1670696
23,-0.1788249,-0.38583058,"('insincere', 'sincere')",6.333558,6.1931233,3.0773666,2.9036465,0.1737201
53,0.16104639,0.30371422,"('uncreative', 'creative')",0.8568753,0.91585875,0.5089608,0.6097865,-0.1008257
47,-0.15892889,-0.5594942,"('stupid', 'smart')",5.086299,4.767135,2.463685,2.1038206,0.3598644
78,0.1476089,0.08567202,"('nonresilient', 'resilient')",0.3020796,0.24303193,0.2248442,0.164352,0.0604922
4,0.1346679,0.4798722,"('disliked', 'liked')",-6.597601,-6.3677692,-3.2314665,-2.9439485,-0.287518
9,0.12540038,0.41399077,"('unaffectionate', 'caring')",1.085604,1.3472311,0.6055022,0.8806109,-0.2751087
37,-0.12528932,-0.37438643,"('fake', 'genuine')",0.53096044,0.4343478,0.2028356,0.0299807,0.1728549
25,-0.11819966,-0.01923006,"('egoistic', 'altruistic')",1.2695701,1.3611579,0.5756852,0.6709639,-0.0952787
31,0.11382866,0.48376963,"('evil', 'good')",-1.1687834,-1.1383393,-0.5274774,-0.3272848,-0.2001926
79,-0.11012551,0.2743867,"('wavering', 'unwavering')",-0.09023454,0.21588698,-0.10018,0.2451368,-0.3453168
19,-0.10570658,0.23968218,"('inhospitable', 'hospitable')",0.28823656,0.5670516,0.091265,0.4033669,-0.3121019
77,0.100173354,-0.1909143,"('unmotivated', 'motivated')",-0.995044,-1.1836988,-0.4474353,-0.6873065,0.2398712
