,union_male,union_female,tuple,pacific_male,pacific_female,corp_male,corp_female,average_male,average_female,male-female
55,-2.6483793,-2.8292851,"('incompetent', 'clever')",-1.1798722,-1.37205,0.618158,0.28486407,-1.0700312,-1.3054903,0.2354591
81,-2.2050176,-2.492001,"('submissive', 'aggressive')",-0.62925816,-0.9122759,0.17807208,-0.20343283,-0.8854012,-1.2025699,0.3171687
57,-1.8862756,-2.0145907,"('unimaginative', 'imaginative')",-0.27920675,-0.41408813,-3.0984466,-3.4220989,-1.7546431,-1.9502592,0.1956161
22,-1.8713663,-2.0646033,"('untrustworthy', 'trustworthy')",-0.808837,-0.8805176,-1.0865172,-1.0738075,-1.2555734,-1.3396428,0.0840694
82,-1.8300499,-1.9307268,"('poor', 'rich')",-0.103457116,-0.38080987,7.101185,6.881367,1.7225593,1.523277,0.1992823
60,-1.6900854,-1.8686328,"('inefficient', 'efficient')",-0.37243903,-0.6523687,0.5356743,0.13204235,-0.50895,-0.7963197,0.2873697
30,-1.6000962,-1.8300624,"('intolerant', 'tolerant')",-1.4735352,-1.7004904,0.3287806,0.32082847,-0.9149502,-1.0699081,0.1549579
69,1.5993364,1.6895169,"('lazy', 'industrious')",1.2014817,1.2936522,-1.055113,-0.7897459,0.5819017,0.7311411,-0.1492394
46,-1.5766082,-1.9383258,"('uncompetitive', 'competitive')",0.23258036,-0.1911348,-0.27857208,-0.7934884,-0.5408666,-0.9743163,0.4334497
77,-1.5732063,-1.6117718,"('unmotivated', 'motivated')",-0.22946914,-0.51877314,-0.5488019,-0.7752669,-0.7838258,-0.9686039,0.1847781
49,-1.5543087,-1.6107339,"('unable', 'able')",-0.3092341,-0.39244524,0.05836681,-0.09510954,-0.6017253,-0.6994295,0.0977042
65,-1.5483148,-1.909169,"('insecure', 'secure')",-0.33392325,-0.5464191,0.42332923,-0.008349618,-0.4863029,-0.8213126,0.3350097
13,-1.5102262,-1.8372616,"('impolite', 'polite')",-1.1006006,-1.3211318,-0.041404407,-0.28258443,-0.8840772,-1.1469926,0.2629154
45,-1.4907093,-1.8216459,"('incompetent', 'competent')",-0.830258,-1.1027678,0.1309958,-0.16945049,-0.7299905,-1.0312881,0.3012976
67,1.4098374,1.2203951,"('doubtful', 'determined')",-0.42558935,-0.51414,-0.42523545,-0.37525135,0.1863375,0.1103346,0.0760029
54,-1.3880361,-1.2383137,"('incapable', 'capable')",-0.14521383,-0.090655625,0.59561557,0.6685784,-0.3125448,-0.2201303,-0.0924145
73,1.3323812,1.2765458,"('helpless', 'self-reliant')",-0.49898222,-0.43379337,-3.9877193,-3.8263566,-1.0514401,-0.9945347,-0.0569054
41,-1.2909694,-1.0783212,"('unforgiving', 'forgiving')",-0.28860608,-0.17748699,-0.48946187,-0.43991587,-0.6896791,-0.5652414,-0.1244377
10,-1.2801685,-1.2938921,"('unsympathetic', 'sympathetic')",-1.4025356,-1.5553006,0.26160613,-0.045302596,-0.8070326,-0.9648317,0.1577991
51,-1.2501267,-1.3409227,"('uneducated', 'educated')",-0.32813728,-0.50912875,0.72270334,0.50134736,-0.2851869,-0.449568,0.1643811
52,1.1122733,1.1341954,"('irrational', 'rational')",-0.61025923,-0.55728513,-0.7800793,-0.5038752,-0.0926884,0.024345,-0.1170334
86,-1.0939909,-1.2637284,"('uninfluential', 'influential')",-0.3014254,-0.61355734,-0.16787286,-0.45631456,-0.5210964,-0.7778668,0.2567704
70,-1.0799711,-1.3523204,"('lethargic', 'energetic')",-0.4922517,-0.75112015,0.6493405,0.312532,-0.3076274,-0.5969695,0.2893421
11,-1.0655712,-1.1807665,"('unhelpful', 'helpful')",-1.1703103,-1.4811808,2.3686173,2.1605282,0.0442453,-0.1671397,0.211385
0,-1.0429496,-1.2465146,"('unsociable', 'sociable')",-0.99550205,-1.278842,-0.15937462,-0.47979185,-0.7326088,-1.0017161,0.2691073
53,-1.0188779,-0.79580855,"('uncreative', 'creative')",-0.30626613,-0.19997413,0.31752014,0.20494692,-0.3358746,-0.2636119,-0.0722627
48,-1.01812,-1.0892816,"('unintelligent', 'intelligent')",-0.35016426,-0.3765015,1.0511154,0.8527237,-0.105723,-0.2043531,0.0986301
47,-1.0034175,-1.1123445,"('stupid', 'smart')",-0.33308223,-0.42610726,5.865701,5.708155,1.5097338,1.3899012,0.1198326
62,-0.958639,-1.1766192,"('incompetent', 'brilliant')",-0.12597932,-0.21480727,0.9851478,0.8149133,-0.0331569,-0.1921711,0.1590142
6,0.9496674,1.3398339,"('distant', 'open')",-0.4138795,-0.2782228,-1.0206598,-0.65275204,-0.161624,0.1362863,-0.2979103
21,-0.9377169,-1.1428261,"('immoral', 'moral')",-0.064044654,-0.28815565,0.09928489,-0.26425695,-0.3008256,-0.5650796,0.264254
18,-0.8938737,-0.49391448,"('disagreeable', 'welcoming')",-0.61037743,-0.41244513,-1.0671521,-0.9496316,-0.8571344,-0.6186637,-0.2384707
64,-0.86565185,-0.95946246,"('shy', 'confident')",-1.0965351,-1.2728387,-6.5703526,-6.563641,-2.8441798,-2.9319808,0.087801
26,0.8535628,0.7731685,"('hardhearted', 'benevolent')",0.68021643,0.6993054,0.57216835,0.8651269,0.7019825,0.7792002,-0.0772177
20,-0.83599174,-0.7668234,"('rough', 'thoughtful')",0.24551855,0.28773716,0.73787093,0.6763182,0.0491326,0.065744,-0.0166114
79,0.80558145,1.0477723,"('wavering', 'unwavering')",-0.32425484,-0.14514184,-0.39927357,-0.33745354,0.027351,0.1883923,-0.1610413
50,-0.8040986,-0.7114489,"('clumsy', 'skillful')",-0.19545406,-0.12098084,0.23987547,0.20613235,-0.2532257,-0.2087658,-0.0444599
85,0.7996373,1.1978531,"('insignificant', 'prestigious')",-0.52243334,-0.32126343,-1.8180156,-1.2936248,-0.5136038,-0.1390117,-0.3745921
32,-0.73142624,-0.5253972,"('unkind', 'kind')",-0.6090754,-0.62631774,0.7423575,0.72353274,-0.1993814,-0.1427274,-0.056654
43,-0.7222607,-0.8660977,"('irresponsible', 'responsible')",-1.7749399,-1.9454408,0.5352298,0.40357238,-0.6539902,-0.8026554,0.1486652
8,-0.67966795,-0.4018191,"('unaffectionate', 'affectionate')",-1.3964115,-1.2041886,-0.3464474,-0.02733613,-0.8075089,-0.5444479,-0.263061
25,0.67826337,0.9138976,"('egoistic', 'altruistic')",-0.18448162,-0.17405087,0.50875217,0.7448794,0.334178,0.4949087,-0.1607307
28,-0.6240911,-0.58230174,"('disloyal', 'loyal')",-1.0903958,-1.1957854,0.9638666,0.87719226,-0.2502067,-0.3002983,0.0500916
61,-0.6173201,-0.8031182,"('illogical', 'logical')",-0.47821718,-0.7442417,0.40092206,0.29727748,-0.2315384,-0.4166942,0.1851558
14,-0.61101186,-0.93657416,"('antisocial', 'social')",0.0040253215,-0.12400821,-0.04129344,-0.3171181,-0.2160933,-0.4592335,0.2431402
